year,week,teams
2014,1,"('michigan-state-spartans', 'vcu-rams', 'kansas-jayhawks', 'byu-cougars', 'colorado-buffaloes', 'baylor-bears', 'kentucky-wildcats', 'george-washington-revolutionaries', 'unlv-rebels', 'north-carolina-tar-heels', 'nebraska-cornhuskers', 'texas-longhorns', 'connecticut-huskies', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'kansas-state-wildcats', 'notre-dame-fighting-irish', 'louisiana-tech-bulldogs', 'pittsburgh-panthers', 'oklahoma-sooners', 'oklahoma-state-cowboys', 'stanford-cardinal', 'michigan-wolverines', 'florida-state-seminoles', 'virginia-cavaliers', 'minnesota-golden-gophers', 'harvard-crimson', 'utep-miners', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'utah-utes', 'florida-gators', 'stephen-f-austin-lumberjacks', 'west-virginia-mountaineers', 'ucla-bruins', 'southern-methodist-mustangs', 'arizona-wildcats', 'illinois-fighting-illini', 'memphis-tigers', 'lsu-tigers', 'cincinnati-bearcats', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'syracuse-orange', 'villanova-wildcats', 'north-carolina-state-wolfpack')"
2014,2,"('michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'byu-cougars', 'colorado-buffaloes', 'baylor-bears', 'kentucky-wildcats', 'george-washington-revolutionaries', 'north-carolina-tar-heels', 'nebraska-cornhuskers', 'texas-longhorns', 'connecticut-huskies', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'kansas-state-wildcats', 'notre-dame-fighting-irish', 'louisiana-tech-bulldogs', 'pittsburgh-panthers', 'oklahoma-sooners', 'oklahoma-state-cowboys', 'stanford-cardinal', 'michigan-wolverines', 'florida-state-seminoles', 'virginia-cavaliers', 'minnesota-golden-gophers', 'utep-miners', nan, 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'utah-utes', 'florida-gators', 'stephen-f-austin-lumberjacks', 'ucla-bruins', 'southern-methodist-mustangs', 'arizona-wildcats', 'illinois-fighting-illini', 'memphis-tigers', 'lsu-tigers', 'cincinnati-bearcats', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'syracuse-orange', 'villanova-wildcats', 'north-carolina-state-wolfpack')"
2014,3,"('providence-friars', 'northeastern-huskies', 'michigan-state-spartans', 'miami-fl-hurricanes', 'vcu-rams', 'kansas-jayhawks', 'northern-iowa-panthers', 'creighton-bluejays', 'byu-cougars', 'wyoming-cowboys', 'baylor-bears', 'kentucky-wildcats', 'syracuse-orange', 'north-carolina-tar-heels', 'nebraska-cornhuskers', 'texas-longhorns', 'connecticut-huskies', 'gonzaga-bulldogs', 'oklahoma-sooners', 'stanford-cardinal', 'michigan-wolverines', 'xavier-musketeers', 'virginia-cavaliers', 'minnesota-golden-gophers', 'utep-miners', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'west-virginia-mountaineers', 'florida-gators', 'utah-utes', 'ucla-bruins', 'indiana-hoosiers', 'arizona-wildcats', 'illinois-fighting-illini', 'memphis-tigers', 'california-golden-bears', 'cincinnati-bearcats', 'louisville-cardinals', 'rhode-island-rams', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'north-carolina-state-wolfpack')"
2014,4,"('providence-friars', 'michigan-state-spartans', 'miami-fl-hurricanes', 'northern-iowa-panthers', 'kansas-jayhawks', 'vcu-rams', 'creighton-bluejays', 'wyoming-cowboys', 'syracuse-orange', 'kentucky-wildcats', 'baylor-bears', 'north-carolina-tar-heels', 'saint-marys-gaels', 'nebraska-cornhuskers', 'texas-longhorns', 'connecticut-huskies', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'michigan-wolverines', 'st-johns-red-storm', 'north-carolina-state-wolfpack', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'tcu-horned-frogs', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'west-virginia-mountaineers', 'butler-bulldogs', 'utah-utes', 'florida-gators', 'ucla-bruins', 'arizona-wildcats', 'illinois-fighting-illini', 'california-golden-bears', 'ole-miss-rebels', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'washington-huskies')"
2014,5,"('michigan-state-spartans', 'miami-fl-hurricanes', 'northern-iowa-panthers', 'kansas-jayhawks', 'vcu-rams', 'creighton-bluejays', 'baylor-bears', 'kentucky-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'texas-longhorns', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'michigan-wolverines', 'st-johns-red-storm', 'north-carolina-state-wolfpack', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'yale-bulldogs', 'tcu-horned-frogs', 'georgetown-hoyas', nan, 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'dayton-flyers', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'west-virginia-mountaineers', 'butler-bulldogs', 'utah-utes', 'indiana-hoosiers', 'arizona-wildcats', 'illinois-fighting-illini', 'california-golden-bears', 'lsu-tigers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'villanova-wildcats', 'washington-huskies')"
2014,6,"('michigan-state-spartans', 'miami-fl-hurricanes', 'northern-iowa-panthers', 'kansas-jayhawks', 'vcu-rams', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'st-johns-red-storm', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'tcu-horned-frogs', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'west-virginia-mountaineers', 'utah-utes', 'butler-bulldogs', 'penn-state-nittany-lions', 'arizona-wildcats', 'california-golden-bears', 'lsu-tigers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'washington-huskies')"
2014,7,"('vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'miami-fl-hurricanes', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'st-johns-red-storm', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'minnesota-golden-gophers', 'valparaiso-beacons', 'tcu-horned-frogs', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'west-virginia-mountaineers', 'utah-utes', 'florida-gators', 'butler-bulldogs', 'indiana-hoosiers', 'arizona-wildcats', 'penn-state-nittany-lions', 'california-golden-bears', 'lsu-tigers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'washington-huskies')"
2014,8,"('vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'george-washington-revolutionaries', 'unlv-rebels', 'north-carolina-tar-heels', 'colorado-state-rams', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'stanford-cardinal', 'st-johns-red-storm', 'virginia-cavaliers', 'old-dominion-monarchs', 'minnesota-golden-gophers', 'tcu-horned-frogs', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'san-diego-state-aztecs', 'duke-blue-devils', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'west-virginia-mountaineers', 'utah-utes', 'florida-gators', 'indiana-hoosiers', 'arizona-wildcats', 'penn-state-nittany-lions', 'army-west-point-black-knights', 'california-golden-bears', 'lsu-tigers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'villanova-wildcats', 'washington-huskies')"
2014,9,"('vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'byu-cougars', 'wyoming-cowboys', 'baylor-bears', 'kentucky-wildcats', 'davidson-wildcats', 'george-washington-revolutionaries', 'north-carolina-tar-heels', 'colorado-state-rams', 'temple-owls', 'texas-longhorns', 'iowa-hawkeyes', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'south-carolina-gamecocks', 'oklahoma-sooners', 'stanford-cardinal', 'st-johns-red-storm', 'xavier-musketeers', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'tcu-horned-frogs', nan, 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'hofstra-pride', 'ohio-state-buckeyes', 'arkansas-razorbacks', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'indiana-hoosiers', 'arizona-wildcats', 'lsu-tigers', 'cincinnati-bearcats', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'oklahoma-state-cowboys', 'villanova-wildcats', 'washington-huskies')"
2014,10,"('providence-friars', 'michigan-state-spartans', 'vcu-rams', 'northern-iowa-panthers', 'kansas-jayhawks', 'wyoming-cowboys', 'baylor-bears', 'kentucky-wildcats', 'syracuse-orange', 'davidson-wildcats', 'north-carolina-tar-heels', 'colorado-state-rams', 'texas-longhorns', 'gonzaga-bulldogs', 'notre-dame-fighting-irish', 'oklahoma-sooners', 'st-johns-red-storm', 'virginia-cavaliers', 'old-dominion-monarchs', 'seton-hall-pirates', 'tcu-horned-frogs', 'georgetown-hoyas', 'wisconsin-badgers', 'wichita-state-shockers', 'dayton-flyers', 'duke-blue-devils', 'san-diego-state-aztecs', 'hofstra-pride', 'arkansas-razorbacks', 'ohio-state-buckeyes', 'oregon-ducks', 'utah-utes', 'west-virginia-mountaineers', 'butler-bulldogs', 'indiana-hoosiers', 'arizona-wildcats', 'southern-methodist-mustangs', 'lsu-tigers', 'louisville-cardinals', 'maryland-terrapins', 'iowa-state-cyclones', 'green-bay-phoenix', 'oklahoma-state-cowboys', 'villanova-wildcats', 'alabama-crimson-tide', 'north-carolina-state-wolfpack')"
