year,week,voters
2014,1,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,2,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,3,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,4,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,5,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,6,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,7,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,8,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,9,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
2014,10,"('brian-howell', 'steve-wiseman', 'bob-holt', 'steve-pivovar', 'marcus-jackson', 'elton-alexander', 'bj-rains', 'gary-williams', 'jp-butler', 'joey-johnston', 'mark-berman', 'john-feinstein', 'rick-bozich', 'chris-lang', 'jeff-faraudo', 'john-mcnamara', 'paul-zeise', 'fletcher-mackel', 'doug-haller', 'bret-strelow', 'dick-vitale', 'zach-osterman', 'kevin-lyttle', 'chris-murray', 'joe-juliano', 'kevin-brockway', 'geoff-grammer', 'christian-caple', 'seth-davis', 'bill-knight', 'cecil-hurt', 'jim-benson', 'chris-goff', 'kelly-hines', 'terry-toohey', 'tom-keegan', 'ben-frederickson', 'mitch-vingle', 'john-bohnenkamp', 'matt-vautour', 'jay-drew', 'matt-velazquez', 'aaron-brenner', 'daniel-shirley', 'john-werner', 'jason-smith', 'doug-doughty', 'kevin-mcnamara', 'scott-mansch', 'jerry-carino', 'brandon-marcello', 'dave-borges', 'matt-mccoy', 'chris-dachille', 'randy-rosetta', 'soren-petro', 'tj-werre', 'tyson-alger', 'scott-wolf', 'kieran-darcy', 'andrew-carter', 'cormac-gordon', 'ron-morris', 'jon-wilner', 'joe-rexrode')"
