voter,Conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
adam-jude,acc,0.031503684210526316,-0.014192368421052632,0.05836763157894737,-0.3167365789473684,-0.35157184210526315,-0.2652144736842105,-0.29920605263157896,-0.3253871052631579,-0.2548136842105263,2.9473684210526314,-13.985560526315789
adam-jude,sec,0.02491988847583643,0.035285873605947954,0.005100371747211896,-0.3958421933085502,-0.37388159851301117,-0.3952475836431227,-0.37984275092936803,-0.35362657992565055,-0.3878907063197026,2.2286245353159853,-18.95532156133829
adam-jude,mac,0.05265046728971962,0.09569626168224299,0.011765420560747664,-0.581014953271028,-0.640592523364486,-0.5227261682242991,-0.5093233644859813,-0.5514757009345794,-0.46964112149532705,6.841121495327103,-22.96051401869159
adam-jude,pac-12,-0.10300142566191446,-0.10592708757637474,-0.08076150712830957,-0.2606040733197556,-0.2619924643584522,-0.21207433808553972,-0.25343197556008146,-0.25223075356415475,-0.20995234215885947,-11.678207739307537,-25.905494908350306
adam-jude,big-12,-0.02937129840546697,-0.017019362186788158,-0.012059681093394075,-0.24993302961275626,-0.23815398633257404,-0.20149863325740322,-0.23906514806378132,-0.22688109339407747,-0.18748018223234622,0.08200455580865604,-18.18030751708428
adam-jude,big-ten,0.0293128,0.034648533333333335,0.027198399999999998,-0.17753386666666665,-0.17615653333333334,-0.1458648,-0.1672216,-0.16065173333333332,-0.1435504,2.962666666666667,-15.157152
adam-jude,mwc,-0.08765877192982456,-0.045892105263157894,-0.06653157894736843,-0.11025789473684211,-0.06740263157894737,-0.07653771929824563,-0.12361052631578948,-0.07653947368421053,-0.08506052631578948,-7.921052631578948,-9.65157894736842
adam-jude,american,-0.07698489583333333,-0.0509875,-0.022807291666666663,-0.15812135416666667,-0.098471875,-0.09744322916666666,-0.16653958333333332,-0.11214427083333334,-0.100584375,-2.359375,-10.827651041666668
adam-jude,cusa,-0.06025,-0.09661666666666667,-0.047499999999999994,-0.0358625,0.004604166666666667,-0.037845833333333335,-0.055766666666666666,0.0,-0.05994583333333333,-2.5833333333333335,-1.8880833333333333
adam-sparks,acc,-0.06584880952380952,-0.1822,0.05494523809523809,-0.41439880952380953,-0.645597619047619,-0.19401190476190477,-0.383952380952381,-0.5834738095238096,-0.19450357142857144,-12.238095238095237,-19.51247619047619
adam-sparks,sec,-0.07729444444444444,-0.07826190476190475,-0.043911904761904756,-0.5720253968253968,-0.5388428571428572,-0.5439904761904761,-0.5468198412698413,-0.5152166666666667,-0.5202071428571429,-5.0476190476190474,-31.740007936507936
adam-sparks,mac,0.0498,0.0327,0.065,-0.2705,-0.154,-0.3741,-0.2768,-0.1516,-0.3881,5.0,-29.418
adam-sparks,pac-12,0.016299224806201548,0.045429457364341085,-0.0029069767441860473,-0.17273643410852715,-0.146715503875969,-0.16809767441860465,-0.16346589147286822,-0.13025426356589148,-0.16693333333333335,1.0310077519379846,-17.392767441860464
adam-sparks,big-12,0.01029266055045872,0.01334678899082569,0.03268715596330275,-0.2179229357798165,-0.18139724770642204,-0.11843761467889909,-0.21685412844036694,-0.17149724770642202,-0.12392935779816514,4.6422018348623855,-11.57580733944954
adam-sparks,big-ten,0.0495271186440678,0.10385084745762713,0.043032203389830506,-0.11255423728813559,-0.04198135593220339,-0.1387728813559322,-0.10554406779661017,-0.03763559322033897,-0.12463220338983051,3.1016949152542375,-16.452
adam-sparks,cusa,-0.2133,-0.1939,-0.2219,-0.164,-0.029800000000000004,-0.2236,-0.1826,-0.029,-0.2509,-50.0,-34.585
adam-sparks,american,-0.07529999999999999,-0.0581,-0.10005454545454545,-0.08370909090909091,-0.07763636363636363,-0.12882727272727273,-0.08672727272727272,-0.07706363636363636,-0.13897272727272728,-9.272727272727273,-11.182727272727274
adam-sparks,mwc,0.0,0.0,0.0,-0.0098,0.0,-0.0098,-0.0285,0.0,-0.0285,0.0,-0.413
adam-zucker,acc,0.009087482993197279,0.05038979591836734,0.006044761904761904,-0.269401768707483,-0.25738367346938773,-0.22614108843537414,-0.25874802721088436,-0.24632829931972788,-0.21707102040816326,-2.126530612244898,-17.883425850340135
adam-zucker,pac-12,-0.04667016861219196,-0.05085291828793774,-0.018321789883268484,-0.22516705577172505,-0.22890402075226976,-0.17264630350194551,-0.21700843060959793,-0.2154953307392996,-0.1678059662775616,-1.9520103761348897,-19.49434889753567
adam-zucker,sec,-0.014752109911678116,-0.0027668302257114817,-0.001359960745829243,-0.4719483807654563,-0.4504528949950932,-0.4077944062806673,-0.4518276741903827,-0.4268150147203141,-0.3968901864573111,-0.78900883218842,-21.726729146221786
adam-zucker,mac,-0.06954427860696517,-0.05435074626865672,-0.08679651741293533,-0.6999139303482588,-0.7263004975124379,-0.6498820895522389,-0.679768656716418,-0.7118741293532339,-0.621928855721393,3.2487562189054726,-21.590860696517414
adam-zucker,big-12,-0.035737302551640336,-0.049470230862697445,-0.011169258809234507,-0.23710328068043743,-0.25598967193195626,-0.17846257594167678,-0.22828663426488455,-0.2434426488456865,-0.17225601458080197,-0.9623329283110571,-17.65851154313487
adam-zucker,big-ten,-0.04968716875871688,-0.016998047419804745,-0.05012733612273361,-0.27380990237099023,-0.23815383542538357,-0.243118410041841,-0.2628506276150628,-0.22249986052998605,-0.23592845188284517,-3.097629009762901,-21.023538354253837
adam-zucker,mwc,-0.07407256097560976,-0.0573140243902439,-0.03741829268292683,-0.07650548780487805,-0.06602682926829269,-0.044449999999999996,-0.09350243902439025,-0.07719512195121951,-0.055785365853658536,-4.195121951219512,-6.182317073170732
adam-zucker,american,-0.017542597402597403,-0.04763922077922078,0.0017425974025974038,-0.10160311688311689,-0.08967532467532467,-0.08367376623376623,-0.10539506493506494,-0.09416363636363637,-0.08720207792207793,-3.483116883116883,-10.524150649350648
adam-zucker,cusa,0.14947121212121212,0.002036363636363635,0.19596212121212123,0.09871969696969697,0.029333333333333333,0.10310757575757576,0.09557878787878789,0.0232,0.10848787878787879,15.363636363636363,11.857530303030302
bill-rabinowitz,acc,0.06983333333333333,0.10305833333333334,0.045358333333333334,-0.30526785714285715,-0.34883214285714287,-0.23746785714285712,-0.2755940476190476,-0.3005559523809524,-0.22824642857142857,1.5714285714285714,-9.448238095238095
bill-rabinowitz,sec,0.00833015873015873,-0.11231904761904761,0.10483968253968255,-0.4345,-0.5057214285714285,-0.3683896825396825,-0.4108031746031746,-0.48184682539682544,-0.3441119047619048,2.753968253968254,-23.192031746031745
bill-rabinowitz,mac,-0.0313,0.0529,-0.0968,-0.3977,-0.1747,-0.5712,-0.4033,-0.1678,-0.5864,-3.0,-37.447
bill-rabinowitz,big-12,-0.046356880733944957,-0.059566972477064224,-0.0013100917431192653,-0.25038165137614676,-0.24073486238532113,-0.15993302752293578,-0.2544275229357798,-0.2376743119266055,-0.16303119266055044,-0.3394495412844037,-17.278798165137616
bill-rabinowitz,pac-12,-0.009716279069767443,0.05732945736434109,-0.05382015503875969,-0.1952124031007752,-0.12220387596899225,-0.23181627906976743,-0.18673565891472868,-0.10714108527131784,-0.2295317829457364,-1.2015503875968991,-19.800906976744187
bill-rabinowitz,big-ten,-0.08010169491525423,0.001728813559322035,-0.11856610169491526,-0.23110169491525423,-0.14030677966101696,-0.2850305084745763,-0.22425762711864408,-0.12833898305084745,-0.2766338983050848,-9.508474576271187,-29.292898305084744
bill-rabinowitz,mwc,-0.1387,0.0,-0.1387,-0.1261,0.0,-0.1261,-0.1429,0.0,-0.1429,-11.0,-8.413
bill-rabinowitz,american,-0.07427272727272727,-0.058227272727272725,-0.0352,-0.09073636363636363,-0.0805,-0.06757272727272727,-0.08887272727272727,-0.07980000000000001,-0.07194545454545455,-5.818181818181818,-8.394727272727273
bill-rabinowitz,cusa,-0.0975,-0.0635,-0.1088,-0.0585,0.1075,-0.1138,-0.0808,0.118,-0.1471,-15.0,-7.852
