,Team,appearances_AP25,avg_rank
0,air-force-falcons,452,22.52654867256637
1,alabama-crimson-tide,10258,3.2694482355234937
2,appalachian-state-mountaineers,791,23.074589127686473
3,arizona-state-sun-devils,1693,17.76018901358535
4,arizona-wildcats,1435,16.78466898954704
5,arkansas-razorbacks,1386,18.644300144300143
6,arkansas-state-red-wolves,26,26.0
7,army-west-point-black-knights,572,23.71153846153846
8,auburn-tigers,5201,12.58258027302442
9,ball-state-cardinals,62,23.29032258064516
10,baylor-bears,4232,10.860113421550095
11,boise-state-broncos,2788,20.992109038737446
12,boston-college-eagles,325,23.05846153846154
13,bowling-green-falcons,3,26.0
14,buffalo-bulls,171,24.57894736842105
15,byu-cougars,2558,16.0
16,california-golden-bears,449,22.501113585746104
17,central-michigan-chippewas,8,26.0
18,cincinnati-bearcats,3433,12.77832799300903
19,clemson-tigers,8784,6.775956284153006
20,coastal-carolina-chanticleers,1427,17.0
21,colorado-buffaloes,1060,18.7311320754717
22,colorado-state-rams,211,23.05687203791469
23,duke-blue-devils,1165,21.724463519313304
24,east-carolina-pirates,341,20.287390029325515
25,florida-atlantic-owls,49,26.0
26,florida-gators,5397,12.97035390031499
27,florida-state-seminoles,4689,8.81445937300064
28,fresno-state-bulldogs,699,22.253218884120173
29,georgia-bulldogs,9041,5.45249419312023
30,georgia-southern-eagles,22,26.0
31,georgia-tech-yellow-jackets,690,17.328985507246376
32,houston-cougars,1845,16.124661246612465
33,illinois-fighting-illini,415,19.70843373493976
34,indiana-hoosiers,802,13.346633416458852
35,iowa-hawkeyes,4182,16.576757532281206
36,iowa-state-cyclones,1948,18.06365503080082
37,james-madison-dukes,471,23.630573248407643
38,kansas-jayhawks,553,21.84086799276673
39,kansas-state-wildcats,3169,17.9826443673083
40,kentucky-wildcats,1981,16.679959616355376
41,liberty-flames,938,22.46268656716418
42,louisiana-lafayette-ragin-cajuns,1164,20.628006872852232
43,louisiana-tech-bulldogs,17,26.0
44,louisville-cardinals,2675,14.942429906542056
45,lsu-tigers,7203,12.390948216021103
46,marshall-thundering-herd,1061,20.929311969839773
47,maryland-terrapins,238,24.907563025210084
48,memphis-tigers,1738,20.345224395857308
49,miami-fl-hurricanes,3745,14.119359145527369
50,miami-oh-redhawks,18,26.0
51,michigan-state-spartans,4422,11.794663048394392
52,michigan-wolverines,7845,9.261440407903123
53,minnesota-golden-gophers,1144,18.085664335664337
54,mississippi-state-bulldogs,2782,16.719266714593818
55,missouri-tigers,1918,16.71584984358707
56,navy-midshipmen,943,21.597030752916226
57,nebraska-cornhuskers,1553,17.766258853831296
58,nevada-wolf-pack,16,26.0
59,north-carolina-state-wolfpack,2565,20.689668615984406
60,north-carolina-tar-heels,3168,17.30808080808081
61,north-dakota-state-bison,78,26.0
62,northern-illinois-huskies,76,24.013157894736842
63,northwestern-wildcats,1719,18.589877835951135
64,notre-dame-fighting-irish,8469,9.976030227889952
65,ohio-state-buckeyes,10037,4.950782106207034
66,oklahoma-sooners,9116,9.540917068889865
67,oklahoma-state-cowboys,6126,14.758080313418217
68,ole-miss-rebels,5249,13.002667174699942
69,oregon-ducks,7143,10.816463670726586
70,oregon-state-beavers,1305,16.970114942528735
71,penn-state-nittany-lions,6691,10.539530712897923
72,pittsburgh-panthers,1235,21.08582995951417
73,purdue-boilermakers,166,25.879518072289155
74,rutgers-scarlet-knights,7,26.0
75,san-diego-state-aztecs,1255,23.19043824701195
76,san-jose-state-spartans,168,22.642857142857142
77,south-alabama-jaguars,10,26.0
78,south-carolina-gamecocks,672,20.407738095238095
79,south-florida-bulls,1108,21.02346570397112
80,southern-methodist-mustangs,1385,20.790613718411553
81,stanford-cardinal,3128,14.476023017902813
82,syracuse-orange,867,18.448673587081892
83,tcu-horned-frogs,3945,10.280608365019011
84,temple-owls,522,23.095785440613028
85,tennessee-volunteers,3257,13.931225053730428
86,texas-am-aggies,5011,13.9351426860906
87,texas-longhorns,4492,13.29919857524488
88,texas-tech-red-raiders,194,25.47422680412371
89,toledo-rockets,563,22.884547069271758
90,troy-trojans,270,23.95925925925926
91,tulane-green-wave,1205,20.031535269709543
92,tulsa-golden-hurricane,442,22.667420814479637
93,uab-blazers,77,26.0
94,ucf-knights,2647,15.797884397431053
95,ucla-bruins,2938,16.10925799863853
96,unlv-rebels,63,26.0
97,usc-trojans,5651,13.994337285436206
98,utah-state-aggies,450,19.715555555555557
99,utah-utes,6217,15.332636319768376
100,utsa-roadrunners,634,20.917981072555204
101,vanderbilt-commodores,40,26.0
102,virginia-cavaliers,504,22.83531746031746
103,virginia-tech-hokies,2251,18.72501110617503
104,wake-forest-demon-deacons,1580,17.91582278481013
105,washington-huskies,5028,10.614359586316628
106,washington-state-cougars,2390,17.878242677824268
107,west-virginia-mountaineers,2369,16.68805403123681
108,western-kentucky-hilltoppers,112,26.0
109,western-michigan-broncos,629,16.87758346581876
110,wisconsin-badgers,6052,13.368638466622604
111,wyoming-cowboys,18,26.0
