,Voter,appearances
0,aaron-mcmann,2168
1,aaron-suttles,398
2,adam-cole,773
3,adam-grosbard,1224
4,adam-jude,1997
5,adam-sparks,425
6,adam-zucker,3746
7,alex-schiffer,200
8,alex-taylor,125
9,amie-just,525
10,andy-bitter,399
11,andy-greder,2795
12,andy-yamashita,124
13,audrey-dahlgren,889
14,ben-jones,399
15,ben-portnoy,797
16,bennett-conlin,200
17,bennett-durando,150
18,bill-landis,948
19,bill-oram,75
20,bill-rabinowitz,420
21,blair-kerkhoff,1973
22,blake-toppmeyer,397
23,bob-asmussen,3772
24,bob-ballou,125
25,brandon-marcello,400
26,brenna-greene,125
27,brent-axe,1967
28,bret-bloomquist,400
29,brett-mcmurphy,3763
30,brian-fonseca,924
31,brian-howell,3714
32,brooks-kubena,821
33,bryce-miller,1272
34,cecil-hurt,275
35,chad-leistikow,399
36,chadd-cripe,1219
37,charles-davis,425
38,chip-towers,125
39,chris-murray,4165
40,chris-solari,397
41,chuck-carlton,2847
42,chuck-landon,617
43,chuck-mcgill,422
44,cody-nespor,99
45,colten-bartholomew,1622
46,conor-oneill,1244
47,creg-stephenson,519
48,damien-sordelett,719
49,dana-sulonen,400
50,daniel-berk,474
51,darren-haynes,798
52,dave-foster,397
53,dave-preston,520
54,dave-reardon,2383
55,dave-southorn,1197
56,david-briggs,3741
57,david-jablonski,1728
58,david-paschall,124
59,david-thompson,399
60,davis-potter,847
61,derek-redd,199
62,don-williams,2429
63,donald-heath,422
64,doug-doughty,800
65,doug-lesmerises,966
66,drew-sharp,419
67,duane-rankin,370
68,dustin-dopirak,275
69,dylan-sinn,1769
70,ed-daigneault,1174
71,ed-johnson,1198
72,emily-adams,399
73,emily-leiker,524
74,eric-avidon,797
75,eric-boynton,849
76,eric-hansen,3359
77,ethan-joyce,395
78,ferd-lewis,1641
79,garland-gillen,4160
80,garry-smits,1544
81,gary-horowitz,2421
82,gene-henley,425
83,gentry-estes,823
84,glenn-guilbeau,75
85,grace-raynor,797
86,graham-watson,400
87,grant-ramey,424
88,greg-madia,521
89,harold-gutmann,275
90,henry-greenstein,125
91,ian-kress,125
92,iliana-limon,423
93,jack-ebling,1022
94,james-kratch,1248
95,james-williams,424
96,jared-macdonald,25
97,jason-butt,399
98,jason-galloway,1196
99,jay-binkley,798
100,jeff-miller,796
101,jeff-seidel,375
102,jerry-dipaola,2045
103,jim-alexander,391
104,jim-dunaway,373
105,jim-holder,375
106,jim-polzin,1200
107,jimmy-burch,1198
108,joe-arruda,125
109,joe-dubin,824
110,joe-giglio,398
111,joe-walljasper,398
112,joel-klatt,374
113,joey-kaufman,400
114,joey-knight,1199
115,john-adams,770
116,john-bednarowski,1246
117,john-clay,3742
118,john-pierson,800
119,john-shinn,1196
120,john-silver,422
121,john-steppe,125
122,johnny-mcgonigal,1319
123,jon-johnson,847
124,jon-wilner,4146
125,jonas-pope,796
126,jonny-miller,967
127,jordan-crammer,524
128,jordan-guskey,397
129,jordan-hill,400
130,jordan-mcpherson,124
131,josh-furlong,2167
132,josh-kendall,1187
133,karley-marotta,125
134,kate-rogerson,525
135,kayla-anderson,898
136,keith-sargeant,1990
137,kellis-robinett,2006
138,ken-medlin,799
139,kirk-bohls,4157
140,kirk-kenney,898
141,koki-riley,122
142,kyle-ringo,425
143,larry-vaught,424
144,laura-keeley,374
145,lauren-brownlow,2034
146,lauren-shute,399
147,leah-vann,622
148,logan-lowery,419
149,louis-fernandez-jr,25
150,madison-blevins,824
151,mandy-mitchell,349
152,marc-weiszer,3618
153,mark-whicker,425
154,marq-burnett,375
155,mason-young,125
156,matt-baker,2964
157,matt-brown,2968
158,matt-charboneau,1174
159,matt-galloway,399
160,matt-mccoy,2416
161,matt-murschel,1325
162,matt-porter,394
163,michael-bonner,399
164,michael-katz,125
165,michael-lev,4159
166,michael-vega,567
167,mike-barber,1996
168,mike-berardino,796
169,mike-herndon,425
170,mike-hill,123
171,mike-niziolek,398
172,mike-sands,375
173,mike-sorensen,795
174,mike-vorel,1198
175,mitch-vingle,1199
176,nate-mink,1645
177,nate-sandell,800
178,nathan-baird,1615
179,nathan-deen,770
180,neill-ostrout,1648
181,ngozi-ekeledo,50
182,nick-baumgardner,425
183,nick-kelly,400
184,norm-wood,848
185,parrish-alford,822
186,pat-caputo,798
187,pat-dooley,1645
188,patrick-brown,399
189,pete-diprimio,1199
