year,week,voters
2014,1,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'tom-mulhern', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,2,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'josh-kendall')"
2014,3,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,4,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,5,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,6,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,7,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,8,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,9,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
2014,10,"('drew-sharp', 'tommy-deas', 'jimmy-burch', 'ken-medlin', 'iliana-limon', 'steve-sipple', 'jay-binkley', 'john-silver', 'scott-wolf', 'steve-batterson', 'jim-polzin', 'larry-vaught', 'keith-sargeant', 'tim-griffin', 'eric-hansen', 'matt-mccoy', 'chuck-mcgill', 'garland-gillen', 'chadd-cripe', 'garry-smits', 'harold-gutmann', 'michael-lev', 'kirk-bohls', 'pete-diprimio', 'scott-nulph', 'charles-davis', 'bob-asmussen', 'ferd-lewis', 'gary-horowitz', 'daniel-berk', 'bill-rabinowitz', 'eric-avidon', 'mike-sorensen', 'ross-dellenger', 'logan-lowery', 'jon-wilner', 'doug-lesmerises', 'nick-baumgardner', 'robert-cessna', 'nate-sandell', 'adam-zucker', 'brett-mcmurphy', 'rob-long', 'ed-johnson', 'adam-sparks', 'kellis-robinett', 'donald-heath', 'seth-emerson', 'grant-ramey', 'chris-murray', 'mike-herndon', 'sam-werner', 'adam-jude', 'kyle-ringo', 'tom-murphy', 'john-shinn', 'doug-doughty', 'joey-knight', 'brent-axe', 'josh-kendall')"
