season,voter,team,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
2014,adam-jude,florida-state-seminoles,30.3922,0.0,57.4074,-145.5416,-248.1062,-54.373,-124.5098,-206.25,-51.8519,7.0,-32.205
2014,adam-jude,mississippi-state-bulldogs,9.016,15.1786,6.2771,-100.3895,-61.8612,-117.5132,-88.0815,-54.4792,-103.0159,11.0,-18.935
2014,adam-jude,alabama-crimson-tide,10.9944,16.0714,6.4815,-105.2286,-66.437,-139.71,-101.3725,-56.25,-141.4815,11.0,-34.851
2014,adam-jude,ohio-state-buckeyes,6.6873,11.3258,2.5641,-25.9701,-8.2445,-41.7261,-26.3645,-7.5242,-43.1115,16.0,-18.418
2014,adam-jude,oregon-ducks,-27.6471,-25.0,-30.0,-117.024,-127.5366,-107.6794,-108.6975,-111.6071,-106.1111,-16.0,-53.83
2014,adam-jude,auburn-tigers,7.0411,17.5,-2.2557,-34.0995,-29.0158,-38.6184,-30.2929,-28.869,-31.5585,11.0,-26.275
2014,adam-jude,ole-miss-rebels,2.8887,2.1875,3.512,-27.9069,-32.4034,-23.9099,-25.6329,-28.0641,-23.4718,4.0,-36.587
2014,adam-jude,tcu-horned-frogs,-9.596,5.5556,-12.963,-47.0801,-15.0136,-54.206,-48.6754,-13.1313,-56.5741,-3.0,-23.315
2014,adam-jude,oklahoma-sooners,-2.8969,2.2222,-8.0161,-23.4407,-36.1794,-10.7019,-22.428,-33.9931,-10.863,-13.0,-30.241
2014,adam-jude,georgia-bulldogs,14.0725,1.0927,25.6102,-12.8439,-28.5637,1.1292,-11.6664,-27.5852,2.4837,32.0,-6.719
2014,adam-jude,baylor-bears,-0.7446,0.0843,-1.4815,-33.6663,-31.4522,-35.6344,-31.6457,-30.5804,-32.5926,-3.0,-38.087
2014,adam-jude,texas-am-aggies,-16.3588,-16.131,-18.1818,-38.2864,-42.4166,-5.2455,-39.4444,-43.2386,-9.0909,-10.0,-19.922
2014,adam-jude,notre-dame-fighting-irish,-1.7742,4.422,-14.1667,-34.9602,-28.671,-47.5387,-30.1431,-23.1313,-44.1667,2.0,-30.9
2014,adam-jude,michigan-state-spartans,7.8782,10.9871,5.1146,-23.1936,-20.0142,-26.0197,-20.5506,-16.3833,-24.2549,10.0,-34.684
2014,adam-jude,ucla-bruins,-7.3032,-10.7178,-4.2681,-25.204,-32.0195,-19.1458,-22.5938,-27.8317,-17.9378,-13.0,-39.991
2014,adam-jude,lsu-tigers,-11.4214,-21.1217,2.1591,-20.5315,-30.9732,-5.9132,-23.4324,-32.8638,-10.2284,-15.0,-27.29
2014,adam-jude,arizona-state-sun-devils,-3.8794,-6.6757,-1.3937,-18.3552,-14.6601,-21.6397,-17.3154,-13.6695,-20.5561,-11.0,-42.623
2014,adam-jude,arizona-wildcats,-7.768,8.4615,-11.3746,-24.1613,-9.833,-27.3454,-24.4839,-10.8974,-27.5031,-11.0,-32.126
2014,adam-jude,georgia-tech-yellow-jackets,-1.8056,0.0,-1.8056,-22.9046,0.0,-22.9046,-21.6774,0.0,-21.6774,-1.0,-12.879
2014,adam-jude,kansas-state-wildcats,5.1441,14.4745,2.034,-11.1038,3.8326,-16.0826,-10.5324,5.287,-15.8056,8.0,-13.362
2014,adam-jude,wisconsin-badgers,-17.7466,-26.0475,-10.6314,-28.6897,-37.3085,-21.3022,-28.3647,-37.6517,-20.4044,-30.0,-48.268
2014,adam-jude,boise-state-broncos,-19.2956,0.0,-19.2956,-21.4137,0.0,-21.4137,-23.408,0.0,-23.408,-7.0,-7.413
2014,adam-jude,usc-trojans,0.9354,-2.7635,8.3333,-10.3912,-17.7757,4.3776,-11.4274,-17.8658,1.4493,2.0,-12.29
2014,adam-jude,south-carolina-gamecocks,24.8067,24.8067,0.0,7.364,7.364,0.0,6.5278,6.5278,0.0,9.0,3.383
2014,adam-jude,nebraska-cornhuskers,-3.6791,-5.5724,-1.7857,-7.1288,-5.0159,-9.2417,-7.0164,-5.809,-8.2237,-10.0,-14.381
2014,adam-jude,missouri-tigers,-9.2349,-9.8616,-8.4828,-13.4567,-5.0443,-23.5516,-14.5116,-6.9298,-23.6096,-17.0,-20.473
2014,adam-jude,stanford-cardinal,4.0277,4.0277,0.0,-5.5051,-5.5051,0.0,-6.3582,-6.3582,0.0,2.0,-7.762
2014,adam-jude,oklahoma-state-cowboys,-19.0773,-20.6121,-8.3333,-12.252,-15.9143,13.384,-15.5118,-18.6802,6.6667,-29.0,-16.726
2014,adam-jude,clemson-tigers,-0.321,-5.7859,5.144,-2.1997,-1.2327,-3.1668,-5.1675,-5.1326,-5.2024,-2.0,-4.726
2014,adam-jude,ucf-knights,-52.9412,-52.9412,0.0,-25.3412,-25.3412,0.0,-29.4118,-29.4118,0.0,-9.0,-4.308
2014,adam-jude,utah-utes,-0.243,-5.2632,0.5937,-4.3355,-9.5263,-3.4703,-4.9248,-10.5263,-3.9912,0.0,-5.032
2014,adam-jude,west-virginia-mountaineers,-10.0478,0.0,-10.0478,-8.7034,0.0,-8.7034,-10.6934,0.0,-10.6934,-6.0,-4.892
2014,adam-jude,marshall-thundering-herd,-1.0249,-13.6364,0.7768,-1.3185,0.6543,-1.6003,-4.132,0.0,-4.7223,-2.0,-1.842
2014,adam-jude,virginia-tech-hokies,17.6471,17.6471,0.0,12.3091,12.3091,0.0,17.6471,17.6471,0.0,3.0,2.192
2014,adam-jude,east-carolina-pirates,13.5234,21.4912,5.5556,3.7994,8.7336,-1.1348,3.631,9.6429,-2.381,10.0,3.176
2014,adam-jude,duke-blue-devils,0.0758,0.0,0.0758,2.3692,0.0,2.3692,0.6667,0.0,0.6667,0.0,2.842
2014,adam-jude,colorado-state-rams,-4.881,0.0,-4.881,-5.9651,0.0,-5.9651,-4.881,0.0,-4.881,-2.0,-2.438
2014,adam-jude,byu-cougars,18.1913,18.1913,0.0,14.7607,14.7607,0.0,11.6385,11.6385,0.0,11.0,9.174
2014,adam-jude,louisville-cardinals,0.2174,0.0,0.2174,-2.6663,0.0,-2.6663,-4.6239,0.0,-4.6239,0.0,-1.748
2014,adam-jude,minnesota-golden-gophers,-5.5556,0.0,-5.5556,-1.7119,0.0,-1.7119,-3.0303,0.0,-3.0303,-4.0,-1.11
2014,adam-jude,texas-tech-red-raiders,-13.0435,-13.0435,0.0,-5.9783,-5.9783,0.0,-7.6087,-7.6087,0.0,-6.0,-2.75
2014,adam-jude,penn-state-nittany-lions,-11.8659,-11.8659,0.0,4.344,4.344,0.0,1.1364,1.1364,0.0,-11.0,3.83
2014,adam-jude,washington-huskies,-4.1667,-4.1667,0.0,4.3478,4.3478,0.0,4.3478,4.3478,0.0,-1.0,1.0
2014,adam-jude,iowa-hawkeyes,-4.0,-4.0,0.0,12.7414,12.7414,0.0,12.3433,12.3433,0.0,-3.0,8.25
2014,adam-jude,air-force-falcons,-4.0,0.0,-4.0,8.6957,0.0,8.6957,4.1667,0.0,4.1667,-1.0,2.0
2014,adam-sparks,florida-state-seminoles,16.4706,6.25,25.5556,-154.5208,-238.9042,-79.5133,-131.7647,-195.8333,-74.8148,3.0,-36.205
2014,adam-sparks,mississippi-state-bulldogs,-0.4274,18.4524,-8.8183,-111.1724,-59.1669,-134.2859,-98.4982,-51.6667,-119.3122,-1.0,-30.935
2014,adam-sparks,alabama-crimson-tide,29.1317,95.2381,-29.6296,-96.2438,-1.5837,-180.3861,-92.9412,5.625,-180.5556,17.0,-28.851
2014,adam-sparks,ohio-state-buckeyes,4.9797,3.2741,6.4957,-27.0519,-15.3957,-37.4129,-27.6783,-15.1556,-38.8095,5.0,-29.418
2014,adam-sparks,auburn-tigers,-50.9581,-118.75,9.3013,-113.7344,-217.4479,-21.5446,-110.7325,-216.6667,-16.5688,-14.0,-51.275
2014,adam-sparks,ole-miss-rebels,-6.4988,-1.9792,-10.5163,-38.9411,-37.8707,-39.8927,-35.9206,-32.5054,-38.9562,-7.0,-47.587
2014,adam-sparks,oregon-ducks,18.4314,43.75,-4.0741,-53.7938,-37.7986,-68.0117,-48.5994,-28.6905,-66.2963,3.0,-34.83
2014,adam-sparks,oklahoma-sooners,15.3456,12.0833,20.5651,-13.7326,-27.3829,8.108,-12.0513,-24.7917,8.3333,21.0,-3.769
2014,adam-sparks,texas-am-aggies,-62.9464,-70.7483,-8.3333,-101.6103,-116.648,3.6538,-103.125,-117.8571,0.0,-19.0,-28.801
2014,adam-sparks,notre-dame-fighting-irish,-3.5584,-4.3122,-2.3523,-35.1735,-43.1786,-22.3655,-30.733,-37.0693,-20.5948,2.0,-28.285
2014,adam-sparks,georgia-bulldogs,1.3803,-14.8422,15.8003,-23.541,-42.4353,-6.7461,-22.4378,-41.4792,-5.512,9.0,-29.719
2014,adam-sparks,tcu-horned-frogs,11.1616,26.3889,7.7778,-21.0727,6.7491,-27.2553,-21.7021,9.0909,-28.545,8.0,-12.315
2014,adam-sparks,baylor-bears,-6.4146,14.2857,-24.8148,-41.0066,-15.4833,-63.694,-38.7624,-14.5576,-60.2778,-6.0,-41.087
2014,adam-sparks,south-carolina-gamecocks,-28.0066,-28.0066,0.0,-35.6832,-35.6832,0.0,-36.6557,-36.6557,0.0,-21.0,-22.088
2014,adam-sparks,lsu-tigers,-7.25,-12.942,0.3392,-12.8628,-18.7469,-5.0173,-15.4835,-20.784,-8.4162,-8.0,-14.09
2014,adam-sparks,arizona-state-sun-devils,16.0028,20.2919,12.1904,0.2517,11.5512,-9.7924,1.3233,12.7348,-8.8203,42.0,10.377
2014,adam-sparks,michigan-state-spartans,40.2329,53.858,28.1217,6.1415,16.0405,-2.6575,8.911,19.8878,-0.8462,60.0,15.316
2014,adam-sparks,clemson-tigers,-4.4116,-31.131,10.8566,-12.7767,-38.2867,1.8005,-15.0644,-41.6423,0.123,1.0,-11.817
2014,adam-sparks,ucla-bruins,-8.3546,-7.6802,-8.9541,-26.2279,-29.2571,-23.5353,-23.6943,-25.201,-22.355,-24.0,-50.991
2014,adam-sparks,arizona-wildcats,-16.4349,-11.6667,-17.4946,-33.9976,-28.2939,-35.2651,-34.1837,-29.5455,-35.2144,-19.0,-40.126
2014,adam-sparks,georgia-tech-yellow-jackets,3.231,-13.73,14.5384,-4.5942,-8.0005,-2.3233,-5.7154,-11.7849,-1.6691,0.0,-6.525
2014,adam-sparks,usc-trojans,-4.1527,-8.1059,6.3889,-12.3318,-17.9879,2.7511,-13.0442,-17.8593,-0.2039,-4.0,-14.449
2014,adam-sparks,stanford-cardinal,0.9479,0.9479,0.0,-14.2265,-14.2265,0.0,-15.1381,-15.1381,0.0,2.0,-10.939
2014,adam-sparks,kansas-state-wildcats,11.4374,0.0,11.4374,-5.2237,0.0,-5.2237,-4.9041,0.0,-4.9041,11.0,-5.821
2014,adam-sparks,virginia-tech-hokies,-29.2727,-29.2727,0.0,-26.3603,-26.3603,0.0,-24.0812,-24.0812,0.0,-7.0,-4.708
2014,adam-sparks,nebraska-cornhuskers,-33.2858,-47.702,-10.2198,-38.0555,-45.9686,-25.3944,-38.3872,-47.698,-23.4898,-62.0,-69.593
2014,adam-sparks,wisconsin-badgers,8.3333,31.746,-5.7143,-6.6493,16.3197,-20.4306,-5.1542,15.6746,-17.6515,13.0,-2.782
2014,adam-sparks,duke-blue-devils,-30.6384,-26.3889,-31.5827,-22.2761,-14.8125,-23.9347,-24.0587,-17.7083,-25.4699,-60.0,-41.165
2014,adam-sparks,missouri-tigers,-10.0667,-10.6349,-9.5796,-11.3692,-5.6557,-16.2665,-12.7813,-7.5661,-17.2514,-25.0,-23.798
2014,adam-sparks,marshall-thundering-herd,-21.3322,-19.3935,-22.1939,-16.3996,-2.9806,-22.3636,-18.2625,-2.9016,-25.0896,-50.0,-34.585
2014,adam-sparks,louisville-cardinals,-11.4817,-25.6441,9.7619,-9.1744,-18.4532,4.7436,-13.0669,-23.2941,2.2739,-10.0,-7.162
2014,adam-sparks,east-carolina-pirates,-10.6873,-9.1289,-14.5833,-15.0375,-12.1994,-22.1326,-15.3975,-12.112,-23.6111,-14.0,-18.486
2014,adam-sparks,boise-state-broncos,0.0,0.0,0.0,-0.9801,0.0,-0.9801,-2.8518,0.0,-2.8518,0.0,-0.413
2014,adam-sparks,utah-utes,12.1393,0.0,12.1393,5.0292,0.0,5.0292,5.4609,0.0,5.4609,12.0,5.645
2014,adam-sparks,byu-cougars,-3.7463,-3.7463,0.0,-1.1935,-1.1935,0.0,-4.985,-4.985,0.0,-3.0,-0.478
2014,adam-sparks,oklahoma-state-cowboys,25.1389,25.1389,0.0,25.5466,25.5466,0.0,28.2135,28.2135,0.0,11.0,13.847
2014,adam-sparks,colorado-state-rams,-1.0,0.0,-1.0,0.6541,0.0,0.6541,-0.0453,0.0,-0.0453,-1.0,0.673
2014,adam-sparks,washington-huskies,-8.8182,-8.8182,0.0,3.2828,3.2828,0.0,3.2828,3.2828,0.0,-4.0,1.5
2014,adam-sparks,minnesota-golden-gophers,4.5455,0.0,4.5455,-1.6652,0.0,-1.6652,-4.3478,0.0,-4.3478,1.0,-0.383
2014,adam-sparks,texas-longhorns,-6.1667,-6.1667,0.0,7.1236,7.1236,0.0,6.5217,6.5217,0.0,-3.0,3.255
2014,adam-sparks,virginia-cavaliers,-8.3333,-8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
2014,adam-sparks,west-virginia-mountaineers,14.5455,0.0,14.5455,10.3284,0.0,10.3284,6.7194,0.0,6.7194,6.0,4.489
2014,adam-sparks,memphis-tigers,-2.0,0.0,-2.0,3.3017,0.0,3.3017,3.1037,0.0,3.1037,-1.0,1.598
2014,adam-zucker,florida-state-seminoles,121.5686,243.75,12.963,-70.5294,-29.8387,-106.6989,-56.8627,-12.5,-96.2963,23.0,-16.205
2014,adam-zucker,oregon-ducks,-26.2255,-43.2292,-11.1111,-127.991,-183.9716,-78.2306,-116.4593,-161.0176,-76.8519,-5.0,-42.83
2014,adam-zucker,alabama-crimson-tide,1.4706,4.1667,-0.9259,-122.6048,-116.4386,-128.0859,-119.4538,-110.7143,-127.2222,6.0,-39.851
2014,adam-zucker,auburn-tigers,-40.7095,-90.0,3.1043,-101.6438,-184.744,-27.777,-99.112,-184.5833,-23.1374,-22.0,-59.275
2014,adam-zucker,mississippi-state-bulldogs,-2.3307,-13.2143,3.7157,-104.2145,-73.0535,-121.5262,-92.3309,-66.5385,-106.6601,-2.0,-27.364
2014,adam-zucker,ohio-state-buckeyes,1.3059,15.7437,-11.5277,-33.3394,-4.0608,-59.3648,-34.1372,-3.8889,-61.0245,7.0,-27.418
2014,adam-zucker,oklahoma-sooners,-17.7627,-35.8333,11.1503,-55.1921,-89.249,-0.7011,-53.4818,-86.5625,-0.5526,2.0,-22.769
2014,adam-zucker,ole-miss-rebels,8.3157,13.2267,3.9503,-23.9447,-23.2231,-24.586,-21.7569,-17.8157,-25.2601,25.0,-15.587
2014,adam-zucker,tcu-horned-frogs,-0.1389,2.7778,-1.1111,-29.9445,-4.1509,-38.5423,-31.3292,-4.5089,-40.2694,1.0,-16.029
2014,adam-zucker,baylor-bears,6.3072,2.5,9.6914,-26.0342,-29.0038,-23.3945,-24.2042,-28.1006,-20.7407,6.0,-29.087
2014,adam-zucker,michigan-state-spartans,-3.2432,-8.7019,1.6089,-37.0118,-44.0878,-30.722,-34.3755,-39.8611,-29.4994,-2.0,-46.684
2014,adam-zucker,texas-am-aggies,-8.5742,-8.0156,-13.0435,-27.7142,-31.0947,-0.6696,-28.8647,-31.9293,-4.3478,-8.0,-17.922
2014,adam-zucker,georgia-bulldogs,3.1179,1.5253,4.5335,-19.4378,-20.5844,-18.4186,-18.2831,-19.7484,-16.9806,7.0,-31.719
2014,adam-zucker,notre-dame-fighting-irish,2.2475,3.6928,-0.0649,-26.6621,-30.4485,-20.6038,-22.4942,-25.0,-18.4848,1.0,-29.285
2014,adam-zucker,arizona-state-sun-devils,-7.7841,-8.5668,-7.1753,-25.3122,-20.3401,-29.1794,-24.0755,-18.7274,-28.2352,-13.0,-48.023
2014,adam-zucker,ucla-bruins,4.7799,1.1943,8.3655,-17.1587,-22.4525,-11.865,-14.325,-18.281,-10.3691,8.0,-26.67
2014,adam-zucker,arizona-wildcats,1.1968,11.6667,-1.1298,-14.5287,-4.9554,-16.6561,-14.5541,-5.8333,-16.4921,1.0,-20.126
2014,adam-zucker,usc-trojans,-8.1616,-10.7511,-4.5362,-16.4695,-24.1519,-5.714,-17.9793,-24.7633,-8.4816,-16.0,-29.579
