voter,team,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
adam-jude,florida-state-seminoles,18.276474999999998,10.358450000000001,20.02225,-45.276525,-75.552925,-16.226675,-39.262924999999996,-63.604,-15.35885,12.0,-16.008
adam-jude,mississippi-state-bulldogs,0.4401250000000001,-6.777575,7.364475,-29.561775,-26.34855,-29.164825,-27.154375,-25.803024999999998,-25.486425,1.5,-10.0955
adam-jude,alabama-crimson-tide,12.13518,20.9966,3.46892,-139.90896,-127.34783999999999,-151.00798,-134.29793999999998,-116.71692,-150.21296,5.2,-30.2994
adam-jude,ohio-state-buckeyes,5.6276399999999995,11.674879999999998,-0.010999999999999944,-78.02504,-89.17862,-68.0897,-68.10836,-75.78856,-61.2178,7.2,-28.7606
adam-jude,oregon-ducks,-9.725449999999999,-10.29145,-11.720324999999999,-35.113425,-40.34465,-35.335300000000004,-34.306975,-37.223225,-35.39535,-6.25,-19.8595
adam-jude,auburn-tigers,-10.3935,-4.040260000000001,-0.8733200000000002,-37.500080000000004,-30.340660000000003,-17.66114,-35.75652,-30.000220000000002,-16.240519999999997,1.0,-20.294599999999996
adam-jude,ole-miss-rebels,-4.830866666666666,-4.524466666666666,-5.0336,-26.348733333333332,-29.4405,-18.8361,-25.434433333333335,-28.025433333333336,-18.546433333333333,-8.333333333333334,-31.989333333333335
adam-jude,tcu-horned-frogs,-7.326040000000001,-0.6636800000000006,-4.66868,-37.58084,-34.70662,-23.84308,-34.87624,-29.58358,-23.15048,-0.6,-20.6164
adam-jude,oklahoma-sooners,-1.9323000000000001,-2.7455,-2.194,-38.31968,-40.2034,-37.99852,-36.34366,-39.49474,-34.89878,0.2,-27.1008
adam-jude,georgia-bulldogs,24.018340000000002,28.40798,2.8125,-17.41152,-15.657499999999999,-24.03862,-13.52222,-10.3814,-24.14018,17.6,-8.1664
adam-jude,baylor-bears,-6.313,-3.6843,-7.3474,-45.15110000000001,-46.26566666666667,-47.87213333333333,-40.62383333333333,-42.595166666666664,-40.64503333333334,-8.666666666666666,-37.338
adam-jude,texas-am-aggies,-11.837480000000001,-9.44472,-3.3342,-23.2857,-23.0072,-4.89546,-24.79326,-24.788899999999998,-5.296519999999999,-3.0,-11.702200000000001
adam-jude,notre-dame-fighting-irish,-3.9641399999999996,-0.4848399999999996,2.25522,-34.72566,-23.607499999999998,-31.079739999999997,-32.506420000000006,-22.4966,-28.91578,4.2,-22.0644
adam-jude,michigan-state-spartans,-2.8909000000000002,-0.45661999999999947,-5.17174,-28.784540000000003,-32.58264,-17.47646,-27.1555,-28.71588,-18.953039999999998,-1.0,-21.073999999999998
adam-jude,ucla-bruins,-18.312150000000003,-22.124,-2.555125,-28.8233,-35.083175,-7.807525,-28.613525,-34.285849999999996,-8.028825,-11.75,-22.2925
adam-jude,lsu-tigers,-5.3381,-7.46402,-2.84726,-23.063799999999997,-26.48798,-19.36788,-24.17806,-27.75236,-20.4999,-4.6,-22.900799999999997
adam-jude,arizona-state-sun-devils,-13.100275,-13.79935,-0.348425,-14.918575,-13.9948,-5.409925,-14.7274,-13.815925,-5.139025,-6.5,-13.22625
adam-jude,arizona-wildcats,-8.091633333333334,0.3552333333333329,-6.828566666666667,-11.355666666666666,-6.375699999999999,-9.319,-12.765500000000001,-7.217033333333333,-10.187333333333333,-7.333333333333333,-12.618333333333332
adam-jude,georgia-tech-yellow-jackets,3.72595,4.62875,-0.9028,-12.885499999999999,-1.4332,-11.4523,-12.70885,-1.87015,-10.8387,1.5,-7.247999999999999
adam-jude,kansas-state-wildcats,8.584733333333332,13.0282,-0.6553333333333334,4.432566666666667,6.5127999999999995,-2.4622999999999995,4.556666666666667,6.931233333333334,-2.3699666666666666,7.0,-0.578
adam-jude,wisconsin-badgers,-7.28048,-10.117,2.957020000000001,-30.093220000000002,-35.41892,-15.10332,-29.83294,-33.88548,-16.71912,-7.8,-29.508
adam-jude,boise-state-broncos,-11.36738,-2.9191000000000003,-9.061119999999999,-13.58338,-6.76138,-9.82796,-15.366580000000003,-7.675200000000001,-10.97808,-7.0,-8.7562
adam-jude,usc-trojans,-1.9935599999999998,-2.9086600000000002,-0.8170000000000002,-17.55972,-19.98844,-8.38458,-16.37068,-17.63508,-9.2405,-3.8,-15.9262
adam-jude,south-carolina-gamecocks,24.8067,24.8067,0.0,7.364,7.364,0.0,6.5278,6.5278,0.0,9.0,3.383
adam-jude,nebraska-cornhuskers,-6.37315,-3.6751,-11.25795,-14.457899999999999,-7.8974,-24.32075,-13.26975,-6.80275,-23.2547,-13.5,-20.9155
adam-jude,missouri-tigers,-13.79665,-14.11,-4.2414,-13.04075,-8.83455,-11.7758,-13.57785,-9.786950000000001,-11.8048,-14.0,-13.9695
adam-jude,stanford-cardinal,-0.6124600000000001,2.4648200000000005,-6.891299999999999,-19.40158,-14.08296,-20.31848,-18.2863,-13.23134,-20.007600000000004,-2.6,-20.636400000000002
