season,week,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std,bias0_ap_mean,bias0_ap_std,bias0_mean_mean,bias0_mean_std
2014,1,-2.9007,46.193,-36.6772,65.5171,-33.9135,62.27,-0.5251,3.0772,-1.6469,2.7087
2014,2,-4.1579,73.5719,-41.7233,93.9191,-39.4197,91.0059,-0.4389,3.2279,-1.6517,2.78
2014,3,-2.471,53.9665,-38.3404,78.5955,-33.5717,69.7362,-0.4187,3.2024,-1.63,2.7428
2014,4,-2.2674,48.0472,-36.6124,72.2111,-33.6153,65.9572,-0.344,3.1534,-1.6199,2.7828
2014,5,-1.2861,61.5118,-38.5115,79.663,-35.2388,75.0258,-0.2843,3.1315,-1.6498,2.8119
2014,6,-0.0743,62.9601,-38.3138,78.7036,-35.5574,73.2726,-0.2189,2.7457,-1.6685,2.4912
2014,7,-1.131,44.6082,-35.7534,63.6833,-34.0159,60.8912,-0.2671,2.9781,-1.6574,2.6512
2014,8,-1.4111,35.3418,-34.1242,58.1696,-31.6262,57.2311,-0.3034,2.8394,-1.6738,2.5072
2014,9,-0.8233,34.7342,-34.3605,58.3669,-33.4793,55.2746,-0.1645,2.6821,-1.6669,2.4715
2014,10,-0.1669,38.3552,-35.7553,58.5112,-33.2135,56.5222,-0.0695,2.4757,-1.7615,2.3816
2014,11,-0.4894,28.8811,-33.3013,54.0919,-32.2204,52.038,-0.1117,2.3054,-1.7089,2.16
2014,12,-1.0075,26.1132,-32.6286,51.9706,-33.18,50.4943,-0.1855,2.4174,-1.7068,2.2025
2014,13,-0.6236,30.7785,-33.1546,56.4869,-31.5085,52.6767,-0.1628,2.2936,-1.687,2.1093
2014,14,0.0177,36.6245,-33.9759,60.0257,-32.2397,55.2052,-0.0905,2.042,-1.7242,1.9247
2014,15,-0.2939,36.4513,-34.1025,60.0515,-33.3082,61.0604,-0.1467,2.0088,-1.7746,1.9233
2014,16,-0.6974,38.9308,-34.1825,61.456,-33.7171,61.6418,-0.1808,2.3661,-1.7069,2.2462
2014,17,-0.6124,22.4194,-32.2663,46.9236,-31.5158,46.0774,-0.136,2.2809,-1.7724,2.1217
2015,1,-1.6734,51.0843,-37.4476,66.3923,-35.3893,64.1006,-0.247,3.3864,-1.646,3.1251
2015,3,-1.674,46.8474,-37.0405,63.5794,-33.9033,61.4539,-0.2057,3.051,-1.7247,2.8093
2015,4,-1.716,57.6519,-39.6997,80.3011,-36.3535,75.7757,-0.2677,2.8188,-1.6944,2.5229
2015,5,-1.2361,70.7103,-42.27,87.1955,-35.9105,80.0629,-0.3083,2.8326,-1.7236,2.5542
2015,6,0.4923,84.0623,-44.8734,98.8992,-37.2769,86.9074,-0.1215,2.8449,-1.7539,2.7138
2015,7,1.0295,88.6723,-44.1093,98.4311,-39.3778,87.3964,-0.1686,2.5358,-1.7211,2.3567
2015,8,1.2086,71.3708,-40.6706,87.468,-40.0827,81.5982,-0.1058,2.2695,-1.729,2.1366
2015,9,-0.2078,58.5219,-38.1341,78.113,-32.378,67.7332,-0.123,2.2529,-1.7349,2.1073
2015,10,-0.1556,60.32,-38.3054,78.54,-33.2163,68.2796,-0.1126,2.0597,-1.7665,1.9252
2015,11,-0.6995,37.6936,-35.1694,64.4969,-32.194,59.2754,-0.1361,2.1483,-1.7205,1.98
2015,12,-0.685,31.3114,-33.9809,58.5865,-33.2955,55.5156,-0.1407,2.1579,-1.7623,2.0757
2015,13,-0.7772,26.8839,-32.5243,50.1079,-30.9254,48.9268,-0.1861,2.1334,-1.7422,1.9379
2015,14,-0.4434,25.9095,-32.643,50.7578,-32.2908,49.2822,-0.1192,2.0524,-1.771,1.8665
2015,15,-0.6415,25.9167,-32.5987,51.6422,-30.2742,47.8669,-0.1652,2.1304,-1.7633,1.9358
2015,16,-1.0925,24.2018,-32.2725,47.4406,-31.5027,47.7429,-0.2235,2.578,-1.704,2.2865
2016,1,-2.7029,62.1993,-39.8346,83.6035,-35.6074,76.1006,-0.4576,3.7025,-1.5708,3.2263
2016,2,-1.4768,48.0595,-35.6007,64.5541,-33.759,64.4351,-0.2556,4.2801,-1.487,3.7447
2016,3,-1.5666,42.3328,-35.7635,61.6976,-34.2046,59.9505,-0.2444,3.5865,-1.6035,3.256
2016,4,-1.9004,36.8579,-34.6517,60.3252,-32.6323,56.797,-0.3597,3.2028,-1.6421,2.7643
2016,5,-1.9066,32.5656,-33.6484,58.4411,-32.1647,55.5259,-0.369,2.6747,-1.6508,2.3126
2016,6,-1.3606,27.6939,-32.6069,53.3841,-31.6946,50.3725,-0.2733,2.3906,-1.6791,2.1318
2016,7,-1.3045,27.4443,-32.4591,51.7745,-30.6534,50.1445,-0.2576,2.8036,-1.6707,2.5047
2016,8,-1.0619,26.512,-32.4279,49.3726,-31.1083,48.375,-0.2137,2.9077,-1.6687,2.5915
2016,9,-0.7036,27.6152,-32.8034,49.9242,-31.3514,49.3744,-0.1312,2.7703,-1.681,2.5338
2016,10,-0.9264,25.2171,-32.0642,48.9791,-30.8255,48.2803,-0.1592,2.8508,-1.6466,2.5633
