season,team,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std
2014,air-force-falcons,-0.113,0.0936,-0.0095,0.0896,-0.0358,0.0877
2014,alabama-crimson-tide,0.2241,0.7347,-0.9025,0.946,-0.849,0.9708
2014,arizona-state-sun-devils,0.0017,0.2256,-0.1629,0.2311,-0.1504,0.2307
2014,arizona-wildcats,-0.0246,0.3141,-0.188,0.3483,-0.1894,0.3459
2014,arkansas-razorbacks,-0.1866,0.2407,-0.0309,0.1661,-0.0456,0.1669
2014,auburn-tigers,-0.0042,0.4433,-0.4772,0.6308,-0.4475,0.6567
2014,baylor-bears,-0.0207,0.3502,-0.3687,0.4192,-0.3479,0.4167
2014,boise-state-broncos,-0.0828,0.2033,-0.0918,0.2194,-0.1132,0.2257
2014,boston-college-eagles,-0.2626,0.1547,-0.047,0.1351,-0.0633,0.1393
2014,byu-cougars,-0.1,0.3096,-0.0872,0.2932,-0.122,0.3001
2014,cincinnati-bearcats,-0.1541,0.0929,-0.0322,0.0876,-0.0281,0.0868
2014,clemson-tigers,-0.0515,0.1955,-0.1021,0.1952,-0.129,0.1964
2014,colorado-state-rams,-0.0655,0.1253,-0.0357,0.1352,-0.038,0.1337
2014,duke-blue-devils,-0.1037,0.132,-0.0498,0.131,-0.0671,0.1361
2014,east-carolina-pirates,-0.0254,0.1545,-0.0881,0.153,-0.0902,0.1544
2014,florida-gators,-0.2113,0.1753,-0.0428,0.1542,-0.0729,0.157
2014,florida-state-seminoles,0.2726,0.9887,-1.5755,1.1003,-1.3851,1.021
2014,georgia-bulldogs,-0.0171,0.4319,-0.2734,0.5479,-0.2615,0.5465
2014,georgia-tech-yellow-jackets,-0.0051,0.17,-0.1472,0.179,-0.1493,0.178
2014,iowa-hawkeyes,-0.1972,0.1922,-0.0242,0.1787,-0.0325,0.1811
2014,kansas-state-wildcats,-0.0305,0.2323,-0.1694,0.2495,-0.169,0.2514
2014,kentucky-wildcats,-0.1797,0.1757,-0.0229,0.1545,-0.0422,0.1565
2014,louisville-cardinals,-0.0803,0.1889,-0.0772,0.1792,-0.1015,0.1861
2014,lsu-tigers,-0.0966,0.4902,-0.18,0.5059,-0.208,0.5342
2014,marshall-thundering-herd,-0.067,0.1733,-0.0469,0.1636,-0.0703,0.1713
2014,maryland-terrapins,-0.1304,,-0.087,,-0.087,
2014,memphis-tigers,-0.0871,0.0636,-0.0401,0.0591,-0.0392,0.0596
2014,miami-fl-hurricanes,-0.2396,0.1653,-0.0402,0.1314,-0.0402,0.1314
2014,michigan-state-spartans,0.0492,0.3275,-0.293,0.3602,-0.2637,0.3636
2014,michigan-wolverines,-0.1981,0.2071,-0.0128,0.1867,-0.0709,0.2097
2014,minnesota-golden-gophers,-0.0861,0.1077,-0.0495,0.0935,-0.07,0.0982
2014,mississippi-state-bulldogs,0.0889,0.5203,-0.9266,0.965,-0.8195,0.8713
2014,missouri-tigers,-0.0612,0.257,-0.1116,0.242,-0.1203,0.2425
2014,nebraska-cornhuskers,-0.0531,0.2059,-0.114,0.1954,-0.1142,0.1954
2014,north-carolina-tar-heels,-0.1647,0.1936,-0.0931,0.1685,-0.1366,0.1742
2014,north-dakota-state-bison,-0.1304,0.0,-0.087,0.0,-0.087,0.0
2014,northern-illinois-huskies,-0.0929,0.0638,-0.0081,0.0595,-0.0081,0.0595
2014,northwestern-wildcats,-0.1917,0.1532,-0.0045,0.135,-0.0045,0.135
2014,notre-dame-fighting-irish,0.056,0.3143,-0.2735,0.3422,-0.2271,0.3307
2014,ohio-state-buckeyes,0.0017,0.3139,-0.3727,0.5669,-0.376,0.5641
2014,oklahoma-sooners,-0.1207,0.572,-0.452,0.8259,-0.4329,0.8027
2014,oklahoma-state-cowboys,-0.0959,0.3227,-0.0947,0.2772,-0.1073,0.2817
2014,ole-miss-rebels,0.014,0.3222,-0.3189,0.4378,-0.2944,0.4384
2014,oregon-ducks,0.0034,0.6069,-0.8672,0.9309,-0.7881,0.8533
2014,oregon-state-beavers,-0.2457,0.1192,-0.1019,0.1054,-0.1019,0.1054
