season,week,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std,bias0_ap_mean,bias0_ap_std,bias0_mean_mean,bias0_mean_std
2014,1,-0.029,0.4619,-0.3668,0.6552,-0.3391,0.6227,-0.5251,3.0772,-1.6469,2.7087
2014,2,-0.0416,0.7357,-0.4172,0.9392,-0.3942,0.9101,-0.4389,3.2279,-1.6517,2.78
2014,3,-0.0247,0.5397,-0.3834,0.786,-0.3357,0.6974,-0.4187,3.2024,-1.63,2.7428
2014,4,-0.0227,0.4805,-0.3661,0.7221,-0.3362,0.6596,-0.344,3.1534,-1.6199,2.7828
2014,5,-0.0129,0.6151,-0.3851,0.7966,-0.3524,0.7503,-0.2843,3.1315,-1.6498,2.8119
2014,6,-0.0007,0.6296,-0.3831,0.787,-0.3556,0.7327,-0.2189,2.7457,-1.6685,2.4912
2014,7,-0.0113,0.4461,-0.3575,0.6368,-0.3402,0.6089,-0.2671,2.9781,-1.6574,2.6512
2014,8,-0.0141,0.3534,-0.3412,0.5817,-0.3163,0.5723,-0.3034,2.8394,-1.6738,2.5072
2014,9,-0.0082,0.3473,-0.3436,0.5837,-0.3348,0.5527,-0.1645,2.6821,-1.6669,2.4715
2014,10,-0.0017,0.3836,-0.3576,0.5851,-0.3321,0.5652,-0.0695,2.4757,-1.7615,2.3816
2014,11,-0.0049,0.2888,-0.333,0.5409,-0.3222,0.5204,-0.1117,2.3054,-1.7089,2.16
2014,12,-0.0101,0.2611,-0.3263,0.5197,-0.3318,0.5049,-0.1855,2.4174,-1.7068,2.2025
2014,13,-0.0062,0.3078,-0.3315,0.5649,-0.3151,0.5268,-0.1628,2.2936,-1.687,2.1093
2014,14,0.0002,0.3662,-0.3398,0.6003,-0.3224,0.5521,-0.0905,2.042,-1.7242,1.9247
2014,15,-0.0029,0.3645,-0.341,0.6005,-0.3331,0.6106,-0.1467,2.0088,-1.7746,1.9233
2014,16,-0.007,0.3893,-0.3418,0.6146,-0.3372,0.6164,-0.1808,2.3661,-1.7069,2.2462
2014,17,-0.0061,0.2242,-0.3227,0.4692,-0.3152,0.4608,-0.136,2.2809,-1.7724,2.1217
2015,1,-0.0167,0.5108,-0.3745,0.6639,-0.3539,0.641,-0.247,3.3864,-1.646,3.1251
2015,3,-0.0167,0.4685,-0.3704,0.6358,-0.339,0.6145,-0.2057,3.051,-1.7247,2.8093
2015,4,-0.0172,0.5765,-0.397,0.803,-0.3635,0.7578,-0.2677,2.8188,-1.6944,2.5229
2015,5,-0.0124,0.7071,-0.4227,0.872,-0.3591,0.8006,-0.3083,2.8326,-1.7236,2.5542
2015,6,0.0049,0.8406,-0.4487,0.989,-0.3728,0.8691,-0.1215,2.8449,-1.7539,2.7138
2015,7,0.0103,0.8867,-0.4411,0.9843,-0.3938,0.874,-0.1686,2.5358,-1.7211,2.3567
2015,8,0.0121,0.7137,-0.4067,0.8747,-0.4008,0.816,-0.1058,2.2695,-1.729,2.1366
2015,9,-0.0021,0.5852,-0.3813,0.7811,-0.3238,0.6773,-0.123,2.2529,-1.7349,2.1073
2015,10,-0.0016,0.6032,-0.3831,0.7854,-0.3322,0.6828,-0.1126,2.0597,-1.7665,1.9252
2015,11,-0.007,0.3769,-0.3517,0.645,-0.3219,0.5928,-0.1361,2.1483,-1.7205,1.98
2015,12,-0.0069,0.3131,-0.3398,0.5859,-0.333,0.5552,-0.1407,2.1579,-1.7623,2.0757
2015,13,-0.0078,0.2688,-0.3252,0.5011,-0.3093,0.4893,-0.1861,2.1334,-1.7422,1.9379
2015,14,-0.0044,0.2591,-0.3264,0.5076,-0.3229,0.4928,-0.1192,2.0524,-1.771,1.8665
2015,15,-0.0064,0.2592,-0.326,0.5164,-0.3027,0.4787,-0.1652,2.1304,-1.7633,1.9358
2015,16,-0.0109,0.242,-0.3227,0.4744,-0.315,0.4774,-0.2235,2.578,-1.704,2.2865
2016,1,-0.027,0.622,-0.3983,0.836,-0.3561,0.761,-0.4576,3.7025,-1.5708,3.2263
2016,2,-0.0148,0.4806,-0.356,0.6455,-0.3376,0.6444,-0.2556,4.2801,-1.487,3.7447
2016,3,-0.0157,0.4233,-0.3576,0.617,-0.342,0.5995,-0.2444,3.5865,-1.6035,3.256
2016,4,-0.019,0.3686,-0.3465,0.6033,-0.3263,0.568,-0.3597,3.2028,-1.6421,2.7643
2016,5,-0.0191,0.3257,-0.3365,0.5844,-0.3216,0.5553,-0.369,2.6747,-1.6508,2.3126
2016,6,-0.0136,0.2769,-0.3261,0.5338,-0.3169,0.5037,-0.2733,2.3906,-1.6791,2.1318
2016,7,-0.013,0.2744,-0.3246,0.5177,-0.3065,0.5014,-0.2576,2.8036,-1.6707,2.5047
2016,8,-0.0106,0.2651,-0.3243,0.4937,-0.3111,0.4837,-0.2137,2.9077,-1.6687,2.5915
2016,9,-0.007,0.2762,-0.328,0.4992,-0.3135,0.4937,-0.1312,2.7703,-1.681,2.5338
2016,10,-0.0093,0.2522,-0.3206,0.4898,-0.3083,0.4828,-0.1592,2.8508,-1.6466,2.5633
2016,11,-0.009,0.2993,-0.3248,0.5041,-0.31,0.4997,-0.1582,3.4335,-1.6086,3.0101
2016,12,-0.0072,0.3058,-0.3392,0.5102,-0.3111,0.4943,-0.1487,3.1011,-1.7269,2.8427
2016,13,-0.0106,0.2688,-0.328,0.4928,-0.309,0.4849,-0.2041,2.7773,-1.6963,2.5675
2016,14,-0.0129,0.2545,-0.3184,0.4848,-0.3098,0.4753,-0.2457,2.678,-1.6369,2.2745
2016,15,-0.0143,0.2426,-0.3178,0.4847,-0.3117,0.4766,-0.2674,2.6743,-1.6468,2.2712
2016,16,-0.0099,0.2853,-0.3261,0.492,-0.3132,0.481,-0.2517,2.6406,-1.6796,2.3084
2017,1,-0.0215,0.463,-0.3669,0.6679,-0.352,0.6447,-0.3064,2.871,-1.7089,2.5588
2017,2,-0.0193,0.4036,-0.3586,0.5906,-0.3409,0.5693,-0.343,2.763,-1.7175,2.4319
2017,3,-0.0139,0.3097,-0.3364,0.5311,-0.316,0.5112,-0.2882,2.7258,-1.6879,2.3886
2017,4,-0.0158,0.3367,-0.3405,0.5835,-0.3039,0.5223,-0.3353,2.7941,-1.6577,2.3914
2017,5,-0.0109,0.2842,-0.3319,0.5394,-0.3063,0.5077,-0.2072,2.3799,-1.691,2.1604
2017,6,-0.0017,0.2736,-0.3336,0.5345,-0.3152,0.5093,-0.0498,2.132,-1.7517,2.0158
2017,7,-0.0037,0.264,-0.3345,0.5218,-0.3293,0.507,-0.0914,2.0819,-1.8271,1.9822
2017,8,-0.0033,0.265,-0.3366,0.4968,-0.313,0.4852,-0.0839,2.3346,-1.808,2.1991
2017,9,-0.0049,0.2285,-0.325,0.4775,-0.311,0.4685,-0.1159,2.016,-1.7633,1.9125
2017,10,-0.0071,0.3034,-0.3356,0.5196,-0.3195,0.5045,-0.1682,2.1537,-1.7375,1.9858
2017,11,-0.0122,0.273,-0.3272,0.5008,-0.3188,0.4936,-0.2319,2.4676,-1.7249,2.1643
2017,12,-0.011,0.2777,-0.3277,0.5191,-0.3106,0.5025,-0.2053,2.5715,-1.679,2.2573
2017,13,-0.0056,0.2556,-0.3252,0.5068,-0.3075,0.4941,-0.0998,2.1413,-1.7393,1.999
2017,14,-0.0038,0.3768,-0.3496,0.6328,-0.3574,0.6543,-0.1178,1.828,-1.852,1.6944
2017,15,-0.0044,0.256,-0.331,0.522,-0.321,0.5019,-0.1128,2.02,-1.8209,1.9052
2017,16,-0.0186,0.3525,-0.3298,0.5754,-0.3162,0.5805,-0.2014,2.1544,-1.7204,1.9442
2018,1,-0.0143,0.3855,-0.3529,0.6093,-0.331,0.5839,-0.2789,3.035,-1.6397,2.7441
2018,2,-0.0068,0.4042,-0.3513,0.597,-0.3318,0.5711,-0.1591,3.0655,-1.6945,2.7916
2018,3,-0.0124,0.3445,-0.346,0.5777,-0.328,0.5468,-0.2218,2.6772,-1.7276,2.4105
2018,4,-0.0103,0.312,-0.3375,0.5337,-0.339,0.5351,-0.2223,2.584,-1.736,2.3368
2018,5,-0.0189,0.2689,-0.3263,0.5062,-0.3421,0.5163,-0.3815,2.4911,-1.7018,2.0682
2018,6,-0.011,0.2731,-0.3286,0.5168,-0.3136,0.504,-0.2198,2.2562,-1.7413,1.9569
2018,7,-0.0095,0.2777,-0.3288,0.5101,-0.3158,0.5001,-0.1797,2.3933,-1.7286,2.2399
2018,8,-0.0167,0.2376,-0.3201,0.4792,-0.3074,0.4704,-0.3415,2.5188,-1.6977,2.198
2018,9,-0.01,0.2328,-0.3243,0.4766,-0.3125,0.4709,-0.2219,2.3399,-1.7451,2.15
2018,10,-0.0176,0.1902,-0.3109,0.4533,-0.3025,0.4487,-0.3615,2.3509,-1.6998,1.8706
2018,11,-0.0173,0.2354,-0.3153,0.4619,-0.3102,0.4605,-0.3118,2.8853,-1.6678,2.4138
2018,12,-0.0171,0.1972,-0.309,0.4516,-0.2998,0.4524,-0.3255,2.4169,-1.6694,2.1277
2018,13,-0.0077,0.1797,-0.309,0.4478,-0.3001,0.4455,-0.161,2.2593,-1.6881,2.0745
2018,14,-0.0054,0.2018,-0.3146,0.4541,-0.3045,0.4517,-0.1211,2.4297,-1.7031,2.278
2018,15,-0.0091,0.1947,-0.312,0.4507,-0.3105,0.4523,-0.185,2.3612,-1.7029,2.118
2018,16,-0.012,0.2407,-0.3204,0.4729,-0.3143,0.4682,-0.2554,2.3903,-1.7054,2.1734
2019,1,-0.0231,0.3201,-0.3346,0.5428,-0.3075,0.5238,-0.4354,3.0436,-1.6245,2.6631
2019,2,-0.0107,0.2891,-0.3328,0.5261,-0.3085,0.5065,-0.2137,2.6707,-1.6759,2.459
2019,3,-0.0128,0.2864,-0.3326,0.5156,-0.3111,0.4951,-0.2699,2.7853,-1.6991,2.4925
2019,4,-0.0083,0.2681,-0.3299,0.5036,-0.3175,0.4821,-0.1796,2.4734,-1.7387,2.2398
2019,5,-0.0148,0.244,-0.3219,0.5079,-0.2951,0.4829,-0.2977,2.4644,-1.6906,2.1069
2019,6,-0.0232,0.5373,-0.3708,0.7963,-0.3602,0.7778,-0.3414,2.4285,-1.6708,2.0104
2019,7,-0.0106,0.5184,-0.3628,0.7459,-0.3346,0.6888,-0.1873,2.334,-1.6657,2.0026
2019,8,-0.0094,0.4465,-0.3578,0.7026,-0.3773,0.7675,-0.1294,2.0404,-1.7413,1.8812
2019,9,-0.0071,0.4826,-0.3628,0.7174,-0.3471,0.6903,-0.1276,1.9037,-1.7764,1.7621
2019,10,-0.0068,0.4867,-0.3547,0.681,-0.3433,0.6668,-0.1281,2.013,-1.7794,1.8842
2019,11,-0.0061,0.4771,-0.3522,0.6803,-0.3409,0.6651,-0.0973,2.0429,-1.7503,1.908
2019,12,-0.0082,0.2527,-0.3277,0.5121,-0.3084,0.4946,-0.1564,1.9221,-1.7642,1.7365
2019,13,-0.0046,0.2214,-0.3246,0.4985,-0.3133,0.4821,-0.1023,1.7981,-1.8193,1.7234
2019,14,-0.0041,0.243,-0.3289,0.5147,-0.32,0.4928,-0.1014,1.9197,-1.8224,1.7987
2019,15,-0.0049,0.2517,-0.3261,0.5307,-0.3145,0.5123,-0.0982,1.7821,-1.7835,1.6942
2019,16,-0.0072,0.2826,-0.3358,0.5385,-0.3346,0.5179,-0.128,2.048,-1.8002,1.9008
2019,17,-0.0059,0.1984,-0.3184,0.4543,-0.3041,0.453,-0.1292,2.0564,-1.7734,1.9222
2020,1,-0.0185,0.3985,-0.3502,0.6292,-0.3374,0.6057,-0.3488,2.8066,-1.6681,2.5009
2020,2,-0.024,0.3255,-0.3284,0.5358,-0.3113,0.5137,-0.3908,3.0553,-1.6093,2.6209
2020,3,-0.0137,0.2982,-0.3284,0.5304,-0.3118,0.5203,-0.212,2.5137,-1.684,2.2809
2020,4,-0.0691,0.5443,-0.3541,0.5996,-0.3184,0.575,-0.8104,4.0589,-1.5807,3.405
2020,5,-0.0585,0.4234,-0.338,0.5743,-0.3252,0.5491,-0.7924,3.4887,-1.5941,2.9144
2020,6,-0.0521,0.3853,-0.3371,0.5393,-0.3328,0.5233,-0.6768,3.2882,-1.6345,2.8389
2020,7,-0.0455,0.3916,-0.3404,0.5457,-0.3277,0.5265,-0.6404,3.1793,-1.6496,2.7022
2020,8,-0.0213,0.3178,-0.3322,0.5293,-0.3206,0.5088,-0.3943,2.7476,-1.6889,2.3085
2020,9,-0.0232,0.3282,-0.3265,0.5487,-0.3125,0.5424,-0.4428,2.9366,-1.6233,2.3953
2020,10,-0.0094,0.2739,-0.3238,0.5026,-0.3117,0.4938,-0.1392,2.6781,-1.6618,2.3917
2020,11,-0.0083,0.238,-0.322,0.4868,-0.325,0.479,-0.1172,2.3032,-1.7106,2.1098
2020,12,-0.0032,0.214,-0.3241,0.4661,-0.3222,0.4627,-0.0733,2.2151,-1.7775,2.0955
2020,13,-0.0069,0.1835,-0.3125,0.4513,-0.3046,0.4498,-0.1518,2.0779,-1.7419,1.9275
2020,14,-0.0095,0.1716,-0.3104,0.4464,-0.3019,0.4457,-0.1911,1.9838,-1.7356,1.7719
2020,15,-0.0048,0.1855,-0.3151,0.4523,-0.2992,0.4509,-0.1086,1.9922,-1.7587,1.8913
2020,16,-0.0069,0.1904,-0.3151,0.4557,-0.3129,0.4502,-0.1394,2.189,-1.7175,2.0292
2020,17,-0.0052,0.2111,-0.324,0.4634,-0.3109,0.459,-0.1091,2.2297,-1.804,2.1164
2021,1,-0.0172,0.4624,-0.3667,0.6813,-0.3462,0.6451,-0.2577,3.186,-1.6558,2.8803
2021,2,-0.0187,0.2966,-0.3313,0.5215,-0.3105,0.5055,-0.3601,2.9861,-1.6349,2.6342
2021,3,-0.0186,0.293,-0.3302,0.5138,-0.3063,0.4985,-0.3777,2.9386,-1.6329,2.5268
2021,4,-0.0126,0.285,-0.3319,0.5095,-0.3208,0.5018,-0.2814,2.6966,-1.6869,2.429
2021,5,-0.017,0.2718,-0.3274,0.5026,-0.3166,0.4918,-0.3571,2.5325,-1.6896,2.1967
2021,6,-0.0086,0.2789,-0.3277,0.5145,-0.3285,0.5074,-0.1724,2.7414,-1.6748,2.538
2021,7,-0.0074,0.2817,-0.3295,0.5086,-0.3104,0.4926,-0.137,2.6738,-1.6649,2.4653
2021,8,-0.0083,0.2932,-0.3375,0.5163,-0.3219,0.5019,-0.1654,2.2987,-1.7698,2.1293
2021,9,-0.0028,0.2728,-0.3345,0.5137,-0.3204,0.514,-0.0723,2.2823,-1.7392,2.2159
2021,10,-0.0182,0.3014,-0.3271,0.5249,-0.328,0.5439,-0.3602,2.5207,-1.6536,2.0432
2021,11,-0.0153,0.3231,-0.3259,0.5218,-0.3083,0.5145,-0.3302,2.8856,-1.6168,2.4143
