voter,conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean,n
adam-jude,acc,0.7964254577157803,0.489537925021796,0.8853530950305144,0.2855274629468178,0.24411508282476024,0.26024411508282475,0.2890148212728858,0.25152571926765477,0.26068003487358327,0.8077593722755013,0.513949433304272,0.8977768090671316
adam-jude,sec,0.7750653879686138,0.8077593722755013,0.6717523975588492,0.2083696599825632,0.22319093286835223,0.13905841325196164,0.2083696599825632,0.2227550130775937,0.13339145597210114,0.7724498692240628,0.2933740191804708,0.9411508282476024
adam-jude,mac,0.8661726242371404,0.93025283347864,0.7114210985178727,0.06582388840453357,0.04795117698343505,0.05623365300784656,0.0937227550130776,0.07585004359197908,0.07410636442894507,0.9315605928509154,0.15170008718395817,0.5804272013949433
adam-jude,pac-12,0.13382737576285963,0.11595466434176112,0.14777680906713164,0.3526591107236269,0.32868352223190933,0.3421970357454228,0.35222319093286836,0.32432432432432434,0.33609415867480386,0.07323452484742807,0.0919790758500436,0.9365736704446382
adam-jude,big-12,0.42981691368788144,0.46948561464690497,0.45727986050566694,0.36835222319093286,0.3631211857018309,0.35919790758500436,0.37532693984306886,0.3644289450741064,0.38099389712292936,0.6333914559721011,0.33696599825632084,0.9245858761987794
adam-jude,big-ten,0.7907585004359198,0.8047079337401918,0.7863993025283348,0.5340017436791631,0.47166521360069746,0.49476896251089797,0.5492589363557105,0.489537925021796,0.497384481255449,0.8086312118570184,0.4673060156931125,0.8931996512641673
adam-jude,mwc,0.16521360069747165,0.2990409764603313,0.1839581517000872,0.6857018308631212,0.6939843068875327,0.6830863121185702,0.6604184829991282,0.6861377506538797,0.6726242371403661,0.14995640802092414,0.6660854402789886,0.6153007846556233
adam-jude,american,0.2031386224934612,0.2759372275501308,0.38578901482127287,0.581081081081081,0.6355710549258936,0.6338273757628596,0.553182214472537,0.6050566695727986,0.6285963382737576,0.41935483870967744,0.6246730601569311,0.75
adam-jude,cusa,0.26373147340889275,0.13382737576285963,0.24760244115082825,0.8517872711421098,0.9219703574542284,0.7650392327811683,0.8302092414995641,0.9017000871839581,0.7336530078465562,0.4049694856146469,0.8714036617262424,0.18679163034001744
adam-sparks,acc,0.24193548387096775,0.04751525719267655,0.8775065387968614,0.1918047079337402,0.047079337401918046,0.37619877942458585,0.20619006102877072,0.06102877070619006,0.3644289450741064,0.06625980819529206,0.2680906713164778,0.485178727114211
adam-sparks,sec,0.20270270270270271,0.17306015693112467,0.2646033129904098,0.06887532693984307,0.1028770706190061,0.04751525719267655,0.07149084568439407,0.0985178727114211,0.04838709677419355,0.25239755884917175,0.03356582388840453,0.6405841325196164
adam-sparks,mac,0.8587619877942458,0.7959895379250218,0.8962510897994769,0.33827375762859635,0.5143853530950305,0.15431560592850915,0.31952920662598083,0.507846556233653,0.13295553618134262,0.8890584132519617,0.05013077593722755,0.1305579773321709
adam-sparks,pac-12,0.7258064516129032,0.8365300784655624,0.523539668700959,0.547079337401918,0.530514385353095,0.43461203138622495,0.5605928509154315,0.5592850915431561,0.42850915431560593,0.7018308631211857,0.37881429816913686,0.6503923278116827
adam-sparks,big-12,0.6909328683522232,0.7240627724498693,0.8038360941586749,0.42850915431560593,0.45771578029642546,0.581081081081081,0.4145597210113339,0.46469049694856146,0.560156931124673,0.8775065387968614,0.5989537925021796,0.5948125544899738
adam-sparks,big-ten,0.8578901482127289,0.9402789886660854,0.8430688753269399,0.6804707933740192,0.7537053182214473,0.515693112467306,0.7088055797733217,0.7877070619006102,0.5571054925893636,0.8186573670444638,0.41804707933740193,0.37532693984306886
adam-sparks,cusa,0.03051438535309503,0.03923278116826504,0.015693112467306015,0.5686573670444638,0.7842197035745423,0.3169136878814298,0.511333914559721,0.8047079337401918,0.26634699215344376,0.0013077593722755014,0.01961639058413252,0.1305579773321709
adam-sparks,american,0.2074978204010462,0.24934612031386225,0.10636442894507411,0.7510897994768962,0.6717523975588492,0.5510026155187445,0.7624237140366172,0.6857018308631212,0.5108979947689625,0.11421098517872712,0.6111595466434177,0.07868352223190933
adam-sparks,mwc,0.6368788142981692,0.6098517872711421,0.5902353966870096,0.9036617262423714,0.8799040976460332,0.8129904097646034,0.8945074106364429,0.9017000871839581,0.7942458587619878,0.6270706190061028,0.9084568439407149,0.04119442022667829
adam-zucker,acc,0.6857018308631212,0.8487358326068003,0.6782911944202267,0.33958151700087186,0.33478639930252835,0.3108108108108108,0.34437663469921537,0.3343504795117698,0.32432432432432434,0.43679163034001744,0.35047951176983433,0.970357454228422
adam-zucker,pac-12,0.32650392327811684,0.2763731473408893,0.41586748038360943,0.4145597210113339,0.3783783783783784,0.4237140366172624,0.41368788142981694,0.3792502179598954,0.4258936355710549,0.46207497820401044,0.26939843068875324,0.9755884917175239
adam-zucker,sec,0.5370531822144725,0.555797733217088,0.53487358326068,0.13775065387968613,0.16608544027898867,0.12859633827375763,0.14341761115954665,0.16608544027898867,0.12859633827375763,0.5662598081952921,0.1909328683522232,0.9960767218831735
adam-zucker,mac,0.22798605056669574,0.26373147340889275,0.12903225806451613,0.03269398430688753,0.03269398430688753,0.02659110723626853,0.03225806451612903,0.03312990409764603,0.02920662598081953,0.8269398430688754,0.1983435047951177,0.7670008718395815
adam-zucker,big-12,0.3936355710549259,0.2829119442022668,0.46425457715780294,0.3910200523103749,0.3365300784655623,0.4119442022667829,0.3910200523103749,0.33827375762859635,0.41804707933740193,0.5544899738448126,0.3618134263295554,0.985178727114211
adam-zucker,big-ten,0.3095030514385353,0.4699215344376635,0.24062772449869224,0.33391455972101136,0.36355710549258935,0.28378378378378377,0.33740191804707936,0.36965998256320837,0.28596338273757627,0.3631211857018309,0.2210113339145597,0.967741935483871
adam-zucker,mwc,0.21316477768090672,0.2506538796861377,0.3007846556233653,0.7641673931996512,0.6965998256320837,0.7502179598953792,0.7380122057541413,0.6852659110723627,0.7397558849171753,0.2925021795989538,0.7637314734088928,0.7140366172624237
