voter,team,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean,n
adam-jude,florida-state-seminoles,0.94739984080658,0.8752321570708411,0.9716105067657204,0.10241443353674715,0.05296497744759883,0.2512602812417087,0.11574688246219156,0.06268240912708942,0.26034757230034494,0.9396391615813213,0.30492172990183075,0.8707216768373574
adam-jude,mississippi-state-bulldogs,0.6390289201379676,0.3041257628018042,0.883390819846113,0.18685327673122845,0.20549217299018308,0.12768638896258955,0.20230830459007695,0.20277261873175909,0.14516449986733881,0.6915295834438843,0.44852746086495093,0.8707216768373574
adam-jude,alabama-crimson-tide,0.8997744759883258,0.9496550809233218,0.7982886707349429,0.013664101883788804,0.019965508092332183,0.007296365083576546,0.013133457150437781,0.021292119925709736,0.006699389758556646,0.8365282568320509,0.09379145661979305,0.9170867604139029
adam-jude,ohio-state-buckeyes,0.7935128681347837,0.8896258954629875,0.4445807906606527,0.04530379410984346,0.040793313876359774,0.039997346776333244,0.052931812151764394,0.048620323693287344,0.043910851684797025,0.8833576545502786,0.10964446802865481,0.9170867604139029
adam-jude,oregon-ducks,0.24807641284160253,0.2169673653488989,0.10221544176174051,0.14526399575484214,0.11906341204563545,0.0975059697532502,0.14280976386309366,0.1248341735208278,0.09299548951976652,0.24336694083311222,0.2274475988325816,0.8707216768373574
adam-jude,auburn-tigers,0.23116211196603872,0.3926771026797559,0.41244361899708143,0.13345715043778192,0.1717962324223932,0.23076412841602548,0.13392146457946405,0.1660586362430353,0.24688246219156273,0.664068718492969,0.22180949854072698,0.9170867604139029
adam-jude,ole-miss-rebels,0.4058105598301937,0.3719819580790661,0.24330061024144337,0.21733218360307774,0.17816396922260547,0.21603873706553461,0.2202838949323428,0.1813478376227116,0.21544176174051471,0.18250862297691695,0.07919872645263996,0.785520031838684
adam-jude,tcu-horned-frogs,0.32422393207747413,0.5082913239586098,0.25577076147519234,0.13266118333775537,0.14579464048819316,0.16463252852215443,0.13982488723799416,0.16841337224728045,0.16562748739718758,0.568022021756434,0.2172326877155744,0.9170867604139029
adam-jude,oklahoma-sooners,0.5377421066595914,0.4422923852480764,0.35738922791191297,0.12914566197930485,0.11939506500397984,0.08831918280711064,0.13166622446272222,0.11574688246219156,0.09498540726983284,0.6291124966834705,0.12888033961262935,0.9170867604139029
adam-jude,georgia-bulldogs,0.9690236136906342,0.9726717962324224,0.7781241708676041,0.3507561687450252,0.3380870257362696,0.16277527195542585,0.441430087556381,0.44395065003979833,0.15581055983019368,0.9708477049615283,0.5039798355001327,0.9170867604139029
adam-jude,baylor-bears,0.35626160785354205,0.41532899973467763,0.18108251525603608,0.10261342531175378,0.10042451578668082,0.06463916158132131,0.11136906341204564,0.10420535951180684,0.07654550278588484,0.17663836561422128,0.04145661979304855,0.785520031838684
adam-jude,texas-am-aggies,0.20011939506500398,0.23401432740780048,0.31526930220217564,0.2541124966834704,0.23945343592464846,0.5280578402759353,0.22811090474927037,0.21401565401963385,0.5234810294507827,0.39917750066330593,0.4084637834969488,0.9170867604139029
adam-jude,notre-dame-fighting-irish,0.4630538604404351,0.5130007959671,0.7615415229503847,0.14778455823825948,0.23268771557442292,0.1168081719288936,0.15554523746351817,0.23965242769965509,0.1239718758291324,0.8076081188644203,0.19521093128150704,0.9170867604139029
adam-jude,michigan-state-spartans,0.49953568585831787,0.5139625895462987,0.2398514194746617,0.1934863358981162,0.15627487397187584,0.2333510214911117,0.20220880870257363,0.17511276200583709,0.21053329795701778,0.5340275935261343,0.2101353144070045,0.9170867604139029
adam-jude,ucla-bruins,0.09604669673653489,0.07349429556911648,0.3435924648447864,0.1932210135314407,0.14383788803396128,0.4384452109312815,0.18711859909790396,0.14081984611302734,0.4391085168479703,0.11677500663305916,0.19209339347306978,0.8707216768373574
adam-jude,lsu-tigers,0.38949323427964977,0.2877421066595914,0.3327142478110905,0.2568320509418944,0.20436455293181216,0.21026797559034227,0.2360705757495357,0.18406739188113558,0.19103210400636775,0.3162642610772088,0.182210135314407,0.9170867604139029
adam-jude,arizona-state-sun-devils,0.16834704165561157,0.15295834438843195,0.43207747413106923,0.40561156805518706,0.3653488989121783,0.5121053329795702,0.4101220482886707,0.3732090740249403,0.5289201379676307,0.23882329530379412,0.3668745025205625,0.8707216768373574
adam-jude,arizona-wildcats,0.30366144866012207,0.6781639692226055,0.19189440169806316,0.4902825683205094,0.5321703369594056,0.39357256566728577,0.4607986203236933,0.5314407004510481,0.3720151233749005,0.21040063677368,0.3831254974794375,0.785520031838684
