voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
kellis-robinett,oklahoma-sooners,-0.4013710822759673,-1.0321647633515618,-0.981769468983428,-0.8695652173913043,-2.7556956521739124,69
scott-wolf,oklahoma-sooners,-0.3927368882025746,-0.9678537294257258,-0.9348047384618592,-0.4074074074074074,-2.0644074074074075,54
ross-dellenger,oklahoma-sooners,-0.3755984539053424,-0.8561616936477514,-0.8247895010762658,-1.4166666666666667,-3.098933333333333,60
brian-howell,oklahoma-sooners,-0.1368520286056047,-0.4962834287431347,-0.4765564503620549,-1.0875912408759123,-2.8745839416058394,137
tom-murphy,oklahoma-sooners,-0.1220759433236339,-0.506943362744517,-0.4870788490213205,-0.087248322147651,-1.9642348993288592,149
matt-mccoy,oklahoma-sooners,-0.1107193874013095,-0.4685169984864043,-0.4558527180796239,-0.7684210526315789,-2.472021052631579,95
chuck-carlton,oklahoma-sooners,-0.1093810561987032,-0.5386420854683487,-0.5084681183741013,-0.46,-2.3469,100
soren-petro,oklahoma-sooners,-0.1068509577146644,-0.4863742513144568,-0.4676976349999147,-1.0303030303030305,-2.7369090909090907,66
tom-dangelo,oklahoma-sooners,-0.1052081328250813,-0.4514730855130257,-0.4363320856109499,-0.7317073170731707,-2.6956463414634144,82
steve-batterson,oklahoma-sooners,-0.0980576189333262,-0.5115323440949763,-0.4874195906060682,-0.3937007874015748,-2.319456692913386,127
rob-long,oklahoma-sooners,-0.0855394225457197,-0.4529240399487958,-0.4363442501426876,-0.4466019417475728,-2.352048543689321,103
andy-greder,oklahoma-sooners,-0.0757380426889019,-0.4859228263413885,-0.4603475181586231,-0.4489795918367347,-2.309663265306122,98
steve-wiseman,oklahoma-sooners,-0.0753255015301294,-0.3468284241465808,-0.3432520600877599,-0.3448275862068966,-2.1036724137931033,58
nate-mink,oklahoma-sooners,-0.074856092829949,-0.4486205791844758,-0.4251967350649732,-0.5925925925925926,-2.3491851851851853,54
garry-smits,oklahoma-sooners,-0.0742487222959359,-0.3724348939281653,-0.3559638655691287,-0.3333333333333333,-1.9319500000000005,60
don-williams,oklahoma-sooners,-0.0741328574344692,-0.416637661492369,-0.4003295748022671,-0.872093023255814,-2.762837209302326,86
jerry-dipaola,oklahoma-sooners,-0.0737088178714587,-0.4335353309130877,-0.4146599255259385,-0.7283950617283951,-2.3755925925925925,81
ron-counts,oklahoma-sooners,-0.068334661824008,-0.459469315583988,-0.4224269509616876,0.2549019607843137,-1.778156862745098,51
aaron-mcmann,oklahoma-sooners,-0.0552393233937856,-0.417924286701805,-0.3967490908731318,-0.16,-1.98972,75
robert-gagliardi,oklahoma-sooners,-0.0548426215361699,-0.4339759620862619,-0.4125712996680739,-0.5645161290322581,-2.4188548387096773,62
adam-zucker,oklahoma-sooners,-0.0537407493862956,-0.4195960141660833,-0.4000567035316993,0.1221374045801526,-1.7548778625954198,131
ryan-aber,oklahoma-sooners,-0.0534997224997224,-0.4571535848849434,-0.4326468857229726,-0.22,-2.2260899999999997,100
trevor-hass,oklahoma-sooners,-0.0461226122150491,-0.3463004426433179,-0.3203958194219237,-0.5178571428571429,-2.432660714285714,56
gary-horowitz,oklahoma-sooners,-0.0440683744173446,-0.4075855729389731,-0.3914230446103006,-0.0434782608695652,-1.8964782608695652,92
david-jablonski,oklahoma-sooners,-0.0344222847026237,-0.369003260049122,-0.3416147499019988,-0.0185185185185185,-2.0004074074074074,54
jon-wilner,oklahoma-sooners,-0.0324352228122392,-0.4031478900799002,-0.3795152861120556,-0.1184210526315789,-1.8439736842105263,152
pat-dooley,oklahoma-sooners,-0.0309279837883956,-0.4250665700650904,-0.4022830023054455,-0.3384615384615385,-2.102092307692308,65
blair-kerkhoff,oklahoma-sooners,-0.0290779231909493,-0.3152276594023845,-0.2996728533064334,-0.5074626865671642,-2.3371641791044775,67
josh-furlong,oklahoma-sooners,-0.0201999026132789,-0.34132353819616,-0.323779686715571,-0.1780821917808219,-2.1356849315068493,73
dave-reardon,oklahoma-sooners,-0.0201239355860554,-0.4096751743429893,-0.394223692973693,-0.2235294117647059,-2.1946235294117646,85
adam-jude,oklahoma-sooners,-0.0194315443802798,-0.3841561058674969,-0.3637127026197674,0.0129870129870129,-1.759792207792208,77
robert-cessna,oklahoma-sooners,-0.0181420073637591,-0.3519193370293715,-0.33534680306607,-0.1721854304635761,-1.9582847682119209,151
