voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
aaron-mcmann,alabama-crimson-tide,-0.07187100893997445,-1.4903385884883549,-1.4457352672869914,-0.022988505747126436,-2.209011494252874,87
aaron-mcmann,georgia-bulldogs,-0.08961938444697064,-1.212695068277827,-1.1645906137285447,-0.3103448275862069,-2.5285402298850577,87
aaron-mcmann,ohio-state-buckeyes,-0.018291316526610646,-0.5831870121381886,-0.5870494864612511,-0.15294117647058825,-2.0439411764705886,85
adam-jude,alabama-crimson-tide,0.12139880952380952,-1.4053957714562728,-1.3489177489177488,0.325,-1.8937125,80
adam-jude,ohio-state-buckeyes,0.058639999794891096,-0.7556663766997065,-0.6618493779770953,0.45,-1.7975375,80
adam-zucker,alabama-crimson-tide,0.049254571771128054,-1.1544238724006892,-1.1100470170006593,0.17218543046357615,-2.0304768211920527,151
adam-zucker,clemson-tigers,0.1373833519586806,-0.586866774580403,-0.550520465300147,0.4573643410852713,-1.338480620155039,129
adam-zucker,georgia-bulldogs,0.08599373406144951,-0.8770128336984025,-0.8251542853458037,0.14728682170542637,-2.048550387596899,129
adam-zucker,lsu-tigers,0.06514362425608633,-0.27880202714790653,-0.26884083862919655,0.0970873786407767,-1.5059805825242722,103
adam-zucker,michigan-wolverines,-0.033654891672177535,-0.5821116102795207,-0.520296952336363,-0.009259259259259259,-2.0999166666666667,108
adam-zucker,notre-dame-fighting-irish,0.057652278971330725,-0.2626353956515094,-0.23863161811630457,0.48760330578512395,-1.7228925619834714,121
adam-zucker,ohio-state-buckeyes,-0.1128269181351373,-0.9535561429928147,-0.9227547756657345,0.0684931506849315,-2.0355,146
adam-zucker,oklahoma-sooners,-0.05374074938629568,-0.4195960141660833,-0.40005670353169936,0.12213740458015267,-1.7548778625954198,131
adam-zucker,oklahoma-state-cowboys,-0.021969854544415954,-0.21672858117944827,-0.20995052631242608,-0.26666666666666666,-2.213966666666667,90
