voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
don-williams,alabama-crimson-tide,-0.1498301868199827,-1.4584784613062671,-1.4261096046810335,-0.3877551020408163,-2.5054489795918373,98
zach-klein,alabama-crimson-tide,-0.03955525606469,-0.871889732437374,-0.8414656098618363,-0.2830188679245283,-2.437584905660377,53
gary-horowitz,alabama-crimson-tide,-0.0258959253804614,-1.5357780927835052,-1.475736377025037,-0.134020618556701,-2.3704020618556703,97
tom-murphy,alabama-crimson-tide,-0.012377841719159,-1.3203310482930242,-1.2722665059491407,-0.1616766467065868,-2.3505568862275448,167
nate-mink,alabama-crimson-tide,0.0261183261183261,-1.214327958152958,-1.1773448773448771,-0.1363636363636363,-2.3150000000000004,66
colten-bartholomew,alabama-crimson-tide,-0.0451232101232101,-1.0723352103452102,-1.0454734154734155,-0.2307692307692307,-2.3101692307692305,65
dave-reardon,alabama-crimson-tide,0.0556089165464165,-1.0214111364825011,-0.9708425833425832,-0.1666666666666666,-2.30165625,96
bryce-miller,alabama-crimson-tide,-0.065359477124183,-1.4951082788671026,-1.4539215686274511,-0.0980392156862745,-2.26978431372549,51
john-clay,alabama-crimson-tide,-0.0438258038258038,-1.3954402315247558,-1.3438311688311688,-0.1066666666666666,-2.2379466666666668,150
brian-howell,alabama-crimson-tide,0.0162085863428145,-1.266486370816072,-1.21888782358581,-0.1073825503355704,-2.2366241610738253,149
ferd-lewis,alabama-crimson-tide,-0.012085137085137,-1.6620696127946126,-1.6011784511784517,0.0,-2.229257575757576,66
blair-kerkhoff,alabama-crimson-tide,0.0040837854128993,-0.963666223720021,-0.9301258516448392,-0.0759493670886076,-2.2270632911392405,79
garland-gillen,alabama-crimson-tide,-0.0614865507081075,-1.4083470747538835,-1.3545997914261387,-0.029940119760479,-2.218820359281437,167
matt-murschel,alabama-crimson-tide,-0.0176025756214435,-0.8461382524802414,-0.8083873149910886,-0.0566037735849056,-2.2111698113207545,53
trevor-hass,alabama-crimson-tide,-0.0151138716356107,-1.0083160960820448,-0.9762375305853566,-0.0869565217391304,-2.2108550724637683,69
aaron-mcmann,alabama-crimson-tide,-0.0718710089399744,-1.4903385884883549,-1.4457352672869914,-0.0229885057471264,-2.209011494252874,87
scott-hamilton,alabama-crimson-tide,-0.0158798873084587,-1.7021055366591076,-1.623565587851302,-0.0952380952380952,-2.1848571428571426,63
scott-wolf,alabama-crimson-tide,0.1220176091269841,-1.2742720362103173,-1.215797657203907,0.078125,-2.1805624999999997,64
steve-virgen,alabama-crimson-tide,-0.0273082942097026,-1.616630036578238,-1.57406103286385,0.0,-2.165169014084507,71
jerry-dipaola,alabama-crimson-tide,0.0558943089430894,-1.6552172764227642,-1.5996951219512197,0.0,-2.1390365853658535,82
bob-asmussen,alabama-crimson-tide,0.0932525348088261,-1.140061532939185,-1.0958771728639278,0.0596026490066225,-2.131,151
robert-gagliardi,alabama-crimson-tide,-0.0021043771043771,-1.6830999181153945,-1.6050523991000183,-0.0158730158730158,-2.105492063492063,63
pete-martini,alabama-crimson-tide,0.0236429773929773,-1.0516334752211565,-1.0205862193362194,0.0166666666666666,-2.1025833333333335,60
john-bednarowski,alabama-crimson-tide,-0.0486111111111111,-1.6632784297188754,-1.6216666666666668,0.04,-2.0959,50
brent-axe,alabama-crimson-tide,0.0308561691473083,-1.5134070177653929,-1.4535810181379802,0.1139240506329113,-2.086316455696202,79
david-briggs,alabama-crimson-tide,0.032557387057387,-1.2659693870162032,-1.2191553446553447,0.0533333333333333,-2.0779466666666666,150
rob-long,alabama-crimson-tide,0.068850421947767,-1.405061771606959,-1.342277707543194,0.1327433628318584,-2.0670884955752213,113
andy-greder,alabama-crimson-tide,0.0499149659863945,-1.4907083410989963,-1.4259353741496597,0.0892857142857142,-2.0641875,112
garry-smits,alabama-crimson-tide,0.1325641204673463,-1.3116460810808903,-1.2588855141274498,0.1774193548387097,-2.0523709677419353,62
eric-hansen,alabama-crimson-tide,0.1350793650793651,-1.2794839014679449,-1.2381128747795416,0.1777777777777777,-2.041229629629629,135
adam-zucker,alabama-crimson-tide,0.049254571771128,-1.1544238724006892,-1.110047017000659,0.1721854304635761,-2.0304768211920527,151
steve-batterson,alabama-crimson-tide,0.0021934116112198,-1.4549484757615527,-1.3911364130542212,0.1712328767123287,-2.0293630136986303,146
soren-petro,alabama-crimson-tide,0.1117845117845117,-1.6317285353535351,-1.5843434343434344,0.1212121212121212,-2.022484848484848,66
robert-cessna,alabama-crimson-tide,0.0864497617509665,-1.159630844015494,-1.1117718961092455,0.1746987951807229,-2.0112409638554216,166
matt-mccoy,alabama-crimson-tide,0.1583411433926897,-1.2901074696945676,-1.2292393746001995,0.2371134020618556,-1.999268041237113,97
neill-ostrout,alabama-crimson-tide,0.1278860028860028,-1.2969177849927849,-1.258369408369408,0.1515151515151515,-1.9932878787878785,66
marc-weiszer,alabama-crimson-tide,0.0018625244487313,-1.3406251903184372,-1.2887202835478695,0.1379310344827586,-1.974062068965517,145
josh-furlong,alabama-crimson-tide,0.0687241876897049,-0.9556989960990132,-0.929010134182548,0.2183908045977011,-1.943057471264368,87
chuck-carlton,alabama-crimson-tide,0.1156815650236702,-1.409577639103087,-1.35182052353105,0.2105263157894736,-1.941552631578947,114
ross-dellenger,alabama-crimson-tide,0.153031994047619,-1.2480063666801948,-1.1857514880952382,0.34375,-1.9149375,64
johnny-mcgonigal,alabama-crimson-tide,0.085482180293501,-0.7191394846308714,-0.6855874209647795,0.2452830188679245,-1.909283018867924,53
pat-dooley,alabama-crimson-tide,0.1533670033670033,-1.5060721291071593,-1.4598370064279154,0.2424242424242424,-1.9012727272727272,66
steve-wiseman,alabama-crimson-tide,0.1154709622100926,-0.8907265270960923,-0.842744373179156,0.2753623188405797,-1.900289855072464,69
mike-barber,alabama-crimson-tide,0.0391382575757575,-1.2829340644462457,-1.2293565115440117,0.2,-1.8949625,80
adam-jude,alabama-crimson-tide,0.1213988095238095,-1.4053957714562728,-1.3489177489177488,0.325,-1.8937125,80
jon-wilner,alabama-crimson-tide,0.1337677458934944,-1.2530007069595652,-1.2200128547433935,0.3053892215568862,-1.8834910179640716,167
matt-baker,alabama-crimson-tide,0.1513428914689419,-1.0676091621238633,-1.0344010331405291,0.2689075630252101,-1.8796302521008403,119
nathan-baird,alabama-crimson-tide,0.2439560439560439,-0.9129001196344968,-0.8866300366300366,0.3076923076923077,-1.875676923076923,65
michael-lev,alabama-crimson-tide,0.1682647525461896,-1.0583234723271495,-1.021681744735637,0.3532934131736527,-1.8355868263473056,167
david-jablonski,alabama-crimson-tide,0.1358219954648526,-0.8266301963714086,-0.7970990517419089,0.3285714285714285,-1.7944857142857142,70
brett-mcmurphy,alabama-crimson-tide,0.1265450884656182,-1.0691880795082245,-1.0318286018617144,0.4039735099337748,-1.787112582781457,151
chris-murray,alabama-crimson-tide,0.1349546660923906,-1.0957002186960634,-1.0467865135529806,0.4071856287425149,-1.781694610778443,167
lauren-brownlow,alabama-crimson-tide,0.1739837398373983,-1.3729837790101682,-1.3217479674796748,0.3780487804878049,-1.771292682926829,82
sam-mckewon,alabama-crimson-tide,0.2042749240423659,-1.2606741134960144,-1.2258859357696563,0.3720930232558139,-1.7630697674418607,129
matt-brown,alabama-crimson-tide,0.1412273534122273,-1.1172750320755342,-1.0814935064935065,0.4453781512605042,-1.7031596638655462,119
kirk-bohls,alabama-crimson-tide,0.234984061181666,-1.0492871836032844,-1.014247977571331,0.497005988023952,-1.691874251497006,167
tom-dangelo,alabama-crimson-tide,0.1990123278783072,-0.7302582665284256,-0.7069788458963716,0.4432989690721649,-1.6669278350515462,97
ryan-aber,alabama-crimson-tide,0.2213345864661654,-1.0521794737030374,-1.0108791549581022,0.4649122807017544,-1.6598508771929823,114
kellis-robinett,alabama-crimson-tide,0.2635508524397413,-1.1066590365107354,-1.0481677444640407,0.6049382716049383,-1.6594691358024691,81
rece-davis,alabama-crimson-tide,0.2056060186312287,-1.014988390855594,-0.9786422727599198,0.4957983193277311,-1.6527394957983197,119
keith-sargeant,alabama-crimson-tide,0.2226877289377289,-1.2490462627452004,-1.185472721722722,0.575,-1.6437125,80
conor-oneill,alabama-crimson-tide,0.1581111111111111,-1.3322174307457562,-1.295396825396825,0.54,-1.5959,50
ron-counts,alabama-crimson-tide,0.117008547008547,-0.9153849474797752,-0.8831146631146631,0.4923076923076923,-1.5952307692307692,65
james-kratch,alabama-crimson-tide,0.3355555555555555,-1.0772989083587654,-1.0546666666666666,0.74,-1.4323199999999998,50
dylan-sinn,alabama-crimson-tide,0.2947965571205008,-1.0601586799251914,-1.024766274414162,0.7746478873239436,-1.4085915492957746,71
