voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
jon-wilner,lsu-tigers,-0.418993407188039,-0.8979137642957958,-0.8968036516716168,-1.6218487394957983,-3.1581932773109247,119
kirk-bohls,lsu-tigers,-0.1120190619340608,-0.5073860787374546,-0.5002932919018235,-1.0535714285714286,-2.786482142857143,112
rece-davis,lsu-tigers,-0.0231849608752623,-0.4776231146053189,-0.457242632346154,-0.4125,-2.27055,80
tom-murphy,lsu-tigers,-0.0747281462508039,-0.4212038870495464,-0.4166342587173572,-0.6967213114754098,-2.238188524590164,122
garland-gillen,lsu-tigers,-0.1545798808339947,-0.5677737968821742,-0.5555546400215604,-0.5833333333333334,-2.1704916666666665,120
michael-lev,lsu-tigers,-0.0102691002033409,-0.3975402644326457,-0.3881572019504243,-0.358974358974359,-1.9592564102564105,117
brett-mcmurphy,lsu-tigers,-0.1437617772292112,-0.6268745516663796,-0.6159209035451761,-0.0673076923076923,-1.9498365384615384,104
matt-mccoy,lsu-tigers,-0.0237094716503789,-0.4833241353860746,-0.4800035280177439,-0.1625,-1.85765,80
eric-hansen,lsu-tigers,-0.0069957005301916,-0.4132840134297831,-0.4066998002545689,-0.1979166666666666,-1.73928125,96
david-briggs,lsu-tigers,0.0139246883078386,-0.4142722957496352,-0.4010258405543531,0.2323232323232323,-1.7035454545454545,99
brian-howell,lsu-tigers,0.0160859229722773,-0.3812500698650981,-0.3705857448543381,0.0471698113207547,-1.69161320754717,106
sam-mckewon,lsu-tigers,-0.0227352480244111,-0.4804819857848473,-0.471771010060068,0.108433734939759,-1.5909156626506022,83
adam-zucker,lsu-tigers,0.0651436242560863,-0.2788020271479065,-0.2688408386291965,0.0970873786407767,-1.5059805825242722,103
gary-horowitz,lsu-tigers,0.0670284442781987,-0.3506215227161674,-0.3441756756217194,0.1481481481481481,-1.472135802469136,81
john-clay,lsu-tigers,0.10609300988869,-0.2806171839663022,-0.2693410511756506,0.2803738317757009,-1.4594205607476634,107
robert-cessna,lsu-tigers,0.0861159413290355,-0.2690676242657117,-0.2594516948244242,0.2393162393162393,-1.43291452991453,117
marc-weiszer,lsu-tigers,0.0389198426603165,-0.347907918119612,-0.3328062905731111,0.2019230769230769,-1.346471153846154,104
chris-murray,lsu-tigers,-0.0072076047471811,-0.4090159428103026,-0.3976704822183926,0.4561403508771929,-1.2958333333333336,114
bob-asmussen,lsu-tigers,0.0379000530505115,-0.3192875545422106,-0.3072120484506315,0.4615384615384615,-1.1442051282051284,117
steve-batterson,lsu-tigers,0.2083428303458134,-0.1651521494973084,-0.159438850181248,0.8817204301075269,-0.7108494623655915,93
