voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
don-williams,michigan-wolverines,-0.1809678230266465,-0.8102536185450656,-0.7377428098510934,-0.9058823529411764,-2.8765529411764708,85
sam-mckewon,michigan-wolverines,-0.1389342281267704,-0.5502430326229112,-0.5188779387629779,-0.8725490196078431,-2.864901960784314,102
marc-weiszer,michigan-wolverines,-0.0670600803860967,-0.5917810183806596,-0.5352750233500007,-0.360655737704918,-2.3494344262295086,122
john-clay,michigan-wolverines,0.0067884512046905,-0.4537792093943262,-0.4076884049002839,-0.2265625,-2.21428125,128
andy-greder,michigan-wolverines,0.0036115166713792,-0.3774262203891896,-0.3437355471440111,-0.2916666666666667,-2.1893125,96
david-briggs,michigan-wolverines,-0.0669627595763145,-0.5972759412157729,-0.5388495004060434,-0.128,-2.150432,125
adam-zucker,michigan-wolverines,-0.0336548916721775,-0.5821116102795207,-0.520296952336363,-0.0092592592592592,-2.0999166666666667,108
jon-wilner,michigan-wolverines,0.1213586422281007,-0.4043242094622737,-0.3655919843569293,-0.048780487804878,-2.03120325203252,123
michael-lev,michigan-wolverines,0.0201193083696489,-0.5002896835520814,-0.4530030456643459,0.04,-1.9663040000000005,125
ryan-aber,michigan-wolverines,0.0796690070239118,-0.4319234649958858,-0.384933284796931,0.0109890109890109,-1.9425494505494507,91
robert-cessna,michigan-wolverines,-0.0464559583175682,-0.6318252346225687,-0.5609877062050438,0.104,-1.921872,125
bob-asmussen,michigan-wolverines,0.02845869574601,-0.4132412034389269,-0.3710666934485039,-0.0924369747899159,-1.9184957983193276,119
eric-hansen,michigan-wolverines,0.0577665518357224,-0.2554563133444579,-0.2292641953668651,0.1052631578947368,-1.8699894736842104,95
dave-reardon,michigan-wolverines,0.1129574018990819,-0.4163466252008816,-0.380437479117309,0.216867469879518,-1.8283253012048193,83
steve-batterson,michigan-wolverines,0.0179976672365826,-0.3345249358238641,-0.3033571338840338,0.074074074074074,-1.751296296296296,108
rece-davis,michigan-wolverines,0.0433270408496173,-0.4455663921687041,-0.4003852380161538,0.1176470588235294,-1.745901960784314,102
garland-gillen,michigan-wolverines,-0.0280727810664105,-0.544147389468632,-0.4892728602304829,0.2384615384615384,-1.6949615384615386,130
matt-baker,michigan-wolverines,0.1613095829007594,-0.3100567441956515,-0.2696005183327165,0.33,-1.59564,100
brian-howell,michigan-wolverines,0.0778238483116444,-0.3717323203414109,-0.3261104509002259,0.3720930232558139,-1.5085891472868218,129
tom-murphy,michigan-wolverines,0.0267101413250433,-0.4851470356563257,-0.4306351490928181,0.5238095238095238,-1.4879047619047618,126
matt-brown,michigan-wolverines,0.0827481266536834,-0.4127847264752186,-0.3695982602948306,0.4059405940594059,-1.4749207920792082,101
chuck-carlton,michigan-wolverines,0.0767107569745879,-0.3322006893064362,-0.2933745541524178,0.4456521739130434,-1.4372608695652178,92
kirk-bohls,michigan-wolverines,0.0517422745087018,-0.5412473709648586,-0.4811153353129095,0.7241379310344828,-1.4361293103448276,116
chris-murray,michigan-wolverines,0.2349213492553624,-0.2435027885878727,-0.2033111712517316,0.5813953488372093,-1.3706434108527132,129
brett-mcmurphy,michigan-wolverines,0.2492305530231226,-0.2739704035554094,-0.2337891751127045,1.162162162162162,-0.960873873873874,111
