voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
jon-wilner,lsu-tigers,-0.418993407188039,-0.8979137642957958,-0.8968036516716168,-1.6218487394957983,-3.1581932773109247,119
don-williams,lsu-tigers,0.0161641673738448,-0.5752588669933807,-0.5539618088005185,-1.0806451612903225,-3.1511612903225807,62
jerry-dipaola,lsu-tigers,-0.0777065581448612,-0.5810684494584311,-0.571698426117183,-1.6615384615384616,-3.126123076923077,65
scott-wolf,lsu-tigers,-0.422814017175558,-0.6360754424760571,-0.6569782711342781,-1.8867924528301887,-2.844037735849057,53
kirk-bohls,lsu-tigers,-0.1120190619340608,-0.5073860787374546,-0.5002932919018235,-1.0535714285714286,-2.786482142857143,112
andy-greder,lsu-tigers,-0.0435420766031645,-0.4606353689905861,-0.4476144271058451,-1.178082191780822,-2.59713698630137,73
dave-reardon,lsu-tigers,-0.139195589613791,-0.719265194374892,-0.6991240955034564,-0.803030303030303,-2.587166666666667,66
matt-baker,lsu-tigers,-0.0235072850035522,-0.4782838646517078,-0.4634719343130409,-0.5512820512820513,-2.511858974358975,78
rece-davis,lsu-tigers,-0.0231849608752623,-0.4776231146053189,-0.457242632346154,-0.4125,-2.27055,80
josh-furlong,lsu-tigers,0.0033657371336797,-0.5367446349266354,-0.5110853914001084,-0.4181818181818181,-2.258436363636364,55
tom-murphy,lsu-tigers,-0.0747281462508039,-0.4212038870495464,-0.4166342587173572,-0.6967213114754098,-2.238188524590164,122
garland-gillen,lsu-tigers,-0.1545798808339947,-0.5677737968821742,-0.5555546400215604,-0.5833333333333334,-2.1704916666666665,120
aaron-mcmann,lsu-tigers,0.0975707392869864,-0.4824590458879637,-0.4590998733452094,-0.3333333333333333,-2.0738596491228067,57
michael-lev,lsu-tigers,-0.0102691002033409,-0.3975402644326457,-0.3881572019504243,-0.358974358974359,-1.9592564102564105,117
brett-mcmurphy,lsu-tigers,-0.1437617772292112,-0.6268745516663796,-0.6159209035451761,-0.0673076923076923,-1.9498365384615384,104
matt-mccoy,lsu-tigers,-0.0237094716503789,-0.4833241353860746,-0.4800035280177439,-0.1625,-1.85765,80
ross-dellenger,lsu-tigers,-0.1001567956772509,-0.2368679341541328,-0.2476257672608123,-0.8301886792452831,-1.8193773584905657,53
matt-brown,lsu-tigers,-0.0207214735979607,-0.5400512819676181,-0.520065588401743,0.1282051282051282,-1.807666666666667,78
adam-jude,lsu-tigers,-0.0613860389506032,-0.2527075165002109,-0.2635877104176484,-0.359375,-1.789125,64
scott-hamilton,lsu-tigers,0.0117194077339208,-0.1687225443380758,-0.1722622440015426,-0.3454545454545454,-1.7755636363636365,55
ryan-aber,lsu-tigers,-0.144307310687636,-0.7519525060230521,-0.7495555528524066,0.1830985915492957,-1.756830985915493,71
lauren-brownlow,lsu-tigers,-0.003001607376905,-0.60641523006092,-0.5840183266990809,-0.0192307692307692,-1.7567884615384617,52
eric-hansen,lsu-tigers,-0.0069957005301916,-0.4132840134297831,-0.4066998002545689,-0.1979166666666666,-1.73928125,96
david-briggs,lsu-tigers,0.0139246883078386,-0.4142722957496352,-0.4010258405543531,0.2323232323232323,-1.7035454545454545,99
brian-howell,lsu-tigers,0.0160859229722773,-0.3812500698650981,-0.3705857448543381,0.0471698113207547,-1.69161320754717,106
sam-mckewon,lsu-tigers,-0.0227352480244111,-0.4804819857848473,-0.471771010060068,0.108433734939759,-1.5909156626506022,83
adam-zucker,lsu-tigers,0.0651436242560863,-0.2788020271479065,-0.2688408386291965,0.0970873786407767,-1.5059805825242722,103
gary-horowitz,lsu-tigers,0.0670284442781987,-0.3506215227161674,-0.3441756756217194,0.1481481481481481,-1.472135802469136,81
john-clay,lsu-tigers,0.10609300988869,-0.2806171839663022,-0.2693410511756506,0.2803738317757009,-1.4594205607476634,107
robert-cessna,lsu-tigers,0.0861159413290355,-0.2690676242657117,-0.2594516948244242,0.2393162393162393,-1.43291452991453,117
chuck-carlton,lsu-tigers,0.0612877793846239,-0.4001510824520674,-0.382018302151871,0.2638888888888889,-1.3994861111111112,72
marc-weiszer,lsu-tigers,0.0389198426603165,-0.347907918119612,-0.3328062905731111,0.2019230769230769,-1.346471153846154,104
chris-murray,lsu-tigers,-0.0072076047471811,-0.4090159428103026,-0.3976704822183926,0.4561403508771929,-1.2958333333333336,114
keith-sargeant,lsu-tigers,-0.0222980336601379,-0.2300180564910415,-0.2387881787462709,0.3548387096774194,-1.2397419354838712,62
bob-asmussen,lsu-tigers,0.0379000530505115,-0.3192875545422106,-0.3072120484506315,0.4615384615384615,-1.1442051282051284,117
robert-gagliardi,lsu-tigers,0.0613333692882668,-0.1443483662026397,-0.1465027655398413,0.5283018867924528,-1.0751698113207546,53
brent-axe,lsu-tigers,0.0409429780602381,-0.1565314823876714,-0.1637769159822909,0.5833333333333334,-1.0493000000000003,60
rob-long,lsu-tigers,0.1281921963633836,-0.362325793690694,-0.3464932823095388,0.8108108108108109,-0.997108108108108,74
steve-wiseman,lsu-tigers,0.1464600522459621,-0.3309167718158951,-0.3063040084020151,0.7868852459016393,-0.8905245901639345,61
steve-batterson,lsu-tigers,0.2083428303458134,-0.1651521494973084,-0.159438850181248,0.8817204301075269,-0.7108494623655915,93
tom-dangelo,lsu-tigers,0.109430159645817,-0.5129258954165377,-0.4808431487560006,1.3559322033898304,-0.6454237288135592,59
