voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
soren-petro,michigan-wolverines,-0.2085132297491372,-0.4213595201312066,-0.3991390675060865,-2.358490566037736,-3.907962264150944,53
nathan-baird,michigan-wolverines,-0.1422411587444267,-0.5320125536632178,-0.5142029735655036,-1.2407407407407407,-2.894981481481482,54
don-williams,michigan-wolverines,-0.1809678230266465,-0.8102536185450656,-0.7377428098510934,-0.9058823529411764,-2.8765529411764708,85
sam-mckewon,michigan-wolverines,-0.1389342281267704,-0.5502430326229112,-0.5188779387629779,-0.8725490196078431,-2.864901960784314,102
keith-sargeant,michigan-wolverines,-0.0880035523067836,-0.4512283274606986,-0.4140331885562629,-0.6428571428571429,-2.4604107142857146,56
matt-murschel,michigan-wolverines,-0.0620499183192681,-0.8270016774400825,-0.747588631412161,-0.2549019607843137,-2.435666666666666,51
jerry-dipaola,michigan-wolverines,-0.0186882721436016,-0.3514083521432771,-0.3155672998285043,-0.3809523809523809,-2.413920634920635,63
marc-weiszer,michigan-wolverines,-0.0670600803860967,-0.5917810183806596,-0.5352750233500007,-0.360655737704918,-2.3494344262295086,122
robert-gagliardi,michigan-wolverines,-0.0116208605834111,-0.3773882864410477,-0.3380871434009086,-0.2307692307692307,-2.32575,52
zach-klein,michigan-wolverines,-0.0236568986568986,-0.8005429649691765,-0.7166132478632478,-0.2692307692307692,-2.3153076923076923,52
john-clay,michigan-wolverines,0.0067884512046905,-0.4537792093943262,-0.4076884049002839,-0.2265625,-2.21428125,128
andy-greder,michigan-wolverines,0.0036115166713792,-0.3774262203891896,-0.3437355471440111,-0.2916666666666667,-2.1893125,96
gary-horowitz,michigan-wolverines,-0.0066309863213745,-0.3124164618686352,-0.2799046982045802,-0.1830985915492957,-2.1658873239436613,71
david-briggs,michigan-wolverines,-0.0669627595763145,-0.5972759412157729,-0.5388495004060434,-0.128,-2.150432,125
matt-mccoy,michigan-wolverines,0.0046054521673716,-0.2751997472629149,-0.2477951987588092,-0.3815789473684211,-2.147592105263158,76
blair-kerkhoff,michigan-wolverines,-0.0263697157738699,-0.6478656598886827,-0.5880718408827585,-0.0769230769230769,-2.1120307692307696,65
adam-zucker,michigan-wolverines,-0.0336548916721775,-0.5821116102795207,-0.520296952336363,-0.0092592592592592,-2.0999166666666667,108
trevor-hass,michigan-wolverines,-0.0016516545082505,-0.687553897423043,-0.6180475904129767,-0.0714285714285714,-2.0955714285714286,56
ron-counts,michigan-wolverines,0.0389035976063839,-0.6537677937657737,-0.5917595704948646,0.0,-2.07856,50
jon-wilner,michigan-wolverines,0.1213586422281007,-0.4043242094622737,-0.3655919843569293,-0.048780487804878,-2.03120325203252,123
michael-lev,michigan-wolverines,0.0201193083696489,-0.5002896835520814,-0.4530030456643459,0.04,-1.9663040000000005,125
ryan-aber,michigan-wolverines,0.0796690070239118,-0.4319234649958858,-0.384933284796931,0.0109890109890109,-1.9425494505494507,91
colten-bartholomew,michigan-wolverines,-0.0963341969627256,-0.9392472178369174,-0.8430020477993491,-0.0566037735849056,-1.931075471698113,53
robert-cessna,michigan-wolverines,-0.0464559583175682,-0.6318252346225687,-0.5609877062050438,0.104,-1.921872,125
josh-furlong,michigan-wolverines,0.0458691061659159,-0.47770951546116,-0.424588939096679,0.0266666666666666,-1.9216,75
bob-asmussen,michigan-wolverines,0.02845869574601,-0.4132412034389269,-0.3710666934485039,-0.0924369747899159,-1.9184957983193276,119
david-jablonski,michigan-wolverines,0.1485247364548141,-0.509278873168102,-0.4533524682248322,0.2264150943396226,-1.881924528301887,53
eric-hansen,michigan-wolverines,0.0577665518357224,-0.2554563133444579,-0.2292641953668651,0.1052631578947368,-1.8699894736842104,95
neill-ostrout,michigan-wolverines,0.0400244946124788,-0.2151459812698476,-0.1975638373997487,-0.0384615384615384,-1.8539230769230772,52
aaron-mcmann,michigan-wolverines,0.0329216003755645,-0.2869804308442708,-0.2645596105932624,0.0266666666666666,-1.8490933333333337,75
dave-reardon,michigan-wolverines,0.1129574018990819,-0.4163466252008816,-0.380437479117309,0.216867469879518,-1.8283253012048193,83
tom-dangelo,michigan-wolverines,0.0426686074264159,-0.4667709452136313,-0.4270663444753266,0.1012658227848101,-1.800139240506329,79
steve-wiseman,michigan-wolverines,0.1096587910526529,-0.5259323257401879,-0.4620076393822326,0.4347826086956521,-1.7935072463768118,69
steve-batterson,michigan-wolverines,0.0179976672365826,-0.3345249358238641,-0.3033571338840338,0.074074074074074,-1.751296296296296,108
rece-davis,michigan-wolverines,0.0433270408496173,-0.4455663921687041,-0.4003852380161538,0.1176470588235294,-1.745901960784314,102
rob-long,michigan-wolverines,0.0827256067155448,-0.2079959772043463,-0.183145386580434,0.1756756756756756,-1.7164864864864864,74
garland-gillen,michigan-wolverines,-0.0280727810664105,-0.544147389468632,-0.4892728602304829,0.2384615384615384,-1.6949615384615386,130
mike-barber,michigan-wolverines,0.1876711897713922,-0.4254065976437766,-0.3674735277468071,0.5,-1.630730769230769,78
scott-hamilton,michigan-wolverines,0.0231261858665461,-0.3329354010130182,-0.2952429856630532,0.3636363636363636,-1.6009272727272728,55
matt-baker,michigan-wolverines,0.1613095829007594,-0.3100567441956515,-0.2696005183327165,0.33,-1.59564,100
steve-virgen,michigan-wolverines,0.0337314770712603,-0.2438309760727579,-0.2154865528924586,0.15,-1.5930833333333336,60
brian-howell,michigan-wolverines,0.0778238483116444,-0.3717323203414109,-0.3261104509002259,0.3720930232558139,-1.5085891472868218,129
johnny-mcgonigal,michigan-wolverines,0.1755106721050993,-0.5499473887568631,-0.4938132189111064,0.6666666666666666,-1.4955098039215684,51
tom-murphy,michigan-wolverines,0.0267101413250433,-0.4851470356563257,-0.4306351490928181,0.5238095238095238,-1.4879047619047618,126
matt-brown,michigan-wolverines,0.0827481266536834,-0.4127847264752186,-0.3695982602948306,0.4059405940594059,-1.4749207920792082,101
chuck-carlton,michigan-wolverines,0.0767107569745879,-0.3322006893064362,-0.2933745541524178,0.4456521739130434,-1.4372608695652178,92
kirk-bohls,michigan-wolverines,0.0517422745087018,-0.5412473709648586,-0.4811153353129095,0.7241379310344828,-1.4361293103448276,116
