voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
matt-baker,ohio-state-buckeyes,-0.3554941971608638,-1.119492714178288,-1.129514312847646,-0.4188034188034188,-2.3991880341880334,117
steve-batterson,ohio-state-buckeyes,-0.2921637004970338,-1.133530434804393,-1.081406575677409,-1.0208333333333333,-3.083979166666667,144
bob-asmussen,ohio-state-buckeyes,-0.2618525933863477,-1.138302661428514,-1.1010309611869027,-0.6644295302013423,-2.714563758389262,149
david-briggs,ohio-state-buckeyes,-0.2220572033072033,-1.068787731270856,-1.0232625482625484,-0.277027027027027,-2.342864864864865,148
josh-furlong,ohio-state-buckeyes,-0.20890756302521,-0.9177178151260506,-0.9292717086834734,-0.3294117647058823,-2.215988235294118,85
don-williams,ohio-state-buckeyes,-0.1991939484126984,-0.8800198762468776,-0.8828500781625781,-0.3958333333333333,-2.3227708333333332,96
mike-barber,ohio-state-buckeyes,-0.1940972222222222,-0.8965149503968254,-0.9041522366522368,-0.45,-2.5410125,80
andy-greder,ohio-state-buckeyes,-0.1493028743028743,-0.7923517136542358,-0.7824613574613576,-0.3153153153153153,-2.3189099099099093,111
jerry-dipaola,ohio-state-buckeyes,-0.1266666666666666,-0.7757269487792233,-0.754535533910534,-0.2125,-2.2134625,80
rece-davis,ohio-state-buckeyes,-0.1191996275329608,-0.7859407487825044,-0.7900887099605048,0.0854700854700854,-1.8949145299145305,117
gary-horowitz,ohio-state-buckeyes,-0.1162248690599206,-0.9555148694664246,-0.8863047319232886,-0.2268041237113402,-2.4072268041237117,97
adam-zucker,ohio-state-buckeyes,-0.1128269181351373,-0.9535561429928148,-0.9227547756657344,0.0684931506849315,-2.0355,146
matt-mccoy,ohio-state-buckeyes,-0.0952861335089036,-0.9345067588731436,-0.8513778653738314,-0.0515463917525773,-2.231969072164948,97
matt-brown,ohio-state-buckeyes,-0.0751011334344667,-0.7408799981259977,-0.7462790296123629,0.2735042735042735,-1.7068803418803422,117
robert-cessna,ohio-state-buckeyes,-0.051649490681904,-0.7897526698985745,-0.7488604120704571,-0.0548780487804878,-2.117036585365854,164
chuck-carlton,ohio-state-buckeyes,-0.0310586734693877,-0.6476586354602507,-0.6410405071119357,0.1160714285714285,-1.8852589285714283,112
aaron-mcmann,ohio-state-buckeyes,-0.0182913165266106,-0.5831870121381886,-0.5870494864612511,-0.1529411764705882,-2.0439411764705886,85
rob-long,ohio-state-buckeyes,-0.0051597677035309,-0.7924091968178024,-0.723097993378078,-0.1588785046728972,-2.3217850467289725,107
michael-lev,ohio-state-buckeyes,0.0006914749259246,-0.753683393834258,-0.7381844577538357,0.1272727272727272,-1.934315151515152,165
john-clay,ohio-state-buckeyes,0.015527378027378,-0.7365523506419059,-0.6898280585780586,0.1283783783783783,-1.9374594594594596,148
sam-mckewon,ohio-state-buckeyes,0.0168720387224324,-0.9472119623173992,-0.9136917544397858,0.0944881889763779,-1.973818897637795,127
tom-dangelo,ohio-state-buckeyes,0.0313784461152882,-0.7677323149460853,-0.7130124553808764,0.231578947368421,-1.7629052631578948,95
lauren-brownlow,ohio-state-buckeyes,0.0352642496392496,-0.4722568438002536,-0.4674386724386725,0.2875,-1.7032,80
marc-weiszer,ohio-state-buckeyes,0.0353378944288035,-0.6879482100778588,-0.6391497391497392,0.1748251748251748,-1.8974475524475525,143
chris-murray,ohio-state-buckeyes,0.0394433034184587,-0.7003411947443643,-0.6567710206051983,0.3788819875776397,-1.722583850931677,161
eric-hansen,ohio-state-buckeyes,0.0402532268501539,-0.716590132658333,-0.6839511021106314,0.1729323308270676,-1.9106917293233083,133
tom-murphy,ohio-state-buckeyes,0.0412449000863635,-0.6315769542423102,-0.6081236037710684,0.2621951219512195,-1.8121402439024388,164
kirk-bohls,ohio-state-buckeyes,0.0418935171109084,-0.8180012542958413,-0.8028605853667532,0.30625,-1.8189875,160
brian-howell,ohio-state-buckeyes,0.05048865276138,-0.7020631937663844,-0.6533022533022533,0.0909090909090909,-2.0394615384615387,143
adam-jude,ohio-state-buckeyes,0.058639999794891,-0.7556663766997065,-0.6618493779770953,0.45,-1.7975375,80
garland-gillen,ohio-state-buckeyes,0.074806587557048,-0.6156947159557679,-0.5805724584928692,0.3658536585365853,-1.7084817073170733,164
ryan-aber,ohio-state-buckeyes,0.0755965742076853,-0.5189022118026055,-0.5275299289188178,0.3703703703703703,-1.6944537037037035,108
kellis-robinett,ohio-state-buckeyes,0.2161987318237318,-0.2742463033275696,-0.2804575855375087,1.0625,-1.0500875,80
brett-mcmurphy,ohio-state-buckeyes,0.3389923453191819,-0.5413653665810865,-0.5171732673456811,0.7724137931034483,-1.3210827586206897,145
dave-reardon,ohio-state-buckeyes,0.3555108375420876,-0.559391802723213,-0.534431743025493,0.5520833333333334,-1.5861041666666669,96
jon-wilner,ohio-state-buckeyes,0.3945367088679191,-0.4946819073591474,-0.4647346084280378,1.2547770700636942,-0.90471974522293,157
