voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
don-williams,alabama-crimson-tide,-0.1498301868199827,-1.4584784613062671,-1.4261096046810335,-0.3877551020408163,-2.5054489795918373,98
gary-horowitz,alabama-crimson-tide,-0.0258959253804614,-1.5357780927835052,-1.475736377025037,-0.134020618556701,-2.3704020618556703,97
tom-murphy,alabama-crimson-tide,-0.012377841719159,-1.3203310482930242,-1.2722665059491407,-0.1616766467065868,-2.3505568862275448,167
dave-reardon,alabama-crimson-tide,0.0556089165464165,-1.0214111364825011,-0.9708425833425832,-0.1666666666666666,-2.30165625,96
john-clay,alabama-crimson-tide,-0.0438258038258038,-1.3954402315247558,-1.3438311688311688,-0.1066666666666666,-2.2379466666666668,150
brian-howell,alabama-crimson-tide,0.0162085863428145,-1.266486370816072,-1.21888782358581,-0.1073825503355704,-2.2366241610738253,149
garland-gillen,alabama-crimson-tide,-0.0614865507081075,-1.4083470747538835,-1.3545997914261387,-0.029940119760479,-2.218820359281437,167
aaron-mcmann,alabama-crimson-tide,-0.0718710089399744,-1.4903385884883549,-1.4457352672869914,-0.0229885057471264,-2.209011494252874,87
jerry-dipaola,alabama-crimson-tide,0.0558943089430894,-1.6552172764227642,-1.5996951219512197,0.0,-2.1390365853658535,82
bob-asmussen,alabama-crimson-tide,0.0932525348088261,-1.140061532939185,-1.0958771728639278,0.0596026490066225,-2.131,151
david-briggs,alabama-crimson-tide,0.032557387057387,-1.2659693870162032,-1.2191553446553447,0.0533333333333333,-2.0779466666666666,150
rob-long,alabama-crimson-tide,0.068850421947767,-1.405061771606959,-1.342277707543194,0.1327433628318584,-2.0670884955752213,113
andy-greder,alabama-crimson-tide,0.0499149659863945,-1.4907083410989963,-1.4259353741496597,0.0892857142857142,-2.0641875,112
eric-hansen,alabama-crimson-tide,0.1350793650793651,-1.2794839014679449,-1.2381128747795416,0.1777777777777777,-2.041229629629629,135
adam-zucker,alabama-crimson-tide,0.049254571771128,-1.1544238724006892,-1.110047017000659,0.1721854304635761,-2.0304768211920527,151
steve-batterson,alabama-crimson-tide,0.0021934116112198,-1.4549484757615527,-1.3911364130542212,0.1712328767123287,-2.0293630136986303,146
robert-cessna,alabama-crimson-tide,0.0864497617509665,-1.159630844015494,-1.1117718961092455,0.1746987951807229,-2.0112409638554216,166
matt-mccoy,alabama-crimson-tide,0.1583411433926897,-1.2901074696945676,-1.2292393746001995,0.2371134020618556,-1.999268041237113,97
marc-weiszer,alabama-crimson-tide,0.0018625244487313,-1.3406251903184372,-1.2887202835478695,0.1379310344827586,-1.974062068965517,145
josh-furlong,alabama-crimson-tide,0.0687241876897049,-0.9556989960990132,-0.929010134182548,0.2183908045977011,-1.943057471264368,87
chuck-carlton,alabama-crimson-tide,0.1156815650236702,-1.409577639103087,-1.35182052353105,0.2105263157894736,-1.941552631578947,114
mike-barber,alabama-crimson-tide,0.0391382575757575,-1.2829340644462457,-1.2293565115440117,0.2,-1.8949625,80
adam-jude,alabama-crimson-tide,0.1213988095238095,-1.4053957714562728,-1.3489177489177488,0.325,-1.8937125,80
jon-wilner,alabama-crimson-tide,0.1337677458934944,-1.2530007069595652,-1.2200128547433935,0.3053892215568862,-1.8834910179640716,167
matt-baker,alabama-crimson-tide,0.1513428914689419,-1.0676091621238633,-1.0344010331405291,0.2689075630252101,-1.8796302521008403,119
michael-lev,alabama-crimson-tide,0.1682647525461896,-1.0583234723271495,-1.021681744735637,0.3532934131736527,-1.8355868263473056,167
brett-mcmurphy,alabama-crimson-tide,0.1265450884656182,-1.0691880795082245,-1.0318286018617144,0.4039735099337748,-1.787112582781457,151
chris-murray,alabama-crimson-tide,0.1349546660923906,-1.0957002186960634,-1.0467865135529806,0.4071856287425149,-1.781694610778443,167
lauren-brownlow,alabama-crimson-tide,0.1739837398373983,-1.3729837790101682,-1.3217479674796748,0.3780487804878049,-1.771292682926829,82
sam-mckewon,alabama-crimson-tide,0.2042749240423659,-1.2606741134960144,-1.2258859357696563,0.3720930232558139,-1.7630697674418607,129
matt-brown,alabama-crimson-tide,0.1412273534122273,-1.1172750320755342,-1.0814935064935065,0.4453781512605042,-1.7031596638655462,119
kirk-bohls,alabama-crimson-tide,0.234984061181666,-1.0492871836032844,-1.014247977571331,0.497005988023952,-1.691874251497006,167
tom-dangelo,alabama-crimson-tide,0.1990123278783072,-0.7302582665284256,-0.7069788458963716,0.4432989690721649,-1.6669278350515462,97
ryan-aber,alabama-crimson-tide,0.2213345864661654,-1.0521794737030374,-1.0108791549581022,0.4649122807017544,-1.6598508771929823,114
kellis-robinett,alabama-crimson-tide,0.2635508524397413,-1.1066590365107354,-1.0481677444640407,0.6049382716049383,-1.6594691358024691,81
rece-davis,alabama-crimson-tide,0.2056060186312287,-1.014988390855594,-0.9786422727599198,0.4957983193277311,-1.6527394957983197,119
keith-sargeant,alabama-crimson-tide,0.2226877289377289,-1.2490462627452004,-1.185472721722722,0.575,-1.6437125,80
