voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
brian-howell,oklahoma-sooners,-0.1368520286056047,-0.4962834287431347,-0.4765564503620549,-1.0875912408759123,-2.8745839416058394,137
don-williams,oklahoma-sooners,-0.0741328574344692,-0.416637661492369,-0.4003295748022671,-0.872093023255814,-2.762837209302326,86
tom-dangelo,oklahoma-sooners,-0.1052081328250813,-0.4514730855130257,-0.4363320856109499,-0.7317073170731707,-2.6956463414634144,82
matt-mccoy,oklahoma-sooners,-0.1107193874013095,-0.4685169984864043,-0.4558527180796239,-0.7684210526315789,-2.472021052631579,95
jerry-dipaola,oklahoma-sooners,-0.0737088178714587,-0.4335353309130877,-0.4146599255259385,-0.7283950617283951,-2.3755925925925925,81
rob-long,oklahoma-sooners,-0.0855394225457197,-0.4529240399487958,-0.4363442501426876,-0.4466019417475728,-2.352048543689321,103
chuck-carlton,oklahoma-sooners,-0.1093810561987032,-0.5386420854683487,-0.5084681183741013,-0.46,-2.3469,100
steve-batterson,oklahoma-sooners,-0.0980576189333262,-0.5115323440949763,-0.4874195906060682,-0.3937007874015748,-2.319456692913386,127
andy-greder,oklahoma-sooners,-0.0757380426889019,-0.4859228263413885,-0.4603475181586231,-0.4489795918367347,-2.309663265306122,98
ryan-aber,oklahoma-sooners,-0.0534997224997224,-0.4571535848849434,-0.4326468857229726,-0.22,-2.2260899999999997,100
dave-reardon,oklahoma-sooners,-0.0201239355860554,-0.4096751743429893,-0.394223692973693,-0.2235294117647059,-2.1946235294117646,85
tom-murphy,oklahoma-sooners,-0.1220759433236339,-0.506943362744517,-0.4870788490213205,-0.087248322147651,-1.9642348993288592,149
robert-cessna,oklahoma-sooners,-0.0181420073637591,-0.3519193370293715,-0.33534680306607,-0.1721854304635761,-1.9582847682119209,151
gary-horowitz,oklahoma-sooners,-0.0440683744173446,-0.4075855729389731,-0.3914230446103006,-0.0434782608695652,-1.8964782608695652,92
jon-wilner,oklahoma-sooners,-0.0324352228122392,-0.4031478900799002,-0.3795152861120556,-0.1184210526315789,-1.8439736842105263,152
chris-murray,oklahoma-sooners,-0.0120909023743643,-0.3823504255854575,-0.366697153683455,0.1917808219178082,-1.7754794520547947,146
adam-zucker,oklahoma-sooners,-0.0537407493862956,-0.4195960141660833,-0.4000567035316993,0.1221374045801526,-1.7548778625954198,131
matt-brown,oklahoma-sooners,-0.0137103446231312,-0.4238685631585043,-0.4027949708004714,0.2912621359223301,-1.7466019417475729,103
david-briggs,oklahoma-sooners,0.0153503569552966,-0.3282432672570595,-0.3101738260019993,0.1567164179104477,-1.7461268656716418,134
rece-davis,oklahoma-sooners,-0.01717874332949,-0.4376678666671915,-0.4129419452607396,0.284313725490196,-1.7384901960784316,102
kirk-bohls,oklahoma-sooners,-0.005548706149417,-0.3592964907497432,-0.3403980045638734,0.0657894736842105,-1.7139078947368422,152
john-clay,oklahoma-sooners,0.0325662235940873,-0.3091469465667095,-0.2903705679075476,0.2,-1.6874666666666671,135
bob-asmussen,oklahoma-sooners,0.0325772704538276,-0.2891459967851424,-0.2776604092497963,0.2348484848484848,-1.6784696969696968,132
matt-baker,oklahoma-sooners,0.0441894979623456,-0.3367442683959085,-0.3170167238387632,0.3557692307692308,-1.6691538461538462,104
marc-weiszer,oklahoma-sooners,-0.0015899856834503,-0.3608171867559903,-0.3391784008477902,0.3023255813953488,-1.6243798449612403,129
sam-mckewon,oklahoma-sooners,-0.0132208698828456,-0.4490272984028038,-0.4257898209186617,0.4727272727272727,-1.5193,110
michael-lev,oklahoma-sooners,0.0354492451401233,-0.3360805262908283,-0.3146519083235574,0.5310344827586206,-1.4349655172413796,145
garland-gillen,oklahoma-sooners,0.0355514506193363,-0.3261169648215309,-0.3067868283498121,0.5833333333333334,-1.3896666666666668,144
brett-mcmurphy,oklahoma-sooners,0.0567013649038992,-0.265049264717466,-0.254482439265361,0.813953488372093,-1.158356589147287,129
eric-hansen,oklahoma-sooners,0.143045171893079,-0.2021841403642511,-0.1842437496259603,0.6614173228346457,-1.1483307086614174,127
