voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
stephen-means,illinois-fighting-illini,-0.3301587301587301,-0.3013960317460317,-0.3277777777777778,-5.666666666666667,-4.934333333333334,3
ron-counts,illinois-fighting-illini,-0.2649831649831649,-0.3701309764309764,-0.3737373737373737,-4.0,-5.228666666666666,3
sean-reider,illinois-fighting-illini,-0.2437888198757763,-0.2235683229813664,-0.25,-4.0,-3.1415000000000006,2
chip-towers,illinois-fighting-illini,-0.224025974025974,-0.2568311688311687,-0.2954545454545454,-3.5,-3.872,2
david-jablonski,illinois-fighting-illini,-0.206880700998348,-0.2756374718848403,-0.2877229704297373,-2.7142857142857144,-3.7102857142857144,7
dylan-sinn,illinois-fighting-illini,-0.1716285663654084,-0.1354260145312776,-0.156034024455077,-3.3333333333333335,-2.6010000000000004,3
chris-murray,illinois-fighting-illini,-0.1572475143903715,-0.2262283359497644,-0.2351612439847733,-2.7142857142857144,-3.7102857142857144,7
brian-howell,illinois-fighting-illini,-0.1554977873863322,-0.2165656653631886,-0.224159363168651,-2.7142857142857144,-3.5801428571428575,7
don-williams,illinois-fighting-illini,-0.1307844819850136,-0.1404636511355113,-0.1389930629002172,-2.625,-2.521125,8
chuck-landon,illinois-fighting-illini,-0.1307773109243697,-0.2332752100840335,-0.2326330532212885,-2.0,-3.11975,4
brenna-greene,illinois-fighting-illini,-0.1302521008403361,-0.1548235294117646,-0.1890756302521007,-2.5,-2.872,2
randy-johnson,illinois-fighting-illini,-0.1301247771836007,-0.1022914438502673,-0.123885918003565,-2.6666666666666665,-1.9343333333333337,3
adam-cole,illinois-fighting-illini,-0.1277874778674011,-0.235258060637856,-0.2441964773646359,-2.0,-3.6521666666666666,6
john-pierson,illinois-fighting-illini,-0.1276573426573426,-0.2367932128982128,-0.2379467754467754,-2.2,-3.7556,5
john-steppe,illinois-fighting-illini,-0.1176470588235294,-0.1896470588235294,-0.2352941176470588,-2.0,-3.224,1
bob-ballou,illinois-fighting-illini,-0.1176470588235294,-0.1896470588235294,-0.2352941176470588,-2.0,-3.224,1
cody-nespor,illinois-fighting-illini,-0.1106719367588932,-0.0358280632411066,-0.0454545454545454,-2.5,-0.7895000000000003,2
kellis-robinett,illinois-fighting-illini,-0.1055860805860805,-0.2160088463849505,-0.2182442557442557,-1.6,-3.1556000000000006,5
brian-fonseca,illinois-fighting-illini,-0.1024915229249594,-0.1688153299916457,-0.175563909774436,-1.8571428571428572,-2.853142857142857,7
