voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
ryan-aber,auburn-tigers,-0.167270686900941,-0.3916401281999054,-0.4012085201700401,-0.6140350877192983,-2.4174210526315787,57
eric-hansen,auburn-tigers,-0.1290554708093218,-0.4171507755412294,-0.4076627220225295,-0.6219512195121951,-2.5857560975609752,82
soren-petro,auburn-tigers,-0.1199212706149443,-0.3197751447474061,-0.3215429771547973,-1.490566037735849,-3.162811320754716,53
matt-baker,auburn-tigers,-0.1002687600210819,-0.3379244284542255,-0.3324651277639566,-0.8235294117647058,-2.9992941176470587,51
rece-davis,auburn-tigers,-0.0970348028868991,-0.3141467642181595,-0.3158762058715246,-0.4821428571428571,-2.4223214285714287,56
adam-zucker,auburn-tigers,-0.0895760335582317,-0.3731455424879885,-0.3663360335590784,-0.0769230769230769,-1.9184230769230768,78
john-clay,auburn-tigers,-0.0818147803640607,-0.2616083360520975,-0.2639403001081123,-0.6666666666666666,-2.238736111111111,72
garland-gillen,auburn-tigers,-0.0814481206175452,-0.3209711964855178,-0.3173009820934311,-0.5862068965517241,-2.3127816091954023,87
tom-murphy,auburn-tigers,-0.0700689083639199,-0.2874764010952111,-0.2862311572249345,-0.9565217391304348,-2.523423913043478,92
jon-wilner,auburn-tigers,-0.0645462748503197,-0.3594328143795522,-0.3489893063338918,-0.5113636363636364,-2.1183863636363633,88
matt-mccoy,auburn-tigers,-0.0410974850313085,-0.3207374691083703,-0.3129722528536447,-0.0735294117647058,-2.123073529411765,68
andy-greder,auburn-tigers,-0.0304857272599592,-0.2110792317745327,-0.2139169903282994,-0.4,-2.1029538461538464,65
adam-jude,auburn-tigers,-0.0180630351591924,-0.3072734549866105,-0.2911223262249248,0.0980392156862745,-1.989666666666667,51
brett-mcmurphy,auburn-tigers,-0.0175030854099469,-0.2695128596449782,-0.2683827792411188,0.2537313432835821,-1.552731343283582,67
jerry-dipaola,auburn-tigers,-0.0106853201755899,-0.1894278949997765,-0.1895333116547918,-0.2539682539682539,-1.854269841269841,63
chris-murray,auburn-tigers,-0.0099931375352454,-0.2679317718785235,-0.2610160550110291,0.0813953488372093,-1.7487906976744187,86
brian-howell,auburn-tigers,0.0017908036481676,-0.1714107782058156,-0.1715626465587862,-0.1285714285714285,-1.6799285714285717,70
sam-mckewon,auburn-tigers,0.002133553869894,-0.1881949350769102,-0.1919505360348817,-0.25,-1.7184166666666665,72
rob-long,auburn-tigers,0.0026078010037121,-0.2565333531645193,-0.2461547307399223,0.1973684210526315,-1.5701315789473689,76
marc-weiszer,auburn-tigers,0.0125034212414148,-0.1546110296775105,-0.1567796911432068,0.136986301369863,-1.3732328767123287,73
david-briggs,auburn-tigers,0.0256893987351633,-0.1612408501214117,-0.1599765200730565,0.5735294117647058,-1.2181470588235292,68
lauren-brownlow,auburn-tigers,0.0265847004833528,-0.1944738186823195,-0.1911512897922477,0.3725490196078431,-1.7726470588235297,51
matt-brown,auburn-tigers,0.0305570910636039,-0.1939334089237394,-0.1918918606941182,0.8269230769230769,-1.3062307692307693,52
michael-lev,auburn-tigers,0.04277401441204,-0.2087583815393195,-0.2009540538602536,0.3291139240506329,-1.7370632911392403,79
chuck-carlton,auburn-tigers,0.0472792907377428,-0.1306917024205296,-0.1342002461947027,0.7575757575757576,-0.9587727272727272,66
kirk-bohls,auburn-tigers,0.0586137900917162,-0.2216208766322921,-0.2114502097891387,0.7662337662337663,-1.3951688311688313,77
gary-horowitz,auburn-tigers,0.0787854372428492,-0.1872816278992281,-0.1809924200456849,1.0606060606060606,-0.9621515151515152,66
robert-cessna,auburn-tigers,0.0864456950248377,-0.156467520238647,-0.1483955441809714,1.0731707317073171,-0.8322073170731705,82
bob-asmussen,auburn-tigers,0.1023882858808311,-0.1415001820888293,-0.1342701185621179,1.0263157894736843,-0.943578947368421,76
steve-batterson,auburn-tigers,0.1130713442334539,-0.1222416481024709,-0.1163162126257501,0.9759036144578314,-0.9921927710843372,83
keith-sargeant,auburn-tigers,0.1268377067161441,-0.1410679768012211,-0.1270755075913517,1.0980392156862746,-0.9117254901960784,51
