voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
tom-murphy,baylor-bears,-0.1985608860110665,-0.6803959193756023,-0.6186344358831585,-0.9420289855072465,-2.984942028985507,69
michael-lev,baylor-bears,-0.1610447555241606,-0.6198128147248445,-0.5681845527397916,-0.4927536231884058,-2.477855072463768,69
eric-hansen,baylor-bears,-0.134608226339181,-0.6128537640230634,-0.5615093815541422,0.5409836065573771,-1.5110491803278687,61
kirk-bohls,baylor-bears,-0.098237388511988,-0.4463187830923691,-0.4126680984669947,-0.6376811594202898,-2.5896521739130436,69
bob-asmussen,baylor-bears,-0.0480212559771383,-0.4095003302042908,-0.3649199901427393,-0.1833333333333333,-2.1053999999999995,60
adam-zucker,baylor-bears,-0.0224408858556015,-0.4009282638037689,-0.3588766676958365,-0.0140845070422535,-1.791225352112676,71
steve-batterson,baylor-bears,-0.0156946969930163,-0.3364944519098267,-0.3016041657385278,-0.1,-1.9795000000000005,70
gary-horowitz,baylor-bears,-0.0106829161176987,-0.455634465146252,-0.4051324738406934,0.2307692307692307,-1.845615384615384,52
john-clay,baylor-bears,0.0004123940838564,-0.3376785693651562,-0.2900182981725505,-0.2352941176470588,-2.221490196078431,51
robert-cessna,baylor-bears,0.0009055603550578,-0.3058100976418984,-0.2768217054215086,-0.2957746478873239,-2.172774647887324,71
rob-long,baylor-bears,0.023846027831535,-0.3327779480548269,-0.289523354619973,-0.2407407407407407,-2.1962777777777776,54
marc-weiszer,baylor-bears,0.0414477405047078,-0.2498133404962523,-0.2205165295921053,-0.5263157894736842,-2.092368421052631,57
matt-mccoy,baylor-bears,0.0480969884816038,-0.3071632965768452,-0.265134028140101,0.1538461538461538,-1.922538461538461,52
garland-gillen,baylor-bears,0.0793974289653787,-0.2580833493904709,-0.2254292189155411,0.1044776119402985,-2.044626865671641,67
brian-howell,baylor-bears,0.0946120304290239,-0.2096042863071366,-0.1774574021778309,0.2222222222222222,-1.604037037037037,54
david-briggs,baylor-bears,0.1580827260003857,-0.1779260824257631,-0.1403269201213566,0.9215686274509804,-1.0143725490196078,51
brett-mcmurphy,baylor-bears,0.1778892795569385,-0.1845960827816002,-0.1464437476339119,1.3692307692307693,-0.8921076923076923,65
chris-murray,baylor-bears,0.1799997454206596,-0.1801460750548678,-0.1492147054033898,0.4788732394366197,-1.3981267605633805,71
jon-wilner,baylor-bears,0.5336082787285996,0.0695190503717781,0.1104656258812957,2.363636363636364,0.4471818181818183,66
