voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
eric-hansen,cincinnati-bearcats,-0.2296397867100518,-0.612026116322572,-0.5993666524095249,-1.6,-3.3257200000000005,50
andy-greder,cincinnati-bearcats,-0.1531978727779663,-0.3785734042269801,-0.3755174730457933,-1.8823529411764703,-2.560205882352941,68
chris-murray,cincinnati-bearcats,-0.1516849699711297,-0.4568766252131899,-0.4451033097621079,-1.1694915254237288,-2.448966101694916,59
brian-howell,cincinnati-bearcats,-0.1056133860403539,-0.4207252457114052,-0.4141135887436207,-1.3333333333333333,-2.938166666666667,54
david-briggs,cincinnati-bearcats,-0.0468757022561804,-0.2753781972046612,-0.272747608945348,-1.3064516129032258,-2.4040483870967746,62
tom-murphy,cincinnati-bearcats,-0.0457217100638153,-0.3357583961818675,-0.323526290407114,-0.7037037037037037,-2.210703703703704,54
jon-wilner,cincinnati-bearcats,-0.0317985922141078,-0.2558142837541302,-0.2513812675899083,-0.8059701492537313,-1.4637761194029852,67
matt-baker,cincinnati-bearcats,-0.023960487582454,-0.3103889783351597,-0.29992766288611,-0.3214285714285714,-1.7851785714285715,56
marc-weiszer,cincinnati-bearcats,-0.0041114521725086,-0.3252885990635266,-0.3085798305817427,0.0196078431372549,-1.7427843137254904,51
matt-brown,cincinnati-bearcats,0.0011780084412905,-0.2714359392242628,-0.2593646427614312,0.0,-1.2852758620689655,58
rece-davis,cincinnati-bearcats,0.0059403748774121,-0.2655112339610562,-0.2548291941988206,0.0833333333333333,-1.1738500000000005,60
chuck-carlton,cincinnati-bearcats,0.0113380978825979,-0.2899592737330015,-0.2781183908087382,0.2727272727272727,-1.3413818181818185,55
tom-dangelo,cincinnati-bearcats,0.0153383646995221,-0.2932058992043587,-0.2789626504456505,0.1346153846153846,-1.601192307692308,52
john-clay,cincinnati-bearcats,0.0155330546413913,-0.279384718473775,-0.2649852270672891,0.3518518518518518,-1.2429074074074078,54
ryan-aber,cincinnati-bearcats,0.0190130864683294,-0.3059636189789666,-0.2931054397934984,-0.0392156862745098,-1.8126470588235295,51
dylan-sinn,cincinnati-bearcats,0.0479038956571464,-0.2582371788573032,-0.2498844364008585,0.02,-1.52564,50
robert-cessna,cincinnati-bearcats,0.048345521744065,-0.2509331723363672,-0.2394286194665432,0.3148148148148148,-1.4028333333333332,54
aaron-mcmann,cincinnati-bearcats,0.054720519992895,-0.196531268989502,-0.1917569146732201,-0.711864406779661,-1.914305084745763,59
kirk-bohls,cincinnati-bearcats,0.0604657481105502,-0.2762526585375951,-0.2636536874689424,-0.0784313725490196,-1.867294117647059,51
michael-lev,cincinnati-bearcats,0.1226781545129728,-0.1798305836381011,-0.1627040768573486,0.9807692307692308,-0.6042115384615385,52
steve-batterson,cincinnati-bearcats,0.1319295518977321,-0.1428831212191,-0.1369521017603539,0.4259259259259259,-1.1029999999999998,54
garland-gillen,cincinnati-bearcats,0.1384630135529288,-0.164301837234244,-0.154393261167952,0.5192307692307693,-1.23725,52
nate-mink,cincinnati-bearcats,0.1598594795079206,-0.1715585960311827,-0.1589227722454318,0.6923076923076923,-1.065923076923077,52
brett-mcmurphy,cincinnati-bearcats,0.1769157800366577,-0.1434586042571665,-0.1314489007238704,0.9215686274509804,-0.9003725490196078,51
