voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
conor-oneill,clemson-tigers,-0.4833333333333333,-1.9389283333333336,-1.893333333333333,-0.54,-2.58732,50
steve-wiseman,clemson-tigers,-0.3777670888782,-1.322742132776073,-1.291535059590615,-0.5185185185185185,-2.569129629629629,54
nate-mink,clemson-tigers,-0.3108995487942856,-1.4048061182848577,-1.3683597883597889,0.2,-1.6935166666666668,60
soren-petro,clemson-tigers,-0.2676767676767677,-1.5646237373737373,-1.5126262626262628,-0.5,-2.6443787878787877,66
lauren-brownlow,clemson-tigers,-0.252226946722745,-1.3692219339801344,-1.3374508882945455,-0.4155844155844156,-2.323974025974026,77
dylan-sinn,clemson-tigers,-0.2028226375211164,-1.295748513260393,-1.2692553810537388,-0.7424242424242424,-2.4290757575757578,66
mike-barber,clemson-tigers,-0.1087578698316051,-0.785349293811895,-0.7604276026303423,-0.4067796610169492,-2.386677966101695,59
scott-hamilton,clemson-tigers,-0.10578231292517,-1.0847674603174604,-1.0272486772486773,-0.4126984126984127,-2.624460317460317,63
robert-cessna,clemson-tigers,-0.0945886602278251,-0.921715597245087,-0.8838750867663848,-0.2397260273972602,-2.021356164383562,146
eric-hansen,clemson-tigers,-0.0756292197983138,-1.0088959208862285,-0.9614239057330052,-0.232,-2.035616,125
blair-kerkhoff,clemson-tigers,-0.0694073769469537,-0.7083681982524661,-0.6863424669608317,-0.6065573770491803,-2.2261311475409844,61
brian-howell,clemson-tigers,-0.0679526054311614,-1.0191003464082036,-0.9743194472020952,-0.0153846153846153,-1.9755000000000005,130
rece-davis,clemson-tigers,-0.061810331937799,-0.9756582628607624,-0.9315231115502854,-0.25,-2.3494270833333335,96
robert-gagliardi,clemson-tigers,-0.0591332829428067,-1.0314201877047118,-0.9761211892164272,-0.1904761904761904,-2.402238095238095,63
aaron-mcmann,clemson-tigers,-0.0585739292385841,-0.9379942563885302,-0.8998916884992836,-0.2531645569620253,-2.231430379746836,79
rob-long,clemson-tigers,-0.0526501649720638,-1.0445774513113597,-0.9963461317944609,-0.3396226415094339,-2.394679245283019,106
brent-axe,clemson-tigers,-0.0381876768890498,-0.9112500135881608,-0.8623932887519845,0.1081081081081081,-1.97,74
john-clay,clemson-tigers,-0.0378512188294797,-0.903973409169789,-0.8665445916031199,-0.2846153846153846,-2.2163076923076925,130
jerry-dipaola,clemson-tigers,-0.0373983739837398,-1.1443774133568745,-1.1014227642276422,-0.024390243902439,-2.165,82
tom-dangelo,clemson-tigers,-0.0308927622085516,-0.9137721499663994,-0.8557274164297018,-0.189873417721519,-2.0255949367088606,79
adam-jude,clemson-tigers,-0.0215854478343254,-0.8410641446291375,-0.8069790136578946,0.1139240506329113,-1.6843924050632908,79
michael-lev,clemson-tigers,-0.0212360711766652,-0.8180783593850737,-0.7802973951604456,-0.272108843537415,-2.03712925170068,147
ron-counts,clemson-tigers,-0.0177784550243831,-0.6604428606925826,-0.6186581295051282,-0.392156862745098,-1.918901960784314,51
garry-smits,clemson-tigers,-0.0157625944617007,-0.8659363545975869,-0.8083250008965652,0.0566037735849056,-2.0455849056603777,53
neill-ostrout,clemson-tigers,-0.0136478889941493,-1.1137416385654644,-1.055607315389924,0.1578947368421052,-1.912877192982456,57
ferd-lewis,clemson-tigers,-0.0113709988436702,-0.8699276943791862,-0.8321238240716834,-0.0967741935483871,-1.9647258064516124,62
tom-murphy,clemson-tigers,-0.0056805865193462,-0.7996121956196143,-0.7630873862552854,-0.1180555555555555,-1.9548055555555552,144
don-williams,clemson-tigers,0.0054618416536575,-0.8034253848965883,-0.761536936388868,-0.2235294117647059,-1.8344235294117648,85
matt-baker,clemson-tigers,0.0134838358125539,-0.82574929886837,-0.7943276294834568,-0.2452830188679245,-1.9278867924528305,106
chris-murray,clemson-tigers,0.0207570721528577,-0.8399242751620174,-0.7892483083012131,0.3805970149253731,-1.733216417910448,134
keith-sargeant,clemson-tigers,0.0240589297920125,-0.7713743399874594,-0.7359632099147128,-0.1948051948051948,-2.1312857142857142,77
kellis-robinett,clemson-tigers,0.0519932199105718,-0.5891566540947931,-0.5693877746272447,0.25,-1.9048281250000003,64
chuck-carlton,clemson-tigers,0.0525456723569931,-0.8297265257103059,-0.7992280945359396,0.0660377358490566,-2.067754716981132,106
steve-virgen,clemson-tigers,0.0529477784379745,-0.9193966279084084,-0.8752837366830791,-0.0476190476190476,-2.1018253968253973,63
nathan-baird,clemson-tigers,0.0533232718374706,-0.7945254817930938,-0.7665773205834059,-0.1551724137931034,-2.1325689655172413,58
josh-furlong,clemson-tigers,0.0536308412513301,-0.7018705514349743,-0.6672847248352077,-0.1343283582089552,-1.950850746268657,67
