voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
jon-wilner,florida-gators,-0.1512764432330315,-0.3832663389752195,-0.3625994508007379,-0.956043956043956,-2.4364505494505493,91
tom-murphy,florida-gators,-0.1463357202334313,-0.3558469159201414,-0.3393756725643532,-1.6404494382022472,-3.16076404494382,89
garland-gillen,florida-gators,-0.1396572183003959,-0.371188221814874,-0.3560679271563419,-0.6333333333333333,-2.1648222222222224,90
brett-mcmurphy,florida-gators,-0.096829627691297,-0.3577986135102113,-0.3416667229294655,-0.1463414634146341,-2.0317560975609754,82
michael-lev,florida-gators,-0.0872312131073466,-0.3506441085730125,-0.3302711265745894,-0.4814814814814814,-2.3665802469135806,81
don-williams,florida-gators,-0.0732456727104445,-0.3238037302087346,-0.3021228618410162,-1.0,-2.7144032258064517,62
jerry-dipaola,florida-gators,-0.0596634801335054,-0.3184768338576442,-0.2955615265560015,-0.5757575757575758,-2.4470909090909094,66
aaron-mcmann,florida-gators,-0.0568899928628435,-0.3596584750342668,-0.333000428744207,-0.6730769230769231,-3.020346153846155,52
soren-petro,florida-gators,-0.0452554944514008,-0.3170030770262364,-0.2911819204963751,-0.6296296296296297,-2.4907222222222227,54
john-clay,florida-gators,-0.0451792971600018,-0.2726286289282459,-0.2510832895159114,-0.7011494252873564,-2.5479080459770116,87
chris-murray,florida-gators,-0.027470636528614,-0.2551101876785202,-0.2370050389420973,-0.5232558139534884,-2.4392558139534883,86
bob-asmussen,florida-gators,-0.0235162013602808,-0.2098727377602407,-0.1929652531277917,-0.7666666666666667,-2.0636444444444444,90
pat-dooley,florida-gators,-0.0225772421592854,-0.3029944728272155,-0.2765629345552619,-0.2549019607843137,-2.282843137254902,51
andy-greder,florida-gators,-0.0208884970968189,-0.2315072064190629,-0.212950499067362,-0.5844155844155844,-2.185064935064935,77
robert-cessna,florida-gators,-0.0204685443106319,-0.2425197417683704,-0.2237214394909706,-0.25,-2.0873863636363637,88
matt-baker,florida-gators,-0.0141387020924226,-0.2945634080195977,-0.2737060303076638,-0.0517241379310344,-2.216534482758621,58
ryan-aber,florida-gators,-0.0061150813103125,-0.2361306595275583,-0.2122083676764757,-0.0746268656716417,-1.6921492537313432,67
steve-virgen,florida-gators,-0.0059121861256915,-0.2903898565524097,-0.2633256644602225,-0.0188679245283018,-2.2094150943396222,53
adam-zucker,florida-gators,-0.003938180429375,-0.2222619490376113,-0.2030237380328983,0.0649350649350649,-1.4750519480519482,77
gary-horowitz,florida-gators,0.0017895580358262,-0.183337680681644,-0.1614770831654954,-0.0535714285714285,-1.7231250000000002,56
david-briggs,florida-gators,0.0127753349013461,-0.2092982739883087,-0.1933784359853213,0.2298850574712643,-1.62116091954023,87
marc-weiszer,florida-gators,0.019194169287226,-0.1758473249485209,-0.1592323734524136,0.0,-1.6425274725274728,91
matt-mccoy,florida-gators,0.0205361012257794,-0.1306296209248925,-0.1147338182290456,-0.2238805970149253,-1.456164179104478,67
kirk-bohls,florida-gators,0.0288984759650394,-0.1847771446065453,-0.1689181871881427,0.2777777777777778,-1.3303222222222222,90
steve-batterson,florida-gators,0.0327273022949963,-0.1659294010668547,-0.1503364540033583,-0.0112359550561797,-1.5571573033707866,89
rob-long,florida-gators,0.0341406914966879,-0.2138735670641339,-0.1931994825983134,0.1052631578947368,-1.6614868421052635,76
brian-howell,florida-gators,0.0423200018540431,-0.1852292731227868,-0.1668339126610765,0.2976190476190476,-1.6307619047619049,84
rece-davis,florida-gators,0.0449294945250827,-0.2229974353486626,-0.1997599709658533,0.2166666666666666,-1.73295,60
neill-ostrout,florida-gators,0.0465059077521838,-0.2445330179254134,-0.2204349247795126,0.3396226415094339,-1.8572264150943392,53
chuck-carlton,florida-gators,0.0637394876651842,-0.1590055554930539,-0.1399691565539997,0.76,-1.1524666666666663,75
dylan-sinn,florida-gators,0.0677636032125196,-0.2554483581330881,-0.2280612089435618,0.5686274509803921,-1.7745490196078428,51
matt-brown,florida-gators,0.0861646095252652,-0.1797648403109007,-0.1583461467319366,1.0163934426229508,-1.0565081967213117,61
eric-hansen,florida-gators,0.1193071679514832,-0.13573115169921,-0.1168852968535268,0.9078947368421052,-0.9498421052631576,76
tom-dangelo,florida-gators,0.1372088464432962,-0.1461061799072894,-0.1189248656712771,1.509090909090909,-0.7142727272727275,55
sam-mckewon,florida-gators,0.1491892056591331,-0.0822787031192658,-0.063397093089765,1.1097560975609757,-0.666439024390244,82
lauren-brownlow,florida-gators,0.1780646221742624,-0.0836795230490256,-0.0607188906428257,1.396551724137931,-0.6308965517241379,58
