voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
ross-dellenger,florida-state-seminoles,-0.1853048111570456,-0.9804430046698396,-0.8844206192831514,-1.0185185185185186,-2.9746666666666663,54
robert-cessna,florida-state-seminoles,-0.1685275492954193,-0.8786640433418774,-0.8218924684351558,-0.5526315789473685,-2.562013157894737,76
marc-weiszer,florida-state-seminoles,-0.1607117299922682,-0.4444102661060238,-0.4411889147793807,-1.4444444444444444,-2.9766190476190477,63
brian-howell,florida-state-seminoles,-0.1486976693647783,-0.4461425498551852,-0.4413699712221752,-0.9365079365079364,-2.5485396825396824,63
matt-mccoy,florida-state-seminoles,-0.1313120486422081,-1.011213476209856,-0.9277706920297024,-0.1132075471698113,-2.2512830188679245,53
scott-wolf,florida-state-seminoles,-0.1208716727283978,-0.7747186261783193,-0.7226700903601488,-1.7222222222222223,-3.6783703703703705,54
john-clay,florida-state-seminoles,-0.1025475321429318,-0.4361228507426963,-0.4286428413211384,-0.5344827586206896,-2.566706896551725,58
steve-batterson,florida-state-seminoles,-0.0629787563016822,-0.8945124188344462,-0.8195582057247062,0.1694915254237288,-1.9039661016949152,59
bob-asmussen,florida-state-seminoles,-0.0587143222785637,-0.8049044816122141,-0.7435868853438513,0.3783783783783784,-1.7514729729729728,74
david-briggs,florida-state-seminoles,-0.0228697336220875,-0.3334782078708643,-0.3191153746272713,0.0338983050847457,-1.9594237288135592,59
michael-lev,florida-state-seminoles,-0.015557263152026,-0.6297350368608031,-0.573856489576802,-0.4805194805194805,-2.466402597402597,77
brett-mcmurphy,florida-state-seminoles,0.0311641737006422,-0.7113737428592243,-0.6777697949135503,0.9041095890410958,-1.138945205479452,73
garland-gillen,florida-state-seminoles,0.0322862039443512,-0.568069112395618,-0.5132945431602589,0.2467532467532467,-1.7669090909090908,77
chris-murray,florida-state-seminoles,0.0334324606120427,-0.6014723896476398,-0.5435785586038752,0.7051282051282052,-1.2482051282051283,78
keith-sargeant,florida-state-seminoles,0.0409133484042941,-0.7754567692915506,-0.7108236917264898,0.7924528301886793,-1.345622641509434,53
kirk-bohls,florida-state-seminoles,0.113530320898029,-0.4717843377391774,-0.4363088357110273,0.7105263157894737,-1.3731578947368424,76
brent-axe,florida-state-seminoles,0.1221500075431964,-0.6101081191576299,-0.5283636556082377,1.18,-1.0290399999999995,50
adam-jude,florida-state-seminoles,0.1770537095674032,-0.5702170972290177,-0.4906717214409521,0.9230769230769232,-1.2313846153846155,52
rob-long,florida-state-seminoles,0.2122632873611748,-0.4866291015749334,-0.4178361650793813,0.7843137254901961,-1.4228823529411765,51
tom-murphy,florida-state-seminoles,0.2185726665892491,-0.3283854229281653,-0.3052602857652844,0.5256410256410257,-1.3812564102564104,78
gary-horowitz,florida-state-seminoles,0.2263661363462753,-0.4698196449525744,-0.4141192926570285,0.0754716981132075,-2.062603773584906,53
adam-zucker,florida-state-seminoles,0.2835019030882371,-0.373446070435621,-0.3356782246391379,0.1578947368421052,-1.8753289473684207,76
jon-wilner,florida-state-seminoles,0.3064638795264763,-0.4415837202432683,-0.417421188578793,0.0875,-1.6720374999999996,80
eric-hansen,florida-state-seminoles,0.4927044383937229,-0.2148603739932121,-0.1780135989200317,0.9444444444444444,-1.1973518518518518,54
