voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
gary-horowitz,georgia-bulldogs,-0.0957723033187429,-0.5610102985658594,-0.5167030134314012,-0.5512820512820513,-2.6351666666666667,78
aaron-mcmann,georgia-bulldogs,-0.0896193844469706,-1.212695068277827,-1.1645906137285449,-0.3103448275862069,-2.5285402298850577,87
brent-axe,georgia-bulldogs,-0.0686895956332212,-0.4964029517061354,-0.4741043091347441,-0.4915254237288136,-2.524627118644067,59
zach-klein,georgia-bulldogs,-0.0676100628930817,-1.958117924528302,-1.8867924528301887,-0.1320754716981132,-2.2633207547169816,53
steve-wiseman,georgia-bulldogs,-0.0566396725879484,-1.5487467351915578,-1.4342914987311537,-0.293103448275862,-2.533327586206896,58
chuck-carlton,georgia-bulldogs,-0.0530578898225957,-1.0184258983225736,-0.9797023384336716,-0.2156862745098039,-2.410970588235294,102
eric-hansen,georgia-bulldogs,-0.0454074809163304,-0.747894844537433,-0.7062923754913605,-0.1415929203539823,-2.348929203539823,113
sam-mckewon,georgia-bulldogs,-0.0395749158907053,-0.9208226874032917,-0.8844982638460901,-0.1891891891891892,-2.197072072072072,111
ferd-lewis,georgia-bulldogs,-0.0375504797180589,-0.4714504656012402,-0.4378994036926031,-0.3928571428571428,-2.5270892857142857,56
andy-greder,georgia-bulldogs,-0.0319887057387057,-0.9827868307586146,-0.9449259249951972,0.02,-2.1697499999999996,100
tom-murphy,georgia-bulldogs,-0.0245622315736727,-0.9685173780224192,-0.9230222649801506,-0.2649006622516556,-2.3003708609271523,151
nate-mink,georgia-bulldogs,-0.0207070707070707,-1.1572423335082425,-1.1158380340198524,-0.106060606060606,-2.307409090909091,66
dave-reardon,georgia-bulldogs,-0.0193514309028384,-1.3004635320607083,-1.2252597550648168,-0.0581395348837209,-2.2020232558139536,86
matt-murschel,georgia-bulldogs,-0.0188679245283018,-1.8710276729559752,-1.79937106918239,-0.0377358490566037,-2.168981132075472,53
marc-weiszer,georgia-bulldogs,-0.0063751255609379,-1.0145400729606835,-0.961900899100899,-0.168,-2.2916,125
trevor-hass,georgia-bulldogs,-0.0014273166447079,-1.5172222987157769,-1.4476317161099772,0.0,-2.1395797101449285,69
mike-barber,georgia-bulldogs,0.0142353707652215,-1.4903245904937688,-1.4189117438019982,0.1492537313432835,-2.0475671641791044,67
pete-martini,georgia-bulldogs,0.0179419191919191,-1.4612211190198692,-1.387488344988345,-0.0333333333333333,-2.2053833333333333,60
garland-gillen,georgia-bulldogs,0.0201889577052754,-0.8931361728130415,-0.847254938802766,-0.2885906040268456,-2.3871812080536907,149
rob-long,georgia-bulldogs,0.0208821169841842,-0.4337765481081218,-0.3958033413534739,0.032258064516129,-2.0884193548387096,93
tom-dangelo,georgia-bulldogs,0.0274919607904057,-1.2452218162877318,-1.165431065146974,0.4204545454545454,-1.7370227272727272,88
steve-virgen,georgia-bulldogs,0.0333109769729488,-0.8738488834559975,-0.8247650627932319,0.1830985915492957,-2.0312957746478877,71
chris-murray,georgia-bulldogs,0.0334146926463781,-0.9336053417246402,-0.8754528024482221,0.1780821917808219,-1.9959246575342464,146
