voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
sam-mckewon,iowa-hawkeyes,-0.1447325617058612,-0.3112977078863377,-0.3119982631373801,-2.2063492063492065,-3.3535079365079365,63
don-williams,iowa-hawkeyes,-0.1294650094912905,-0.2156331322925309,-0.2181436146283824,-2.2419354838709675,-2.6184032258064516,62
tom-dangelo,iowa-hawkeyes,-0.1030236797590272,-0.287771317106045,-0.2859691147420009,-1.3275862068965518,-2.5892413793103453,58
adam-zucker,iowa-hawkeyes,-0.0882528117066508,-0.2766280650714351,-0.2785058301218455,-0.7301587301587301,-1.9970793650793657,63
ryan-aber,iowa-hawkeyes,-0.0775668882573592,-0.1924334106817612,-0.1939559481839494,-1.2857142857142858,-2.1355,56
john-clay,iowa-hawkeyes,-0.0713459816602279,-0.2312457959167236,-0.2317578365801339,-1.3571428571428572,-2.5871,70
steve-batterson,iowa-hawkeyes,-0.0630361456206022,-0.2036423730662953,-0.2028439404785735,-1.2285714285714286,-2.200285714285714,70
bob-asmussen,iowa-hawkeyes,-0.0555546157602352,-0.1738001963602501,-0.1750866247812813,-0.660377358490566,-1.6553962264150943,53
david-briggs,iowa-hawkeyes,-0.0507553890298876,-0.1931013650601883,-0.1942262216100984,-0.6486486486486487,-1.5944054054054055,74
jon-wilner,iowa-hawkeyes,-0.0419890751275294,-0.2133100093028723,-0.2146404985197995,-0.953846153846154,-2.1959384615384616,65
rece-davis,iowa-hawkeyes,-0.0357414097790642,-0.1600376534911479,-0.1656577380974219,-0.5686274509803921,-1.532549019607843,51
matt-brown,iowa-hawkeyes,-0.0271808906025227,-0.1420692245485712,-0.1455428966163467,-0.5925925925925926,-1.5185925925925925,54
chris-murray,iowa-hawkeyes,-0.0118187529192278,-0.1737554286049808,-0.1738860356020904,0.0857142857142857,-1.120671428571428,70
garland-gillen,iowa-hawkeyes,-0.0101336718048996,-0.185272223811373,-0.1863188306554413,-0.6029411764705882,-1.942220588235294,68
robert-cessna,iowa-hawkeyes,0.0024569700360367,-0.168816255025577,-0.1673236320852695,0.0151515151515151,-1.3693030303030305,66
kirk-bohls,iowa-hawkeyes,0.0077693884165818,-0.16916235692959,-0.1685637086893856,0.1384615384615384,-1.2688769230769232,65
marc-weiszer,iowa-hawkeyes,0.023985635994616,-0.1590551445932283,-0.1583452783999418,0.180327868852459,-1.387,61
tom-murphy,iowa-hawkeyes,0.0267938043504896,-0.1390215929144642,-0.1384810923631505,0.3230769230769231,-0.9948153846153848,65
brian-howell,iowa-hawkeyes,0.0351840537996756,-0.1267716235663744,-0.1277645254924483,0.4696969696969697,-0.8273939393939395,66
brett-mcmurphy,iowa-hawkeyes,0.0452386941712136,-0.1213687305496436,-0.1212945897777707,0.4375,-0.8454375000000002,64
michael-lev,iowa-hawkeyes,0.0776870752283709,-0.1078175038850462,-0.1090472502092614,1.253968253968254,-0.1160793650793652,63
eric-hansen,iowa-hawkeyes,0.1190401290838369,-0.0852871803960675,-0.0836033347244235,1.3529411764705883,-0.3452352941176472,51
