voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
matt-brown,miami-fl-hurricanes,-0.1661278533414756,-0.4017351946559188,-0.3828161389693897,-1.3703703703703705,-3.230462962962963,54
eric-hansen,miami-fl-hurricanes,-0.1347842678539374,-0.3473314491017771,-0.3299842823078949,-1.509433962264151,-3.020396226415094,53
kirk-bohls,miami-fl-hurricanes,-0.1173204729500422,-0.347561625535122,-0.3284307936170306,-0.953125,-2.383453125,64
jon-wilner,miami-fl-hurricanes,-0.1135539549768814,-0.329097212429032,-0.3209592027927534,-1.1754385964912282,-2.72219298245614,57
adam-zucker,miami-fl-hurricanes,-0.1037721150570907,-0.3220048105120986,-0.3054369848612356,-1.1320754716981132,-2.8192452830188683,53
chris-murray,miami-fl-hurricanes,-0.058679144559868,-0.2904939575749061,-0.2722778808406965,0.0,-1.974438596491228,57
brian-howell,miami-fl-hurricanes,-0.0535954176722388,-0.2205370934935009,-0.213180788888932,-0.8787878787878788,-2.1930909090909094,66
tom-murphy,miami-fl-hurricanes,-0.0473639881910398,-0.2320810145382932,-0.2233646212801742,-0.9365079365079364,-2.456380952380952,63
robert-cessna,miami-fl-hurricanes,-0.0418417453846068,-0.2360783291838444,-0.2225106010021378,-0.5081967213114754,-2.0965081967213113,61
bob-asmussen,miami-fl-hurricanes,-0.0360585622748398,-0.2190284493520648,-0.2073531183902886,-0.2741935483870967,-1.7577419354838713,62
john-clay,miami-fl-hurricanes,-0.0283556068477108,-0.192591600924687,-0.1846702396746297,-0.5303030303030303,-1.8675606060606065,66
matt-baker,miami-fl-hurricanes,-0.0213459940148122,-0.2433714097184893,-0.2243617584339881,-0.1509433962264151,-2.049358490566038,53
rece-davis,miami-fl-hurricanes,-0.0174026840033032,-0.2634625063114862,-0.246225916537836,0.58,-1.4662400000000002,50
sam-mckewon,miami-fl-hurricanes,0.0091690286837345,-0.1951450003724167,-0.1894100596848275,-0.1,-1.4646,50
steve-batterson,miami-fl-hurricanes,0.015259967905579,-0.1882149377693274,-0.1756162374846229,0.1509433962264151,-1.545566037735849,53
michael-lev,miami-fl-hurricanes,0.0211850938269094,-0.1731286468892805,-0.1627795238313439,0.1612903225806451,-1.4056774193548385,62
garland-gillen,miami-fl-hurricanes,0.0238894279494401,-0.201913741357983,-0.1852949120930655,0.3392857142857143,-1.721857142857143,56
marc-weiszer,miami-fl-hurricanes,0.0736756420912913,-0.1356478253321825,-0.1241340189997383,0.9245283018867924,-1.110509433962264,53
david-briggs,miami-fl-hurricanes,0.0779832186290443,-0.1288489801992126,-0.1142797979760775,1.0338983050847457,-0.8983220338983051,59
