voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
rob-long,michigan-state-spartans,-0.2815363426797427,-0.6236571059808876,-0.6001200369780504,-1.181818181818182,-2.922963636363636,55
bob-asmussen,michigan-state-spartans,-0.2110150026779603,-0.514805036456093,-0.4891875808599014,-1.4516129032258065,-3.101596774193549,62
jon-wilner,michigan-state-spartans,-0.164606745961788,-0.4959191034660319,-0.4800195647327542,-0.6571428571428571,-2.583871428571429,70
john-clay,michigan-state-spartans,-0.1310681945231644,-0.4487355011207729,-0.4201671769205641,-0.173076923076923,-1.970173076923077,52
marc-weiszer,michigan-state-spartans,-0.118702029219745,-0.4287577949384678,-0.408968320813651,-0.2407407407407407,-1.9378148148148149,54
steve-batterson,michigan-state-spartans,-0.0783016996630874,-0.3542922823857516,-0.3316354445064567,-0.6081081081081081,-2.426054054054054,74
chris-murray,michigan-state-spartans,-0.0703483523209308,-0.3830237282376468,-0.3616827601485938,-0.2857142857142857,-2.3439,70
adam-zucker,michigan-state-spartans,-0.0692270944052091,-0.3368938509046507,-0.3194138652671333,-0.9428571428571428,-2.7512571428571433,70
gary-horowitz,michigan-state-spartans,-0.0584259365208,-0.3646893540369739,-0.3486351417023686,0.0892857142857142,-1.666,56
adam-jude,michigan-state-spartans,-0.0482089685172001,-0.3701786907817118,-0.3481115185495079,-0.0980392156862745,-2.066078431372549,51
robert-cessna,michigan-state-spartans,-0.0472727853172316,-0.3108410707531234,-0.2888180292830617,-0.4657534246575342,-2.241767123287671,73
keith-sargeant,michigan-state-spartans,-0.042439441801262,-0.3503001608885688,-0.3316441003352186,-0.2641509433962264,-2.113603773584906,53
brett-mcmurphy,michigan-state-spartans,-0.0353911154758612,-0.4216379472657146,-0.3899720035970609,0.5254237288135594,-1.6370847457627118,59
brian-howell,michigan-state-spartans,-0.0222929195509681,-0.2550532333165277,-0.2354588188214851,-0.1034482758620689,-1.3961551724137933,58
david-briggs,michigan-state-spartans,-0.0122931267248316,-0.2451481617709186,-0.2279236884880765,0.0169491525423728,-1.3942542372881357,59
matt-mccoy,michigan-state-spartans,0.0004398811144335,-0.2413353237896851,-0.2275091705642587,-0.2833333333333333,-1.8347,60
sam-mckewon,michigan-state-spartans,0.0409641691880501,-0.2423221905869524,-0.2261518487645187,-0.1525423728813559,-1.2548474576271187,59
garland-gillen,michigan-state-spartans,0.0487822440879218,-0.2198792986103467,-0.1976778389652897,0.5211267605633803,-1.4461690140845074,71
michael-lev,michigan-state-spartans,0.0880758661849003,-0.2085840375115226,-0.1875530716555854,0.6716417910447762,-1.4200149253731342,67
kirk-bohls,michigan-state-spartans,0.0927376908069079,-0.1665573509552144,-0.1483402318324481,0.7285714285714285,-0.8903285714285716,70
eric-hansen,michigan-state-spartans,0.1090183358952708,-0.1770984745195534,-0.1595683380431176,0.9852941176470588,-0.9583382352941174,68
tom-murphy,michigan-state-spartans,0.1200919658232217,-0.1498893572652471,-0.1312855042874811,0.8260869565217391,-1.153478260869565,69
