voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
keith-sargeant,notre-dame-fighting-irish,-0.1905114211146114,-0.6075773171029274,-0.586899037596944,-0.7457627118644068,-2.9263728813559324,59
rob-long,notre-dame-fighting-irish,-0.14817293839706,-0.6004922290165169,-0.5722224118037998,-0.8421052631578947,-2.983821052631578,95
eric-hansen,notre-dame-fighting-irish,-0.0822818476702337,-0.4612820934462326,-0.4359075285922947,-0.7264957264957265,-2.872350427350428,117
jon-wilner,notre-dame-fighting-irish,-0.0806367385942549,-0.4826652737753771,-0.4583320543115864,-0.1259259259259259,-2.4724222222222227,135
brian-howell,notre-dame-fighting-irish,-0.0760771630487339,-0.4512250781436676,-0.4315973475612794,-0.536,-2.7919600000000004,125
kellis-robinett,notre-dame-fighting-irish,-0.0738662099549196,-0.4636013728197264,-0.4407843625298434,-0.1290322580645161,-2.442451612903226,62
ryan-aber,notre-dame-fighting-irish,-0.0676448219165848,-0.4798146491614048,-0.4575303120832168,-0.0294117647058823,-2.3470490196078435,102
sam-mckewon,notre-dame-fighting-irish,-0.0574077795225061,-0.4599406967091127,-0.439773119877642,-0.3271028037383177,-2.5065327102803745,107
brent-axe,notre-dame-fighting-irish,-0.0528622812761468,-0.4270074883790565,-0.4070846607873918,-0.1607142857142857,-2.4445714285714284,56
conor-oneill,notre-dame-fighting-irish,-0.0513745421245421,-0.5600020580259856,-0.5395394882894883,-0.3,-2.7031800000000006,50
tom-dangelo,notre-dame-fighting-irish,-0.0325348207583745,-0.3887097154972785,-0.3621972082659284,-0.4044943820224719,-2.775067415730337,89
gary-horowitz,notre-dame-fighting-irish,-0.0079530832415447,-0.3241507394793538,-0.3079163849808646,-0.0384615384615384,-2.22873076923077,78
trevor-hass,notre-dame-fighting-irish,-0.0035458627895602,-0.368512725624075,-0.3370516763733261,-0.1111111111111111,-2.253920634920635,63
ron-counts,notre-dame-fighting-irish,0.0089672015777512,-0.4145652804943028,-0.3782431997956415,0.1698113207547169,-2.252245283018868,53
dylan-sinn,notre-dame-fighting-irish,0.0121926595711762,-0.4758305852798849,-0.4539672811546549,0.3043478260869565,-2.1385362318840584,69
matt-mccoy,notre-dame-fighting-irish,0.012235830689778,-0.3092538923923136,-0.2914380749103625,0.1052631578947368,-2.176618421052632,76
lauren-brownlow,notre-dame-fighting-irish,0.0126095770326539,-0.412094980632764,-0.3897300788703504,0.2179487179487179,-2.1578974358974365,78
john-bednarowski,notre-dame-fighting-irish,0.0129275169275169,-0.4740692657988152,-0.4579842934842933,-0.4,-2.80318,50
david-briggs,notre-dame-fighting-irish,0.0210936331688579,-0.3377859604770499,-0.3174500658440286,0.4047619047619047,-1.8656507936507944,126
aaron-mcmann,notre-dame-fighting-irish,0.021880807215584,-0.395244319885941,-0.3709293558026755,0.1012658227848101,-2.3386835443037977,79
steve-virgen,notre-dame-fighting-irish,0.0233197151107598,-0.43945261455205,-0.4141880446643396,0.2835820895522388,-2.1608507462686566,67
robert-cessna,notre-dame-fighting-irish,0.0233896784558737,-0.3265469514962151,-0.3031602412637856,0.125,-2.189720588235294,136
chuck-carlton,notre-dame-fighting-irish,0.0329962503479015,-0.3527031769458593,-0.3281990596644879,0.2777777777777778,-2.0009555555555556,90
rece-davis,notre-dame-fighting-irish,0.0373146034598992,-0.3282386197654689,-0.3066235741287342,0.25,-1.9355277777777784,108
adam-jude,notre-dame-fighting-irish,0.0433092878913312,-0.3055396996231066,-0.2850802219223272,0.3684210526315789,-1.935473684210526,57
steve-batterson,notre-dame-fighting-irish,0.0446803078213334,-0.3203817066626204,-0.2977729364329349,0.1623931623931624,-2.1713760683760683,117
brett-mcmurphy,notre-dame-fighting-irish,0.0500372170313346,-0.3266037239848281,-0.3033493724026232,0.592,-1.7746799999999998,125
bryce-miller,notre-dame-fighting-irish,0.0510144811615399,-0.3847652231294898,-0.3544970600333922,0.1764705882352941,-2.3432156862745095,51
