voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
andy-greder,oklahoma-state-cowboys,-0.1277821945147239,-0.2983743596229964,-0.2914918439462974,-1.551282051282051,-2.8714871794871795,78
kellis-robinett,oklahoma-state-cowboys,-0.1153476485719452,-0.3142903847444343,-0.305371995535611,-0.98,-2.5275,50
ryan-aber,oklahoma-state-cowboys,-0.1036419190026962,-0.2999701631496771,-0.289974316925887,-0.9285714285714286,-2.642257142857143,70
chuck-carlton,oklahoma-state-cowboys,-0.0926207247948902,-0.2885699920333245,-0.279736140791122,-0.8472222222222222,-2.57275,72
jerry-dipaola,oklahoma-state-cowboys,-0.0890992360497738,-0.2149242168341483,-0.2128568183761589,-1.4181818181818182,-2.4767454545454552,55
jon-wilner,oklahoma-state-cowboys,-0.0840907480873324,-0.2559159607132075,-0.2569565647051681,-0.87,-2.3133199999999996,100
brett-mcmurphy,oklahoma-state-cowboys,-0.0822127718817193,-0.2528265253635428,-0.249535970650833,-0.6976744186046512,-2.0204767441860465,86
steve-batterson,oklahoma-state-cowboys,-0.0818441568578159,-0.2481148822029445,-0.2417721456486436,-1.0736842105263158,-2.4348105263157898,95
tom-dangelo,oklahoma-state-cowboys,-0.054558192633585,-0.2563416219973141,-0.2471860240133605,-0.4754098360655737,-2.2994754098360657,61
michael-lev,oklahoma-state-cowboys,-0.0505831938246149,-0.2725201751698655,-0.2688352442089076,0.3793103448275862,-1.6329425287356325,87
brian-howell,oklahoma-state-cowboys,-0.0418703004408139,-0.246771172329226,-0.2391704349873126,-0.2298850574712643,-2.0726206896551727,87
marc-weiszer,oklahoma-state-cowboys,-0.0335594352128337,-0.2056622312588091,-0.1999163396091194,-0.25,-1.8640543478260871,92
robert-cessna,oklahoma-state-cowboys,-0.0313084047333075,-0.1942017981510642,-0.1919550011618017,-0.4607843137254901,-1.835892156862745,102
rob-long,oklahoma-state-cowboys,-0.0304234750893994,-0.1833840105680168,-0.1817993625175745,-0.2463768115942029,-1.4137246376811594,69
blair-kerkhoff,oklahoma-state-cowboys,-0.0266873444104394,-0.1804795130871345,-0.1743803275576133,-0.4576271186440678,-1.849508474576271,59
adam-zucker,oklahoma-state-cowboys,-0.0219698545444159,-0.2167285811794482,-0.209950526312426,-0.2666666666666666,-2.213966666666667,90
josh-furlong,oklahoma-state-cowboys,-0.0216445564183651,-0.1795985695168765,-0.1697923661324691,-0.3333333333333333,-1.7137999999999998,60
kirk-bohls,oklahoma-state-cowboys,-0.006724950012394,-0.2067160993323721,-0.1996180689495633,-0.0833333333333333,-1.9177916666666668,96
aaron-mcmann,oklahoma-state-cowboys,0.0051189583718356,-0.1700173468125552,-0.1649373816507619,-0.25,-1.8154807692307693,52
matt-mccoy,oklahoma-state-cowboys,0.0132907568561021,-0.1381741812733368,-0.1366703827705497,0.2,-1.3284399999999998,50
john-clay,oklahoma-state-cowboys,0.0164185401310219,-0.1708310677644359,-0.1627163672173197,0.3260869565217391,-1.4455978260869569,92
chris-murray,oklahoma-state-cowboys,0.0166047196539464,-0.1669398037622792,-0.1619128465229906,0.0824742268041237,-1.76359793814433,97
rece-davis,oklahoma-state-cowboys,0.0173264412065579,-0.1781354531241537,-0.169399448419903,-0.0140845070422535,-1.9503943661971836,71
dave-reardon,oklahoma-state-cowboys,0.0199100159663207,-0.2015550347104962,-0.1892987411849304,0.423728813559322,-1.6824406779661016,59
sam-mckewon,oklahoma-state-cowboys,0.0224847105598696,-0.1687048020782985,-0.1630529637508904,0.0238095238095238,-1.7189642857142855,84
bob-asmussen,oklahoma-state-cowboys,0.0370050858798923,-0.1561722208226476,-0.1471996861794129,0.5375,-1.4867625,80
matt-baker,oklahoma-state-cowboys,0.0400504961705698,-0.1533518019232722,-0.1450062824983766,0.2191780821917808,-1.5505342465753424,73
lauren-brownlow,oklahoma-state-cowboys,0.0438819909552718,-0.1476456281134511,-0.1461292279334651,0.0961538461538461,-1.5314615384615382,52
tom-murphy,oklahoma-state-cowboys,0.044101551122945,-0.1451577488129299,-0.1388347274416579,0.4516129032258064,-1.441967741935484,93
david-briggs,oklahoma-state-cowboys,0.0480509463780003,-0.1308840137867237,-0.1241296420594831,0.3789473684210526,-1.3317894736842109,95
matt-brown,oklahoma-state-cowboys,0.0575803294557501,-0.1276969056155344,-0.1197023330680283,0.4594594594594595,-1.3209054054054057,74
adam-jude,oklahoma-state-cowboys,0.0603907588957433,-0.0651463732088134,-0.0688700755427074,0.6274509803921569,-0.3430588235294118,51
garland-gillen,oklahoma-state-cowboys,0.0615005342481253,-0.1385334759772329,-0.1309023924753864,0.7752808988764045,-1.2953370786516851,89
don-williams,oklahoma-state-cowboys,0.1063983695886313,-0.0847464766596338,-0.0739532756954653,0.0909090909090909,-1.3054545454545456,55
eric-hansen,oklahoma-state-cowboys,0.1745311477093597,-0.0288915636772803,-0.0277211952342209,1.8472222222222223,-0.0580138888888888,72
