voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
eric-hansen,ole-miss-rebels,-0.3358443132286144,-0.6912460445417768,-0.6893677619517004,-1.3448275862068966,-3.27951724137931,58
dave-reardon,ole-miss-rebels,-0.1187298721015826,-0.3572537805731883,-0.3576413015979303,-0.5178571428571429,-2.339571428571429,56
michael-lev,ole-miss-rebels,-0.0910439676274522,-0.3478485218814574,-0.3400626474182575,-0.2413793103448276,-2.106712643678162,87
garland-gillen,ole-miss-rebels,-0.0724744668440622,-0.3022541945131734,-0.2932716004977668,-0.4137931034482758,-2.2791264367816093,87
zach-klein,ole-miss-rebels,-0.0686862275114395,-0.2632688801882542,-0.2560119140965822,-0.64,-2.4048000000000003,50
tom-murphy,ole-miss-rebels,-0.0514239850141857,-0.2546073768429465,-0.2469635747736134,-0.8089887640449438,-2.5722696629213484,89
john-clay,ole-miss-rebels,-0.0462571676309473,-0.2320675024176205,-0.2287106935895884,-0.2957746478873239,-1.9149154929577463,71
rece-davis,ole-miss-rebels,-0.0423350954600954,-0.2154015107137868,-0.212144163968259,-0.8653846153846154,-2.504615384615385,52
josh-furlong,ole-miss-rebels,-0.0263651964613063,-0.2142605457023848,-0.2091775904395031,-0.1,-1.8648,50
robert-cessna,ole-miss-rebels,-0.0180249996481586,-0.213972583417507,-0.2103219770244036,-0.3103448275862069,-2.107873563218391,87
adam-zucker,ole-miss-rebels,-0.0002763321598893,-0.2233306378068994,-0.2128669257264602,0.0476190476190476,-1.8904285714285711,84
blair-kerkhoff,ole-miss-rebels,0.000725222455563,-0.1762537443585492,-0.1721042876971669,0.02,-1.7448,50
bob-asmussen,ole-miss-rebels,0.00448315002778,-0.2134605190072433,-0.2062752022175124,0.2957746478873239,-1.5523802816901409,71
marc-weiszer,ole-miss-rebels,0.0093753985259692,-0.144366415831448,-0.1436981899429534,0.2238805970149253,-1.3535074626865673,67
johnny-mcgonigal,ole-miss-rebels,0.0117636077372919,-0.1753207472145005,-0.1693145865142769,0.3,-1.4648,50
chris-murray,ole-miss-rebels,0.0137894705895453,-0.1959470160838133,-0.185675772021722,0.0909090909090909,-1.7373977272727277,88
jon-wilner,ole-miss-rebels,0.0199176281127713,-0.2687321248402002,-0.2596647716318768,0.65,-1.35425,80
david-briggs,ole-miss-rebels,0.0244637737063469,-0.1605677083716263,-0.1599790646757991,0.3076923076923077,-1.4317538461538462,65
brett-mcmurphy,ole-miss-rebels,0.0280402697270029,-0.194854164973296,-0.1851957975051656,0.382716049382716,-1.6453333333333335,81
brian-howell,ole-miss-rebels,0.0395892268249356,-0.1496543018240394,-0.1450138086869734,0.7794117647058824,-0.9015588235294116,68
kirk-bohls,ole-miss-rebels,0.0651265944667647,-0.1998549606240912,-0.1914459456736933,1.425,-0.5103375,80
steve-batterson,ole-miss-rebels,0.0893187011442208,-0.1242823592317924,-0.116538147518171,0.7142857142857143,-1.2525873015873017,63
tom-dangelo,ole-miss-rebels,0.0963863301884365,-0.0764538759323003,-0.075363163913584,1.4821428571428572,-0.3395714285714287,56
