voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
pete-martini,oregon-ducks,-0.1806237164583211,-0.4207547059806003,-0.3964450344106459,-1.1666666666666667,-2.8343703703703707,54
rob-long,oregon-ducks,-0.1688796900286059,-0.6481328212252306,-0.6060820271013668,-0.2033898305084746,-1.7581016949152544,59
lauren-brownlow,oregon-ducks,-0.1644064390774917,-0.3777497382859809,-0.3587254912738004,-1.2407407407407407,-2.6917222222222223,54
brett-mcmurphy,oregon-ducks,-0.1531283400047702,-0.5697125898660552,-0.5381604300067471,-0.4629629629629629,-2.3535740740740745,108
neill-ostrout,oregon-ducks,-0.142720071492349,-0.3746595511412993,-0.3504118613004061,-0.5,-2.0962799999999997,50
bob-asmussen,oregon-ducks,-0.139813102292727,-0.4252093815999888,-0.4133354480797899,-0.8773584905660378,-2.3852075471698115,106
colten-bartholomew,oregon-ducks,-0.1322140001352364,-0.3900977897642645,-0.3660350920819515,-1.0,-2.707728813559322,59
andy-greder,oregon-ducks,-0.1227387487665348,-0.3166750607639161,-0.3025090946050709,-1.3380281690140845,-2.785492957746478,71
steve-batterson,oregon-ducks,-0.1143365532523066,-0.4139799222678043,-0.3963031190626815,-1.0736842105263158,-2.7820736842105265,95
nathan-baird,oregon-ducks,-0.0962985357722199,-0.3349446261537138,-0.3161739819634556,-0.8771929824561403,-2.7069824561403504,57
blair-kerkhoff,oregon-ducks,-0.0788402750705982,-0.3500064016654728,-0.3261071962190437,-0.5492957746478874,-2.4564225352112685,71
aaron-mcmann,oregon-ducks,-0.0721573617468225,-0.2961644699985841,-0.2811658559219496,-0.6111111111111112,-2.287333333333333,72
matt-brown,oregon-ducks,-0.0718282128871432,-0.2984416994125118,-0.2872666557237196,-0.6739130434782609,-2.2996630434782612,92
sam-mckewon,oregon-ducks,-0.0689968256329812,-0.2951232138537746,-0.2812683640558354,-0.4729729729729729,-2.0415135135135136,74
matt-baker,oregon-ducks,-0.0594746499559843,-0.294313707570616,-0.2797576340058224,-0.3444444444444444,-2.075766666666667,90
steve-virgen,oregon-ducks,-0.058707877017422,-0.2482028528878465,-0.2332573312790555,-0.5932203389830508,-1.9503220338983052,59
kirk-bohls,oregon-ducks,-0.0568862557118042,-0.4748749815205857,-0.4433300416003338,0.1351351351351351,-1.7053873873873877,111
tom-dangelo,oregon-ducks,-0.0560171829667978,-0.2987760566460927,-0.2815963169621706,-0.3902439024390244,-2.2858780487804875,82
don-williams,oregon-ducks,-0.0551009506366649,-0.2823564763086814,-0.2673407697843787,-0.6071428571428571,-2.313047619047619,84
gary-horowitz,oregon-ducks,-0.0492287332394284,-0.3865001449607126,-0.3708975623463379,-0.4545454545454545,-2.0293272727272726,55
adam-zucker,oregon-ducks,-0.0454368550866196,-0.4150012410460449,-0.3854037467371742,-0.0288461538461538,-1.9318173076923075,104
jon-wilner,oregon-ducks,-0.0435197306327337,-0.3827062741416458,-0.3681543025196276,-0.8468468468468469,-2.645765765765766,111
rece-davis,oregon-ducks,-0.0399111350874951,-0.2894258089378342,-0.2724553714975541,-0.25,-2.099809523809524,84
chuck-carlton,oregon-ducks,-0.0308172541688653,-0.2224669621157153,-0.2077310766107165,-0.1267605633802817,-1.603830985915493,71
josh-furlong,oregon-ducks,-0.0207478858701684,-0.278606179095771,-0.2611657179625929,-0.1375,-2.0042125,80
nate-mink,oregon-ducks,-0.0194248733722417,-0.2560968880203529,-0.2356479899243057,-0.4736842105263157,-2.346333333333333,57
brian-howell,oregon-ducks,-0.0133520887364145,-0.2313407963991254,-0.2228403987114309,-0.1979166666666666,-1.7942083333333334,96
john-clay,oregon-ducks,-0.0127148594850506,-0.2232440410881567,-0.2118495755486854,-0.23,-1.8249800000000005,100
david-briggs,oregon-ducks,-0.0115870014805941,-0.24218684771426,-0.2289329718902392,0.0421052631578947,-1.6515578947368423,95
robert-cessna,oregon-ducks,-0.0095635080049542,-0.2997964203158858,-0.2805606116983483,0.0508474576271186,-1.5954745762711868,118
matt-murschel,oregon-ducks,-0.0072425204910848,-0.2826984096779711,-0.2635051146958206,-0.2641509433962264,-2.212169811320755,53
johnny-mcgonigal,oregon-ducks,-0.0051948051948051,-0.3076564214395962,-0.282782876165229,0.0392156862745098,-2.125156862745098,51
tom-murphy,oregon-ducks,0.0011894980273815,-0.3052041832451482,-0.2807574405220761,0.1727272727272727,-1.7090454545454543,110
zach-klein,oregon-ducks,0.0026063873233684,-0.2871574390768313,-0.264138835985335,-0.0377358490566037,-1.985754716981132,53
ryan-aber,oregon-ducks,0.0037948011253528,-0.2438602266066227,-0.2293019793733913,0.1688311688311688,-1.6958181818181823,77
trevor-hass,oregon-ducks,0.0042286904129009,-0.2429547487826033,-0.2209221311038353,-0.2063492063492063,-1.948888888888889,63
chris-murray,oregon-ducks,0.0088332730296626,-0.2824734348352319,-0.2642477167316697,0.1034482758620689,-1.6702241379310343,116
marc-weiszer,oregon-ducks,0.009260633104473,-0.2044527121502368,-0.1919656668075051,0.2795698924731182,-1.4080967741935486,93
dylan-sinn,oregon-ducks,0.0319035128967068,-0.2037684887655932,-0.189232444449992,0.3214285714285714,-1.3877321428571427,56
