voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
nathan-baird,penn-state-nittany-lions,-0.338216247824698,-0.5583526510133392,-0.5589996652712915,-2.3529411764705883,-3.726980392156863,51
dylan-sinn,penn-state-nittany-lions,-0.1999215288422665,-0.4283329870306227,-0.4155006087386577,-1.576271186440678,-3.1478644067796613,59
rob-long,penn-state-nittany-lions,-0.1348573185233802,-0.446586676183805,-0.4187892053203785,-1.0689655172413792,-3.043827586206896,58
gary-horowitz,penn-state-nittany-lions,-0.1177865750234171,-0.423086796614068,-0.3949622788632076,-1.1228070175438596,-3.1570526315789476,57
pat-dooley,penn-state-nittany-lions,-0.111875516046639,-0.4184138901395561,-0.3838561706455036,-0.7454545454545455,-2.7948181818181825,55
tom-dangelo,penn-state-nittany-lions,-0.0964517273364617,-0.3407260827696873,-0.3339887002997267,-0.9846153846153848,-2.7562769230769235,65
colten-bartholomew,penn-state-nittany-lions,-0.0782156147945621,-0.315898201196135,-0.3101774408541994,-0.66,-2.14882,50
kirk-bohls,penn-state-nittany-lions,-0.0702368703646966,-0.3960806165327798,-0.3784329251733557,0.0707070707070707,-2.018060606060606,99
don-williams,penn-state-nittany-lions,-0.0660007104710568,-0.2809431047316222,-0.2737787856090931,-0.4534883720930232,-2.020918604651163,86
mike-barber,penn-state-nittany-lions,-0.0575501268304161,-0.2805987857083694,-0.2753112359363017,-0.6615384615384615,-2.448123076923077,65
soren-petro,penn-state-nittany-lions,-0.0574445385274262,-0.3539141884078691,-0.3179486034495885,-0.4181818181818181,-2.4675454545454545,55
john-clay,penn-state-nittany-lions,-0.0544087650786215,-0.3278514712941729,-0.3099218280234323,-0.4363636363636363,-2.2824181818181817,110
sam-mckewon,penn-state-nittany-lions,-0.0494331722569338,-0.3329816023454052,-0.3138382277681123,-0.1685393258426966,-1.9903483146067416,89
steve-virgen,penn-state-nittany-lions,-0.0489488992068971,-0.2723225336169814,-0.2571943244393364,-0.5,-2.3667037037037035,54
tom-murphy,penn-state-nittany-lions,-0.0459775091375147,-0.3209001884473359,-0.3051521628740206,-0.3272727272727272,-2.227454545454545,110
adam-zucker,penn-state-nittany-lions,-0.0393349777021003,-0.3365429600184864,-0.3214325760547975,-0.3033707865168539,-2.2495617977528086,89
matt-brown,penn-state-nittany-lions,-0.0379472449803445,-0.3024112861623726,-0.2846838415063693,-0.4019607843137255,-2.2802745098039217,102
steve-wiseman,penn-state-nittany-lions,-0.0352477152477152,-0.2790720829586982,-0.2810945073445073,-0.2333333333333333,-2.2573333333333334,60
david-briggs,penn-state-nittany-lions,-0.0313223522810491,-0.3033850804090856,-0.2866962612550848,-0.0818181818181818,-2.000190909090909,110
matt-mccoy,penn-state-nittany-lions,-0.0255674552585307,-0.317798533210289,-0.2910130217792757,-0.3157894736842105,-2.350035087719298,57
ryan-aber,penn-state-nittany-lions,-0.0241251924833049,-0.309252309328376,-0.2902796185431506,-0.4285714285714285,-2.4454505494505496,91
josh-furlong,penn-state-nittany-lions,-0.0170528248736804,-0.2676180998719515,-0.2613951861740539,-0.1363636363636363,-2.1409999999999996,66
garland-gillen,penn-state-nittany-lions,-0.014414973114587,-0.2823671073055778,-0.2647200593914638,-0.0454545454545454,-1.900063636363636,110
brett-mcmurphy,penn-state-nittany-lions,-0.0104446733215166,-0.2456624799234142,-0.2432194688153105,0.1264367816091954,-1.7632758620689652,87
lauren-brownlow,penn-state-nittany-lions,-0.0081472737920701,-0.3073574394210612,-0.2797358749847437,-0.4461538461538462,-2.446307692307692,65
steve-batterson,penn-state-nittany-lions,-0.0064660307399637,-0.261997506355594,-0.2400926509376045,-0.010752688172043,-1.6178064516129032,93
bob-asmussen,penn-state-nittany-lions,-0.0062159442531591,-0.2748665770134858,-0.2584757502647026,-0.1224489795918367,-2.1229081632653064,98
robert-cessna,penn-state-nittany-lions,-0.0041294687798254,-0.2800137252288325,-0.2619896320277657,0.0909090909090909,-1.800690909090909,110
jerry-dipaola,penn-state-nittany-lions,0.0041677755037886,-0.2813507304067202,-0.2552615192352284,-0.0161290322580645,-2.0220161290322576,62
blair-kerkhoff,penn-state-nittany-lions,0.0070751652718865,-0.232001928943148,-0.2291664639251301,0.0491803278688524,-1.7483606557377047,61
andy-greder,penn-state-nittany-lions,0.0325021177652756,-0.2532225837802753,-0.2317219158297741,0.2941176470588235,-1.739411764705882,85
michael-lev,penn-state-nittany-lions,0.0331961729004488,-0.2539488170089403,-0.2340285401781401,0.660377358490566,-1.3817735849056605,106
