voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
eric-hansen,stanford-cardinal,-0.1670641805840519,-0.3377632239628612,-0.3284440816769468,-1.8333333333333333,-3.0366166666666667,60
kirk-bohls,stanford-cardinal,-0.0590930224195576,-0.2472646902174625,-0.2385009691734738,-0.6226415094339622,-2.1655471698113207,53
chris-murray,stanford-cardinal,-0.0529208510787458,-0.2556510794938789,-0.2442162658761796,-0.4,-2.13612,50
adam-jude,stanford-cardinal,-0.0271801041167065,-0.2236940680833491,-0.2127359062142642,-0.25,-1.984269230769231,52
michael-lev,stanford-cardinal,-0.0148803636478527,-0.2059932571432128,-0.1978369749526899,-0.196078431372549,-1.9869803921568627,51
rob-long,stanford-cardinal,0.0059970993062752,-0.1892594161697087,-0.1782627977113763,0.0,-1.7163396226415093,53
jon-wilner,stanford-cardinal,0.0299670056105768,-0.1532079953004468,-0.1444969424514879,0.0,-1.5668909090909091,55
sam-mckewon,stanford-cardinal,0.0367673174760859,-0.1439795806503907,-0.1364160453377717,-0.392156862745098,-1.516921568627451,51
bob-asmussen,stanford-cardinal,0.0376196898806623,-0.148978015809499,-0.1394142375586319,0.1764705882352941,-1.669470588235294,51
matt-mccoy,stanford-cardinal,0.0599837531749296,-0.1340988444778615,-0.1230942246047576,0.6,-1.2970599999999997,50
gary-horowitz,stanford-cardinal,0.0687201701532559,-0.1045449119287591,-0.0972857933458671,0.4807692307692308,-1.2237692307692307,52
tom-murphy,stanford-cardinal,0.1224187269252486,-0.0650671868734827,-0.0548575868575868,1.32,-0.3719800000000001,50
