voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
kirk-bohls,tcu-horned-frogs,-0.3068540959979398,-0.7818452675994101,-0.7262498341109968,-0.7384615384615385,-2.4091692307692307,65
michael-lev,tcu-horned-frogs,-0.1976910173016251,-0.5714373380711347,-0.5338368182120081,-0.7205882352941176,-1.9136176470588235,68
robert-cessna,tcu-horned-frogs,-0.1228249209548173,-0.5212457458940902,-0.4738191040554419,-0.4153846153846154,-2.0373384615384613,65
marc-weiszer,tcu-horned-frogs,-0.0973248982851058,-0.4882540250435403,-0.441161231692885,-0.4509803921568627,-2.3062156862745096,51
tom-murphy,tcu-horned-frogs,-0.0737100929939583,-0.4609482707811107,-0.4264793030014173,-0.7377049180327869,-2.6895081967213117,61
steve-batterson,tcu-horned-frogs,-0.0363069963805257,-0.4707986598190937,-0.4234795528545528,0.1666666666666666,-1.821433333333334,60
chris-murray,tcu-horned-frogs,-0.0333581588087829,-0.369435802159662,-0.3414741755695667,-0.4029850746268656,-1.76534328358209,67
jon-wilner,tcu-horned-frogs,0.0056654685511659,-0.4505929217267342,-0.4211036294238431,-0.5076923076923077,-2.024430769230769,65
adam-zucker,tcu-horned-frogs,0.0528411630127316,-0.3542804613352837,-0.3158508356344164,0.3888888888888889,-1.599740740740741,54
john-clay,tcu-horned-frogs,0.0564781194327972,-0.2503398333170506,-0.2155936079334107,0.0689655172413793,-0.9011724137931034,58
brent-axe,tcu-horned-frogs,0.0642189846716222,-0.2773282199097639,-0.2465469971107112,0.2884615384615384,-1.3395576923076922,52
brian-howell,tcu-horned-frogs,0.0932842120883186,-0.2610663161332088,-0.2214389640136199,0.5849056603773585,-1.094188679245283,53
garland-gillen,tcu-horned-frogs,0.0982398631801205,-0.2541073094806402,-0.2258937676906426,-0.0625,-1.68515625,64
david-briggs,tcu-horned-frogs,0.1135410223121246,-0.2402715018540626,-0.2033249930673613,0.320754716981132,-1.349377358490566,53
sam-mckewon,tcu-horned-frogs,0.1155037711081189,-0.253992453195317,-0.2150651733887028,0.24,-1.54272,50
bob-asmussen,tcu-horned-frogs,0.1429263231143655,-0.2359385132272336,-0.1990293393481,1.5081967213114753,-0.3709836065573771,61
