voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
chris-murray,tennessee-volunteers,-0.2258812596040238,-0.5115203103626523,-0.5119044419742601,-0.8113207547169812,-2.148566037735849,53
jon-wilner,tennessee-volunteers,-0.2069130576077106,-0.461935717538366,-0.4609530933817774,-1.2307692307692308,-2.354807692307692,52
michael-lev,tennessee-volunteers,-0.1624629946850673,-0.3717457789396803,-0.3671060470047481,-1.3333333333333333,-2.572351851851852,54
brian-howell,tennessee-volunteers,-0.0888775721403099,-0.2504731022112786,-0.2492985881386339,-1.1724137931034482,-2.1841034482758626,58
john-clay,tennessee-volunteers,-0.0571367208389793,-0.2343581048373457,-0.2344803866837008,-0.912280701754386,-1.957017543859649,57
adam-zucker,tennessee-volunteers,-0.0535974796617211,-0.2530946911916332,-0.2475150527073214,-0.6666666666666666,-2.041703703703704,54
david-briggs,tennessee-volunteers,-0.0507144733491482,-0.3218022653747726,-0.3240242321857592,0.48,-1.04108,50
robert-cessna,tennessee-volunteers,-0.0167342805699642,-0.2114514705355956,-0.2081913955584705,-0.5882352941176471,-1.9884509803921568,51
tom-murphy,tennessee-volunteers,0.0570348553060788,-0.1107351601289064,-0.1083390216279397,0.1607142857142857,-1.0485714285714285,56
bob-asmussen,tennessee-volunteers,0.077312293915235,-0.1266243112073193,-0.1200414046737576,0.5,-1.1391199999999997,50
