voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
jon-wilner,texas-am-aggies,-0.4524251587340729,-0.7106329946232545,-0.7096635831135722,-2.4302325581395348,-3.223325581395348,86
brett-mcmurphy,texas-am-aggies,-0.1757401370907899,-0.4214380678112819,-0.4117709232059078,-1.0666666666666669,-2.5986,75
kirk-bohls,texas-am-aggies,-0.1564748000987496,-0.3654064289422861,-0.3614378421717661,-1.3452380952380951,-2.374392857142857,84
tom-dangelo,texas-am-aggies,-0.1254023274111509,-0.367408782464753,-0.3473023756298591,-1.14,-2.57,50
robert-cessna,texas-am-aggies,-0.1165526391773915,-0.3204319782673487,-0.3103061395994273,-0.988095238095238,-2.1488452380952383,84
chuck-carlton,texas-am-aggies,-0.1009350694964505,-0.2708985682982221,-0.2554232612752072,-1.2567567567567568,-2.084878378378378,74
chris-murray,texas-am-aggies,-0.0989436847277648,-0.3531452440443635,-0.3453151108933103,-0.1095890410958904,-1.756876712328767,73
garland-gillen,texas-am-aggies,-0.0844397287546749,-0.2779014627359161,-0.2691108295544518,-0.8823529411764706,-1.9969764705882356,85
jerry-dipaola,texas-am-aggies,-0.0716251074546268,-0.2437935972426471,-0.2297450785953216,-1.1372549019607845,-2.0503333333333336,51
adam-zucker,texas-am-aggies,-0.0635839436106083,-0.2600574539461953,-0.2535386997098657,-0.868421052631579,-2.128447368421053,76
josh-furlong,texas-am-aggies,-0.0566803325835892,-0.2414923251145593,-0.2267335155788989,-0.9411764705882352,-1.9037254901960785,51
michael-lev,texas-am-aggies,-0.0411100591654153,-0.2379007461378603,-0.2277167248898402,-0.5802469135802469,-1.825666666666667,81
aaron-mcmann,texas-am-aggies,-0.0317326763192527,-0.2333616813497086,-0.2161241586229511,-0.392156862745098,-1.637294117647059,51
tom-murphy,texas-am-aggies,-0.0305958801372719,-0.2075114236478066,-0.2000214442306424,-0.7176470588235294,-1.6619529411764704,85
don-williams,texas-am-aggies,-0.0267966452039179,-0.181803630293846,-0.1692025998309969,-1.1896551724137931,-1.92651724137931,58
marc-weiszer,texas-am-aggies,-0.0198563727725297,-0.2265621096999195,-0.2126898834251629,-0.3188405797101449,-1.7911884057971017,69
bob-asmussen,texas-am-aggies,-0.0132282699013485,-0.1948269655382422,-0.1933847720089707,-0.3529411764705882,-1.478235294117647,68
john-clay,texas-am-aggies,-0.007695636266736,-0.1784925155900331,-0.165429030902143,-0.2133333333333333,-1.2288800000000002,75
brian-howell,texas-am-aggies,-0.0050580817475756,-0.1898588577949186,-0.1803865446986997,-0.2972972972972973,-1.5216351351351352,74
eric-hansen,texas-am-aggies,0.0008668461236942,-0.1972643346010026,-0.1893018221657187,-0.2236842105263158,-1.5126578947368423,76
steve-virgen,texas-am-aggies,0.0072199535910817,-0.1756267277355982,-0.1596037843793568,-0.1296296296296296,-1.2505555555555556,54
matt-brown,texas-am-aggies,0.0260516314270249,-0.1778741995502162,-0.1637463892920725,0.0769230769230769,-1.3288846153846154,52
david-briggs,texas-am-aggies,0.031694879658636,-0.2020103020205654,-0.1862594304397231,0.2786885245901639,-1.553655737704918,61
andy-greder,texas-am-aggies,0.044683705749109,-0.1601364150886696,-0.1413870237822646,-0.238095238095238,-1.556095238095238,63
steve-batterson,texas-am-aggies,0.0478851025857688,-0.1643788823680454,-0.1520281905730821,0.3918918918918919,-1.1835405405405406,74
matt-baker,texas-am-aggies,0.1101524511665247,-0.0683820540288656,-0.0575418238410669,0.631578947368421,-0.4098245614035088,57
sam-mckewon,texas-am-aggies,0.1289749340466651,-0.0977059058933133,-0.083031831032198,0.9375,-0.6383593750000001,64
rob-long,texas-am-aggies,0.1515628464384425,-0.0708832539202491,-0.063870669318492,1.3392857142857142,-0.2171071428571429,56
