voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
jon-wilner,texas-longhorns,-0.2303916185480151,-0.6017384053376958,-0.5716543039404484,-1.4931506849315068,-2.915821917808219,73
steve-batterson,texas-longhorns,-0.1438291503817819,-0.2913556627029773,-0.2865666167935652,-1.0,-2.28996,50
matt-brown,texas-longhorns,-0.1038456233309174,-0.4716571617803771,-0.445867856112949,-0.4242424242424242,-2.2806060606060603,66
don-williams,texas-longhorns,-0.0960472829852961,-0.2730847721274104,-0.2679843812741249,-1.6216216216216215,-2.7037837837837837,74
tom-dangelo,texas-longhorns,-0.0836467970400571,-0.2895696758314556,-0.2838007357997578,-1.2156862745098038,-2.488803921568627,51
rece-davis,texas-longhorns,-0.052216654322436,-0.4135989146717552,-0.3838327316797821,-0.5409836065573771,-2.5056557377049185,61
chris-murray,texas-longhorns,-0.049372928863439,-0.3754303592852158,-0.3488756293620246,-0.081081081081081,-1.6621351351351354,74
josh-furlong,texas-longhorns,-0.0348531115845338,-0.4035853026791781,-0.3766312633676508,-0.3018867924528302,-2.027396226415094,53
kirk-bohls,texas-longhorns,-0.0274075396973811,-0.3557222171702465,-0.3301748514502254,-0.056338028169014,-1.84943661971831,71
garland-gillen,texas-longhorns,-0.0256899148865907,-0.3219239502767632,-0.2993510014021859,0.0394736842105263,-1.369526315789474,76
michael-lev,texas-longhorns,-0.0176111405295166,-0.3469267883791341,-0.3198953067209778,-0.0410958904109589,-1.5903287671232875,73
brett-mcmurphy,texas-longhorns,-0.016831854442081,-0.3690551717667369,-0.3446880093822536,0.3661971830985915,-1.4540845070422532,71
bob-asmussen,texas-longhorns,-0.011357104425286,-0.3282962989265144,-0.307368716957211,-0.0422535211267605,-1.7400985915492957,71
aaron-mcmann,texas-longhorns,-0.0069360833312517,-0.2580953500891627,-0.2411315221043393,-0.1764705882352941,-1.816,51
john-clay,texas-longhorns,-0.0037949793384576,-0.2880358780894749,-0.2665027658877774,-0.2297297297297297,-1.7716081081081083,74
brian-howell,texas-longhorns,0.0039636820052728,-0.2745657020491773,-0.2559510887434067,-0.0289855072463768,-1.7961884057971012,69
mike-barber,texas-longhorns,0.0057484200697822,-0.2024755498764483,-0.1901759972691511,-0.48,-1.5843,50
ryan-aber,texas-longhorns,0.0217715422776989,-0.2182979422895265,-0.2040066781680991,0.4285714285714285,-1.1765396825396823,63
david-briggs,texas-longhorns,0.0230180027705558,-0.2896087016676724,-0.2651141882412589,0.044776119402985,-1.8318507462686568,67
chuck-carlton,texas-longhorns,0.0276476652686826,-0.0947840367566066,-0.0926723453035594,0.2692307692307692,-1.0381346153846154,52
adam-zucker,texas-longhorns,0.0325873589893543,-0.2797648634512764,-0.2565613383030981,0.2033898305084746,-1.2136610169491526,59
marc-weiszer,texas-longhorns,0.0526363718934449,-0.1695108285700714,-0.1590163579996115,0.2727272727272727,-1.5649242424242424,66
tom-murphy,texas-longhorns,0.0635985623460005,-0.2426617695398565,-0.2197551371451617,0.3098591549295774,-1.4009999999999996,71
matt-baker,texas-longhorns,0.1092322508441482,-0.1789147436087241,-0.1625217000462419,0.6428571428571429,-0.8799571428571431,70
robert-cessna,texas-longhorns,0.1188318129948901,-0.1771929810289081,-0.1599971680229477,0.3676470588235294,-1.3401029411764704,68
