voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
brian-howell,usc-trojans,-0.1939927308050877,-0.4678042974529164,-0.4430875656278132,-1.4266666666666667,-3.1183599999999996,75
sam-mckewon,usc-trojans,-0.1870828242836917,-0.3380935857200724,-0.3324384407660867,-2.3292682926829267,-3.143975609756098,82
matt-brown,usc-trojans,-0.158861142621231,-0.3802653392488758,-0.3623103447205178,-1.2816901408450705,-2.6273943661971835,71
eric-hansen,usc-trojans,-0.1319163246241251,-0.2594486460444018,-0.2607720961903051,-1.7972972972972974,-2.63477027027027,74
don-williams,usc-trojans,-0.0997708849293155,-0.2579216098457182,-0.2441223119414082,-1.471698113207547,-2.348716981132075,53
bob-asmussen,usc-trojans,-0.0745104484483338,-0.3250013549709143,-0.3022485412439619,-0.2247191011235955,-1.860719101123595,89
garland-gillen,usc-trojans,-0.0604237903015136,-0.3153357143012349,-0.2937746175305186,0.0595238095238095,-1.8261785714285712,84
jon-wilner,usc-trojans,-0.0585939315203743,-0.2597502484801193,-0.2511543734606417,-0.9891304347826086,-2.422141304347826,92
josh-furlong,usc-trojans,-0.03293378469299,-0.194243836048618,-0.1835279569656213,-0.5818181818181818,-1.6176181818181814,55
david-briggs,usc-trojans,-0.0306919856825257,-0.235847978701596,-0.2203632171518594,-0.5308641975308642,-2.0711975308641977,81
gary-horowitz,usc-trojans,-0.0292453883712195,-0.2123111465471071,-0.2018818323156769,-0.2,-1.59634,50
adam-zucker,usc-trojans,-0.025404133938843,-0.2424897236830642,-0.2293006375437861,-0.5056179775280899,-2.140404494382022,89
rece-davis,usc-trojans,-0.0234792781137531,-0.2366759942252588,-0.2179474814846358,-0.2686567164179104,-1.8903134328358209,67
chris-murray,usc-trojans,-0.0217463914365232,-0.2237437491148175,-0.2094240488888569,-0.3369565217391304,-1.9646956521739132,92
marc-weiszer,usc-trojans,-0.0203360463953494,-0.2276697696851322,-0.2116330941454822,-0.45,-1.8875499999999996,80
chuck-carlton,usc-trojans,-0.0183497948705418,-0.2459289792910335,-0.226590991393884,-0.3620689655172414,-2.1270862068965517,58
michael-lev,usc-trojans,-0.0174381774153569,-0.2047005544531072,-0.1929876119489162,-0.4175824175824176,-1.843527472527472,91
kirk-bohls,usc-trojans,-0.0167171962126407,-0.2232129401393365,-0.2072582708494828,-0.108695652173913,-1.493445652173913,92
john-clay,usc-trojans,-0.0128717334369358,-0.2481383187220202,-0.2243681448148667,0.382716049382716,-1.2783086419753087,81
rob-long,usc-trojans,-0.0057424086330541,-0.1683775266670379,-0.1609460574156183,-0.3859649122807017,-1.825140350877193,57
steve-batterson,usc-trojans,-0.0031524204689738,-0.2015311925916577,-0.1868264465251002,-0.0649350649350649,-1.5328441558441557,77
brett-mcmurphy,usc-trojans,0.0052179815678021,-0.2081785843800648,-0.1951735916123076,-0.0985915492957746,-1.7563380281690144,71
matt-baker,usc-trojans,0.0107607359761081,-0.1880172346855627,-0.1721116656235784,0.0289855072463768,-1.4320434782608695,69
robert-cessna,usc-trojans,0.0170747034082492,-0.2011186735378859,-0.1839537199403838,0.2,-1.6163764705882349,85
tom-murphy,usc-trojans,0.0426025811467806,-0.1647663399470989,-0.1507803240220789,0.3295454545454545,-1.3281704545454545,88
ryan-aber,usc-trojans,0.0879501733677598,-0.1339766745776306,-0.114134995887587,0.75,-0.9085,60
andy-greder,usc-trojans,0.0939029473778971,-0.1721198975815559,-0.1451697024963831,0.8928571428571429,-0.9401785714285712,56
dave-reardon,usc-trojans,0.1335306957715761,-0.1546931641903472,-0.1242585576096516,1.2222222222222223,-0.6469074074074075,54
