voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
sam-mckewon,utah-utes,-0.3597382615704436,-0.5768311864629575,-0.5474826992825118,-2.8536585365853657,-4.062951219512195,82
eric-hansen,utah-utes,-0.2936366287812025,-0.4295334755676366,-0.4111777286914475,-2.4505494505494507,-2.671857142857143,91
jon-wilner,utah-utes,-0.2513266750313054,-0.4705391576942771,-0.4478575554323948,-1.0679611650485437,-2.455563106796117,103
adam-jude,utah-utes,-0.1833311151501027,-0.2252829078120056,-0.2266473013820672,-2.892857142857143,-2.8438928571428574,56
kirk-bohls,utah-utes,-0.1816180558637781,-0.3717664010571017,-0.3555747278390754,-0.9901960784313726,-2.473460784313726,102
brett-mcmurphy,utah-utes,-0.1384034861302702,-0.3459430762198441,-0.3190080310306194,-0.7254901960784313,-2.261735294117647,102
chris-murray,utah-utes,-0.0911708246776896,-0.2416460731200795,-0.2310651028984586,-0.6216216216216216,-1.834657657657658,111
josh-furlong,utah-utes,-0.0802110598831694,-0.2468027449328694,-0.2322035130090712,-0.890625,-2.39696875,64
david-briggs,utah-utes,-0.0700856868191555,-0.263034778129297,-0.2458064957485663,-0.5824175824175825,-2.371593406593407,91
tom-dangelo,utah-utes,-0.0664397413964689,-0.3162115376422166,-0.2792781373210662,-0.0441176470588235,-2.057500000000001,68
michael-lev,utah-utes,-0.0557068763775717,-0.2097375863786266,-0.1997896132680181,-0.5865384615384616,-1.884846153846154,104
brian-howell,utah-utes,-0.0361478148207631,-0.2170696005904182,-0.202333473505401,-0.0555555555555555,-1.826411111111111,90
garland-gillen,utah-utes,-0.0312606219969868,-0.230541398047038,-0.2078624280636308,0.4242424242424242,-1.1768484848484846,99
tom-murphy,utah-utes,-0.0312589704214276,-0.2071101087027957,-0.1946049761619258,-0.6526315789473685,-2.3621789473684207,95
john-clay,utah-utes,-0.0216893196790621,-0.1931810981355023,-0.1796063041918495,-0.1538461538461538,-1.8832197802197808,91
chuck-carlton,utah-utes,-0.0213321479776175,-0.1756898202476355,-0.169053536909856,-0.4516129032258064,-2.01791935483871,62
matt-brown,utah-utes,-0.0194001156865109,-0.1888589195237694,-0.1790223235705048,-0.1884057971014492,-1.9053478260869563,69
adam-zucker,utah-utes,-0.0111146281466106,-0.2059727070807862,-0.1866370966498459,0.2826086956521739,-1.402934782608696,92
marc-weiszer,utah-utes,0.0029861058022233,-0.1651205961681097,-0.1495566248812919,0.0,-1.6590681818181816,88
matt-baker,utah-utes,0.0073844997712152,-0.1777029993666413,-0.1681184482411094,0.1515151515151515,-1.8570909090909091,66
matt-mccoy,utah-utes,0.0152205745599934,-0.1342239435419525,-0.1207406697483011,-0.1379310344827586,-1.6588793103448276,58
rece-davis,utah-utes,0.0208445128171568,-0.1621714050434601,-0.1531399784251783,0.2575757575757575,-1.6820757575757577,66
gary-horowitz,utah-utes,0.0214129002467026,-0.1287066482492419,-0.114386304113999,0.0181818181818181,-1.4716,55
andy-greder,utah-utes,0.0310392602815131,-0.1279641159546017,-0.1175569590076479,0.4590163934426229,-1.18844262295082,61
steve-wiseman,utah-utes,0.0311840884419202,-0.1565350164699092,-0.1431468868132561,0.4067796610169492,-1.6148305084745769,59
dave-reardon,utah-utes,0.0318813804186553,-0.1741345277031412,-0.1519067526560142,0.5211267605633803,-1.365380281690141,71
steve-batterson,utah-utes,0.0485257086820878,-0.1252276051451324,-0.1115794418111415,0.2784810126582278,-1.3429746835443035,79
ryan-aber,utah-utes,0.0546107784216305,-0.1289419593363074,-0.1163640292335725,0.8125,-1.059453125,64
don-williams,utah-utes,0.0704180439756009,-0.0898216912516344,-0.0774359100331334,0.3181818181818182,-1.1769393939393942,66
robert-cessna,utah-utes,0.0934939213583981,-0.0669817002475145,-0.05444053569954,0.5841584158415841,-0.9429900990099008,101
rob-long,utah-utes,0.1017388412319456,-0.0614024339638751,-0.0489798637887821,0.2909090909090909,-0.996836363636364,55
mike-barber,utah-utes,0.1038134209049241,-0.0347189795692096,-0.0265868021338993,1.037037037037037,-0.3508518518518518,54
bob-asmussen,utah-utes,0.1617152752693763,-0.0117138424679618,0.0014084221903241,1.7777777777777777,0.0885333333333333,90
