voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
michael-lev,washington-huskies,-0.169846957430991,-0.482813726047191,-0.4772902109957261,-0.75,-2.556607142857142,84
matt-brown,washington-huskies,-0.1680308829175752,-0.479225536434717,-0.4787161876482031,-0.3442622950819672,-2.376131147540983,61
kirk-bohls,washington-huskies,-0.1175236522041032,-0.453148171256968,-0.4534866406383435,0.1428571428571428,-1.88612987012987,77
sam-mckewon,washington-huskies,-0.0940841338525648,-0.3712589899370176,-0.3529674023502556,-0.7971014492753623,-2.4095072463768115,69
adam-zucker,washington-huskies,-0.0883556613933452,-0.414741799422373,-0.4104105362425566,-0.5625,-2.4309375,64
brett-mcmurphy,washington-huskies,-0.0843896874762243,-0.3946971720008047,-0.3874995965192797,-0.484375,-2.375984375,64
chris-murray,washington-huskies,-0.080980422216075,-0.4019229320794942,-0.3914931574126707,-0.0609756097560975,-1.970829268292683,82
eric-hansen,washington-huskies,-0.0787140050702142,-0.3828156506020132,-0.368391941381427,0.0,-2.052537037037037,54
john-clay,washington-huskies,-0.0731428313946019,-0.4013105239928038,-0.3860305962767627,-0.2948717948717949,-2.369038461538461,78
don-williams,washington-huskies,-0.0675020297166065,-0.2790077446062919,-0.2731041475552515,-0.8545454545454545,-1.9153636363636364,55
rece-davis,washington-huskies,-0.0645742068304622,-0.3573421646983601,-0.3523346246391914,-0.1311475409836065,-2.146114754098361,61
matt-baker,washington-huskies,-0.0596917208671207,-0.3191003889648041,-0.3108373419908222,-0.303030303030303,-2.000924242424242,66
jerry-dipaola,washington-huskies,-0.0486634341150883,-0.2992314362619316,-0.2791583995568696,-0.7627118644067796,-2.5172881355932204,59
jon-wilner,washington-huskies,-0.0425267101680357,-0.379477294704615,-0.3673804216496643,-0.037037037037037,-1.9349629629629632,81
steve-batterson,washington-huskies,-0.0385023961588071,-0.2928399471932324,-0.2736205398526538,-0.373134328358209,-2.2847014925373137,67
matt-mccoy,washington-huskies,-0.0259459613885079,-0.2981252789752508,-0.2769002273195279,-0.25,-2.200303571428571,56
mike-barber,washington-huskies,-0.0082970922473965,-0.3342661972623388,-0.3265930855587362,-0.2586206896551724,-2.2151379310344828,58
tom-murphy,washington-huskies,-0.0032783868765276,-0.2845353532579658,-0.2727582738850188,0.1647058823529411,-1.3831058823529407,85
andy-greder,washington-huskies,0.0036615301218743,-0.2269868050596579,-0.2097768250575654,-0.2352941176470588,-1.6447205882352942,68
chuck-carlton,washington-huskies,0.0053423415145903,-0.243920605105933,-0.2242349364794114,0.0757575757575757,-1.8475303030303032,66
brian-howell,washington-huskies,0.0120918987995647,-0.2757827051907794,-0.2649681379648881,0.1309523809523809,-1.679845238095238,84
robert-cessna,washington-huskies,0.0168411087433524,-0.27277158276195,-0.2621003375867698,0.2195121951219512,-1.6865609756097562,82
marc-weiszer,washington-huskies,0.0271994900105759,-0.2807319664320126,-0.2667346775304027,0.3717948717948718,-1.7200897435897435,78
david-briggs,washington-huskies,0.0291987760765785,-0.2677736005137053,-0.2571039746621182,0.3766233766233766,-1.63587012987013,77
rob-long,washington-huskies,0.0355851171836357,-0.2379378265269728,-0.2151907380863366,0.0350877192982456,-1.64159649122807,57
bob-asmussen,washington-huskies,0.0686599616979363,-0.2183609993242708,-0.2059298802427423,0.5189873417721519,-1.496974683544304,79
keith-sargeant,washington-huskies,0.0718017316017316,-0.2107619972863404,-0.1890661642279289,0.46,-1.6203,50
gary-horowitz,washington-huskies,0.0725980114052009,-0.1955890944977534,-0.1760968608486339,0.4259259259259259,-1.6839074074074074,54
ryan-aber,washington-huskies,0.1059966329477262,-0.1763535792179155,-0.1675615350743207,1.1311475409836065,-0.868409836065574,61
garland-gillen,washington-huskies,0.2225930706477381,-0.0701050959447732,-0.0593134635190269,1.8625,-0.1407749999999999,80
