voter,team,bias1,bias2,bias3,bias0_ap,bias0_mean,n
bob-asmussen,wisconsin-badgers,-0.1893897576530437,-0.4830833903822214,-0.4791232531946413,-0.1489361702127659,-1.8745531914893616,94
dave-reardon,wisconsin-badgers,-0.1828033492775798,-0.4208828468215793,-0.4242508577118373,-1.411764705882353,-2.880254901960785,51
don-williams,wisconsin-badgers,-0.1691519613756,-0.3295434809202238,-0.3284587272909071,-1.7058823529411764,-3.0988431372549017,51
sam-mckewon,wisconsin-badgers,-0.1565642098069181,-0.3661054007267588,-0.3657482866896935,-1.5161290322580645,-2.8929677419354833,93
scott-wolf,wisconsin-badgers,-0.1134588326564029,-0.3614391892616844,-0.3613602446143611,-1.0192307692307692,-2.859615384615385,52
steve-batterson,wisconsin-badgers,-0.1041335780356528,-0.3034027089459249,-0.30520106491533,-1.0943396226415094,-2.5375000000000005,106
jon-wilner,wisconsin-badgers,-0.091758545407512,-0.3134261233703945,-0.3095271790799873,-1.0576923076923077,-2.4086442307692306,104
matt-baker,wisconsin-badgers,-0.0857388661201275,-0.2997048613753626,-0.2983665024261985,-1.0144927536231885,-2.4688985507246373,69
john-clay,wisconsin-badgers,-0.0851503256757336,-0.3362421090460454,-0.3395684426182931,-0.4767441860465116,-2.214093023255814,86
adam-jude,wisconsin-badgers,-0.0812080884237188,-0.337994485414444,-0.333702745175704,-0.639344262295082,-2.4186885245901646,61
andy-greder,wisconsin-badgers,-0.0641917277559692,-0.3374455979690995,-0.3372646379515574,-0.1351351351351351,-2.0938513513513515,74
robert-cessna,wisconsin-badgers,-0.0452849073142349,-0.2622302572359458,-0.2594258970563645,-0.33,-2.04362,100
eric-hansen,wisconsin-badgers,-0.0420128020730921,-0.2589121632227986,-0.2541187280381351,-0.6842105263157895,-2.3114105263157896,95
rob-long,wisconsin-badgers,-0.0388261892394466,-0.3022495589217392,-0.3031352638216483,0.2023809523809523,-1.647571428571429,84
ryan-aber,wisconsin-badgers,-0.0384688087413131,-0.2703581027794013,-0.2636440521580464,-0.3548387096774194,-2.1145,62
michael-lev,wisconsin-badgers,-0.0249645490261522,-0.2378706889687431,-0.2384789337714388,-0.12,-1.85884,100
ross-dellenger,wisconsin-badgers,-0.0226907436005136,-0.2581262030662385,-0.26026389419736,0.0,-1.643309090909091,55
lauren-brownlow,wisconsin-badgers,-0.0180079854548734,-0.2583494530792179,-0.2542784668117135,-0.2413793103448276,-2.149637931034482,58
brett-mcmurphy,wisconsin-badgers,-0.0173903729718778,-0.2148348130855429,-0.2078209835511897,-0.04,-1.85024,75
matt-mccoy,wisconsin-badgers,-0.0157230331370887,-0.2465752188969822,-0.2399331504543099,-0.3291139240506329,-2.1659493670886074,79
jerry-dipaola,wisconsin-badgers,-0.0075032975901048,-0.2705389313139291,-0.2681601226951192,-0.0434782608695652,-2.0152463768115947,69
keith-sargeant,wisconsin-badgers,-0.0067327228241701,-0.2458282128914347,-0.243792383323972,-0.3620689655172414,-2.1666206896551725,58
david-briggs,wisconsin-badgers,-0.0019906055416891,-0.2025871008540329,-0.2001502021104816,-0.1111111111111111,-1.8029888888888892,90
tom-murphy,wisconsin-badgers,-0.0001210145362244,-0.1981291971954576,-0.198721501140559,-0.0099009900990099,-1.6412772277227723,101
garland-gillen,wisconsin-badgers,0.0002113937811661,-0.2176257479376474,-0.2144633639078035,0.2365591397849462,-1.4974086021505375,93
chris-murray,wisconsin-badgers,0.01118135160611,-0.1939981216365897,-0.1906629470391446,0.1717171717171717,-1.5929494949494951,99
adam-zucker,wisconsin-badgers,0.014705819905364,-0.19550175602404,-0.1937014104269542,0.1954022988505747,-1.5085172413793102,87
scott-hamilton,wisconsin-badgers,0.0257683147605748,-0.2386823210942084,-0.2405874678726846,0.14,-1.6612400000000005,50
pat-dooley,wisconsin-badgers,0.0287908986438398,-0.2585625262108995,-0.2543024649642296,0.5294117647058824,-1.4953725490196077,51
soren-petro,wisconsin-badgers,0.0326821610051931,-0.2107191664763096,-0.2106211267285963,-0.2037037037037037,-1.9868333333333337,54
brent-axe,wisconsin-badgers,0.0326858861279341,-0.2140679024181492,-0.21275072819209,0.1016949152542373,-1.7287457627118643,59
marc-weiszer,wisconsin-badgers,0.0380485601521182,-0.1651347345777247,-0.1627538389067812,0.3,-1.376677777777778,90
gary-horowitz,wisconsin-badgers,0.0434414127719081,-0.1992177341912055,-0.1929476594320449,0.6216216216216216,-1.3646621621621624,74
robert-gagliardi,wisconsin-badgers,0.0521677524700811,-0.2037066355806543,-0.2043976700973604,0.06,-1.7233200000000002,50
brian-howell,wisconsin-badgers,0.0739998499187409,-0.1448829076820945,-0.14242965771683,0.5647058823529412,-1.206894117647059,85
chuck-carlton,wisconsin-badgers,0.0979466518256331,-0.1470188644418641,-0.1439583787409182,0.958904109589041,-1.0804520547945209,73
kirk-bohls,wisconsin-badgers,0.1036388879283316,-0.1232276299253827,-0.1203367254376196,0.9891304347826086,-0.677,92
matt-brown,wisconsin-badgers,0.1135570505005121,-0.1156055302055462,-0.11313179990572,0.984126984126984,-0.8613492063492065,63
rece-davis,wisconsin-badgers,0.1264309908980027,-0.1007376531914836,-0.0957532745995567,1.0172413793103448,-0.8834137931034483,58
